date_hour,th
2022-12-06T10:00:00Z,5.722833333333333
2022-12-06T11:00:00Z,NA
2022-12-06T12:00:00Z,6.961333333333333
2022-12-06T13:00:00Z,5.3705
2022-12-06T14:00:00Z,5.285166666666667
2022-12-06T15:00:00Z,4.804666666666667
2022-12-06T16:00:00Z,3.5898333333333334
2022-12-06T17:00:00Z,3.293
2022-12-06T18:00:00Z,3.521
2022-12-06T19:00:00Z,NA
2022-12-06T20:00:00Z,3.2931666666666666
2022-12-06T21:00:00Z,3.0646666666666667
2022-12-06T22:00:00Z,NA
2022-12-06T23:00:00Z,NA
2022-12-07T00:00:00Z,NA
2022-12-07T01:00:00Z,NA
2022-12-07T02:00:00Z,2.9410000000000003
2022-12-07T03:00:00Z,2.7466666666666666
2022-12-07T04:00:00Z,2.6406666666666667
2022-12-07T05:00:00Z,2.5165
2022-12-07T06:00:00Z,2.125
2022-12-07T07:00:00Z,1.5328333333333333
2022-12-07T08:00:00Z,1.5666666666666667
2022-12-07T09:00:00Z,3.2201666666666666
2022-12-07T10:00:00Z,NA
2022-12-07T11:00:00Z,NA
2022-12-07T12:00:00Z,6.676333333333334
2022-12-07T13:00:00Z,5.984
2022-12-07T14:00:00Z,5.4046666666666665
2022-12-07T15:00:00Z,4.5281666666666665
2022-12-07T16:00:00Z,2.1745
2022-12-07T17:00:00Z,1.1716666666666666
2022-12-07T18:00:00Z,1.443
2022-12-07T19:00:00Z,1.1175
2022-12-07T20:00:00Z,0.6261666666666666
2022-12-07T21:00:00Z,0.2961666666666667
2022-12-07T22:00:00Z,1.0083333333333333
2022-12-07T23:00:00Z,1.0085
2022-12-08T00:00:00Z,-0.4458333333333333
2022-12-08T01:00:00Z,-1.1168333333333333
2022-12-08T02:00:00Z,-1.3621666666666667
2022-12-08T03:00:00Z,NA
2022-12-08T04:00:00Z,-1.1356666666666666
2022-12-08T05:00:00Z,-1.3813333333333333
2022-12-08T06:00:00Z,-1.3435000000000001
2022-12-08T07:00:00Z,-0.8916666666666666
2022-12-08T08:00:00Z,-0.16483333333333333
2022-12-08T09:00:00Z,0.07566666666666666
2022-12-08T10:00:00Z,0.3693333333333333
2022-12-08T11:00:00Z,0.3145
2022-12-08T12:00:00Z,0.3328333333333333
2022-12-08T13:00:00Z,1.456
2022-12-08T14:00:00Z,1.0253333333333332
2022-12-08T15:00:00Z,0.31433333333333335
2022-12-08T16:00:00Z,-1.0983333333333334
2022-12-08T17:00:00Z,-1.1735
2022-12-08T18:00:00Z,-1.2121666666666666
2022-12-08T19:00:00Z,-1.8753333333333333
2022-12-08T20:00:00Z,-3.4063333333333334
2022-12-08T21:00:00Z,-3.7011666666666665
2022-12-08T22:00:00Z,-3.209166666666667
2022-12-08T23:00:00Z,-3.3663333333333334
2022-12-09T00:00:00Z,-3.979166666666667
2022-12-09T01:00:00Z,-4.138333333333334
2022-12-09T02:00:00Z,-3.3858333333333333
2022-12-09T03:00:00Z,-3.1111666666666666
2022-12-09T04:00:00Z,-3.111
2022-12-09T05:00:00Z,NA
2022-12-09T06:00:00Z,-2.722
2022-12-09T07:00:00Z,-2.3545
2022-12-09T08:00:00Z,-1.8561666666666667
2022-12-09T09:00:00Z,-1.4193333333333333
2022-12-09T10:00:00Z,-0.6483333333333333
2022-12-09T11:00:00Z,-0.07200000000000001
2022-12-09T12:00:00Z,-0.2015
2022-12-09T13:00:00Z,0.0019999999999999996
2022-12-09T14:00:00Z,0.001999999999999997
2022-12-09T15:00:00Z,-0.31316666666666665
2022-12-09T16:00:00Z,NA
2022-12-09T17:00:00Z,NA
2022-12-09T18:00:00Z,NA
2022-12-09T19:00:00Z,-0.183
2022-12-09T20:00:00Z,-0.072
2022-12-09T21:00:00Z,NA
2022-12-09T22:00:00Z,NA
2022-12-09T23:00:00Z,-0.072
2022-12-10T00:00:00Z,0.057499999999999996
2022-12-10T01:00:00Z,NA
2022-12-10T02:00:00Z,NA
2022-12-10T03:00:00Z,NA
2022-12-10T04:00:00Z,NA
2022-12-10T05:00:00Z,NA
2022-12-10T06:00:00Z,-0.146
2022-12-10T07:00:00Z,NA
2022-12-10T08:00:00Z,-0.016500000000000004
2022-12-10T09:00:00Z,NA
2022-12-10T10:00:00Z,NA
2022-12-10T11:00:00Z,0.186
2022-12-10T12:00:00Z,NA
2022-12-10T13:00:00Z,0.09433333333333332
2022-12-10T14:00:00Z,0.001999999999999997
2022-12-10T15:00:00Z,-0.183
2022-12-10T16:00:00Z,NA
2022-12-10T17:00:00Z,NA
2022-12-10T18:00:00Z,NA
2022-12-10T19:00:00Z,NA
2022-12-10T20:00:00Z,-1.117
2022-12-10T21:00:00Z,-1.1361666666666668
2022-12-10T22:00:00Z,-2.0856666666666666
2022-12-10T23:00:00Z,-2.3738333333333332
2022-12-11T00:00:00Z,-2.412333333333333
2022-12-11T01:00:00Z,-2.4699999999999998
2022-12-11T02:00:00Z,-2.760666666666667
2022-12-11T03:00:00Z,-2.6055
2022-12-11T04:00:00Z,-2.8383333333333334
2022-12-11T05:00:00Z,-2.955
2022-12-11T06:00:00Z,-3.622333333333333
2022-12-11T07:00:00Z,-3.4443333333333332
2022-12-11T08:00:00Z,-2.8583333333333334
2022-12-11T09:00:00Z,-2.2585
2022-12-11T10:00:00Z,-1.1245
2022-12-11T11:00:00Z,NA
2022-12-11T12:00:00Z,-1.061
2022-12-11T13:00:00Z,-1.9131666666666667
2022-12-11T14:00:00Z,-2.239
2022-12-11T15:00:00Z,-3.347
2022-12-11T16:00:00Z,-3.4050000000000002
2022-12-11T17:00:00Z,-4.359999999999999
2022-12-11T18:00:00Z,-4.984333333333334
2022-12-11T19:00:00Z,-4.9239999999999995
2022-12-11T20:00:00Z,-4.9245
2022-12-11T21:00:00Z,-4.884833333333333
2022-12-11T22:00:00Z,-5.7428333333333335
2022-12-11T23:00:00Z,-5.372166666666667
2022-12-12T00:00:00Z,-6.241833333333333
2022-12-12T01:00:00Z,-6.852166666666666
2022-12-12T02:00:00Z,-7.8373333333333335
2022-12-12T03:00:00Z,-7.4505
2022-12-12T04:00:00Z,-6.492
2022-12-12T05:00:00Z,-6.829833333333333
2022-12-12T06:00:00Z,-6.745166666666666
2022-12-12T07:00:00Z,-6.978833333333333
2022-12-12T08:00:00Z,-6.4295
2022-12-12T09:00:00Z,-5.743333333333333
2022-12-12T10:00:00Z,-4.680666666666666
2022-12-12T11:00:00Z,-4.438833333333333
2022-12-12T12:00:00Z,-4.0985
2022-12-12T13:00:00Z,-3.9991666666666665
2022-12-12T14:00:00Z,-4.4795
2022-12-12T15:00:00Z,-5.106833333333333
2022-12-12T16:00:00Z,-5.659666666666666
2022-12-12T17:00:00Z,-5.598
2022-12-12T18:00:00Z,-5.908166666666666
2022-12-12T19:00:00Z,-6.0745
