date_time,th,origin
2022-12-01 00:00,6.0500,R
2022-12-01 01:00,7.4702,H
2022-12-01 02:00,5.7800,R
2022-12-01 03:00,6.6995,H
2022-12-01 04:00,5.9228,H
2022-12-01 05:00,5.4293,H
2022-12-01 06:00,5.3780,H
2022-12-01 07:00,5.4463,H
2022-12-01 08:00,5.4805,H
2022-12-01 09:00,5.6680,H
2022-12-01 10:00,5.8713,H
2022-12-01 11:00,6.7333,H
2022-12-01 12:00,6.6655,H
2022-12-01 13:00,6.2613,H
2022-12-01 14:00,6.3627,H
2022-12-01 15:00,5.7700,H
2022-12-01 16:00,5.4463,H
2022-12-01 17:00,4.6408,H
2022-12-01 18:00,4.6407,H
2022-12-01 19:00,4.5892,H
2022-12-01 20:00,4.4860,H
2022-12-01 21:00,3.0700,R
2022-12-01 22:00,4.4167,H
2022-12-01 23:00,4.5377,H
2022-12-02 00:00,4.3303,H
2022-12-02 01:00,4.5377,H
2022-12-02 02:00,4.3822,H
2022-12-02 03:00,4.3130,H
2022-12-02 04:00,4.2263,H
2022-12-02 05:00,4.3303,H
2022-12-02 06:00,4.3477,H
2022-12-02 07:00,4.3130,H
2022-12-02 08:00,4.3130,H
2022-12-02 09:00,4.2783,H
2022-12-02 10:00,4.3650,H
2022-12-02 11:00,4.5718,H
2022-12-02 12:00,4.6407,H
2022-12-02 13:00,4.8132,H
2022-12-02 14:00,5.1390,H
2022-12-02 15:00,5.5317,H
2022-12-02 16:00,5.4463,H
2022-12-02 17:00,4.7785,H
2022-12-02 18:00,4.8648,H
2022-12-02 19:00,4.7962,H
2022-12-02 20:00,5.3267,H
2022-12-02 21:00,5.2073,H
2022-12-02 22:00,5.0022,H
2022-12-02 23:00,4.9163,H
2022-12-03 00:00,3.7212,H
2022-12-03 01:00,2.9695,H
2022-12-03 02:00,2.9165,H
2022-12-03 03:00,2.3148,H
2022-12-03 04:00,2.3505,H
2022-12-03 05:00,2.4037,H
2022-12-03 06:00,2.4038,H
2022-12-03 07:00,2.3328,H
2022-12-03 08:00,2.0658,H
2022-12-03 09:00,2.4568,H
2022-12-03 10:00,3.3908,H
2022-12-03 11:00,3.2860,H
2022-12-03 12:00,3.8270,H
2022-12-03 13:00,3.4782,H
2022-12-03 14:00,3.4260,H
2022-12-03 15:00,3.6182,H
2022-12-03 16:00,3.7402,H
2022-12-03 17:00,4.0010,H
2022-12-03 18:00,3.8620,H
2022-12-03 19:00,3.6182,H
2022-12-03 20:00,3.5135,H
2022-12-03 21:00,3.3910,H
2022-12-03 22:00,3.1447,H
2022-12-03 23:00,2.6870,H
2022-12-04 00:00,2.8283,H
2022-12-04 01:00,2.9167,H
2022-12-04 02:00,2.9697,H
2022-12-04 03:00,2.9167,H
2022-12-04 04:00,2.9870,H
2022-12-04 05:00,2.6517,H
2022-12-04 06:00,2.7223,H
2022-12-04 07:00,2.2260,H
2022-12-04 08:00,2.2617,H
2022-12-04 09:00,2.9690,H
2022-12-04 10:00,3.0048,H
2022-12-04 11:00,3.1102,H
2022-12-04 12:00,3.0402,H
2022-12-04 13:00,2.9868,H
2022-12-04 14:00,3.3560,H
2022-12-04 15:00,1.9500,R
2022-12-04 16:00,3.1630,H
2022-12-04 17:00,2.8813,H
2022-12-04 18:00,2.9343,H
2022-12-04 19:00,2.9343,H
2022-12-04 20:00,3.2332,H
2022-12-04 21:00,3.4435,H
2022-12-04 22:00,3.4432,H
2022-12-04 23:00,3.3210,H
2022-12-05 00:00,3.3385,H
2022-12-05 01:00,3.4610,H
2022-12-05 02:00,3.5485,H
2022-12-05 03:00,3.7402,H
2022-12-05 04:00,3.8622,H
2022-12-05 05:00,4.7607,H
2022-12-05 06:00,5.2415,H
2022-12-05 07:00,5.2072,H
2022-12-05 08:00,4.6400,R
2022-12-05 09:00,5.7700,H
2022-12-05 10:00,6.4973,H
2022-12-05 11:00,6.3400,R
2022-12-05 12:00,6.5700,R
2022-12-05 13:00,8.5495,H
2022-12-05 14:00,7.4033,H
2022-12-05 15:00,7.9695,H
2022-12-05 16:00,6.9338,H
2022-12-05 17:00,6.2273,H
2022-12-05 18:00,5.7020,H
2022-12-05 19:00,5.3782,H
2022-12-05 20:00,5.2072,H
2022-12-05 21:00,4.7270,H
2022-12-05 22:00,4.4683,H
2022-12-05 23:00,4.2610,H
2022-12-06 00:00,3.7402,H
2022-12-06 01:00,2.9687,H
2022-12-06 02:00,2.2793,H
2022-12-06 03:00,2.3860,H
2022-12-06 04:00,2.5100,H
2022-12-06 05:00,2.6693,H
2022-12-06 06:00,3.1628,H
2022-12-06 07:00,3.3560,H
2022-12-06 08:00,3.9133,H
2022-12-06 09:00,4.3130,H
2022-12-06 10:00,3.7600,R
2022-12-06 11:00,5.3100,R
2022-12-06 12:00,5.9300,R
2022-12-06 13:00,5.7800,R
2022-12-06 14:00,5.2100,R
2022-12-06 15:00,6.5487,H
2022-12-06 16:00,6.2613,H
2022-12-06 17:00,5.4117,H
2022-12-06 18:00,4.8992,H
2022-12-06 19:00,4.8477,H
2022-12-06 20:00,4.8475,H
2022-12-06 21:00,4.6752,H
2022-12-06 22:00,4.3997,H
2022-12-06 23:00,4.3650,H
2022-12-07 00:00,4.2610,H
2022-12-07 01:00,3.0900,R
2022-12-07 02:00,4.3823,H
2022-12-07 03:00,4.2090,H
2022-12-07 04:00,4.1917,H
2022-12-07 05:00,4.1743,H
2022-12-07 06:00,3.7925,H
2022-12-07 07:00,3.2328,H
2022-12-07 08:00,2.9520,H
2022-12-07 09:00,3.1257,H
2022-12-07 10:00,5.1033,H
2022-12-07 11:00,4.3500,R
2022-12-07 12:00,5.8100,R
2022-12-07 13:00,6.3500,R
2022-12-07 14:00,9.5528,H
2022-12-07 15:00,9.3557,H
2022-12-07 16:00,6.9837,H
2022-12-07 17:00,5.2060,H
2022-12-07 18:00,3.7397,H
2022-12-07 19:00,2.8102,H
2022-12-07 20:00,1.9765,H
2022-12-07 21:00,1.6897,H
2022-12-07 22:00,1.5998,H
2022-12-07 23:00,2.3148,H
2022-12-08 00:00,2.1192,H
2022-12-08 01:00,1.7793,H
2022-12-08 02:00,0.9678,H
2022-12-08 03:00,0.5860,H
2022-12-08 04:00,0.1828,H
2022-12-08 05:00,0.1647,H
2022-12-08 06:00,-0.0747,H
2022-12-08 07:00,-0.3153,H
2022-12-08 08:00,0.0542,H
2022-12-08 09:00,0.8215,H
2022-12-08 10:00,2.2252,H
2022-12-08 11:00,-0.6500,R
2022-12-08 12:00,-1.0700,R
2022-12-08 13:00,-0.2200,R
2022-12-08 14:00,1.1600,R
2022-12-08 15:00,1.9400,R
2022-12-08 16:00,3.8558,H
2022-12-08 17:00,1.7788,H
2022-12-08 18:00,1.0407,H
