"","id","dttm","temp","lux"
"127",409,2021-12-13 21:00:00,3.367,0
"128",410,2021-12-13 21:10:00,3.367,0
"129",411,2021-12-13 21:20:00,3.261,0
"130",412,2021-12-13 21:30:00,3.049,0
"131",413,2021-12-13 21:40:00,3.261,0
"132",414,2021-12-13 21:50:00,3.261,0
"133",415,2021-12-13 22:00:00,3.049,0
"134",416,2021-12-13 22:10:00,2.943,0
"135",417,2021-12-13 22:20:00,2.624,0
"136",418,2021-12-13 22:30:00,2.624,0
"137",419,2021-12-13 22:40:00,2.517,0
"138",420,2021-12-13 22:50:00,2.624,0
"139",421,2021-12-13 23:00:00,2.517,0
"140",422,2021-12-13 23:10:00,2.517,0
"141",423,2021-12-13 23:20:00,2.624,0
"142",424,2021-12-13 23:30:00,2.41,0
"143",425,2021-12-13 23:40:00,2.624,0
"144",426,2021-12-13 23:50:00,2.73,0
"145",427,2021-12-14 00:00:00,3.049,0
"146",428,2021-12-14 00:10:00,3.367,0
"147",429,2021-12-14 00:20:00,3.261,0
"148",430,2021-12-14 00:30:00,3.049,0
"149",431,2021-12-14 00:40:00,3.367,0
"150",432,2021-12-14 00:50:00,3.367,0
"151",433,2021-12-14 01:00:00,3.261,0
"152",434,2021-12-14 01:10:00,3.049,0
"153",435,2021-12-14 01:20:00,3.155,0
"154",436,2021-12-14 01:30:00,3.049,0
"155",437,2021-12-14 01:40:00,2.943,0
"156",438,2021-12-14 01:50:00,2.837,0
"157",439,2021-12-14 02:00:00,2.624,0
"158",440,2021-12-14 02:10:00,2.624,0
"159",441,2021-12-14 02:20:00,2.73,0
"160",442,2021-12-14 02:30:00,2.837,0
"161",443,2021-12-14 02:40:00,2.837,0
"162",444,2021-12-14 02:50:00,2.837,0
"163",445,2021-12-14 03:00:00,2.943,0
"164",446,2021-12-14 03:10:00,2.73,0
"165",447,2021-12-14 03:20:00,2.41,0
"166",448,2021-12-14 03:30:00,2.41,0
"167",449,2021-12-14 03:40:00,2.303,0
"168",450,2021-12-14 03:50:00,2.088,0
"169",451,2021-12-14 04:00:00,1.764,0
"170",452,2021-12-14 04:10:00,1.656,0
"171",453,2021-12-14 04:20:00,1.656,0
"172",454,2021-12-14 04:30:00,1.548,0
"173",455,2021-12-14 04:40:00,1.439,0
"174",456,2021-12-14 04:50:00,1.33,0
"175",457,2021-12-14 05:00:00,1.439,0
"176",458,2021-12-14 05:10:00,1.33,0
"177",459,2021-12-14 05:20:00,1.548,0
"178",460,2021-12-14 05:30:00,1.764,0
"179",461,2021-12-14 05:40:00,1.98,0
"180",462,2021-12-14 05:50:00,2.195,0
"181",463,2021-12-14 06:00:00,2.195,0
"182",464,2021-12-14 06:10:00,2.195,0
"183",465,2021-12-14 06:20:00,2.303,0
"184",466,2021-12-14 06:30:00,2.195,0
"185",467,2021-12-14 06:40:00,1.872,0
"186",468,2021-12-14 06:50:00,1.98,0
"187",469,2021-12-14 07:00:00,1.98,0
"188",470,2021-12-14 07:10:00,2.088,0
"189",471,2021-12-14 07:20:00,2.195,0
"190",472,2021-12-14 07:30:00,2.303,0
"191",473,2021-12-14 07:40:00,2.303,0
"192",474,2021-12-14 07:50:00,2.41,10.8
"193",475,2021-12-14 08:00:00,2.41,86.1
"194",476,2021-12-14 08:10:00,2.517,247.6
"195",477,2021-12-14 08:20:00,2.73,193.8
"196",478,2021-12-14 08:30:00,2.943,290.6
"197",479,2021-12-14 08:40:00,2.943,592
"198",480,2021-12-14 08:50:00,2.943,1011.8
"199",481,2021-12-14 09:00:00,3.049,1550
"200",482,2021-12-14 09:10:00,3.261,2152.8
"201",483,2021-12-14 09:20:00,3.472,3616.7
"202",484,2021-12-14 09:30:00,3.788,3961.1
"203",485,2021-12-14 09:40:00,4.102,4305.6
"204",486,2021-12-14 09:50:00,4.207,4133.4
"205",487,2021-12-14 10:00:00,4.519,4994.5
"206",488,2021-12-14 10:10:00,4.623,6200
"207",489,2021-12-14 10:20:00,4.623,5511.1
"208",490,2021-12-14 10:30:00,4.623,5511.1
"209",491,2021-12-14 10:40:00,4.934,7577.8
"210",492,2021-12-14 10:50:00,5.552,10333.4
"211",493,2021-12-14 11:00:00,6.064,10333.4
"212",494,2021-12-14 11:10:00,5.962,8611.2
"213",495,2021-12-14 11:20:00,6.37,12400.1
"214",496,2021-12-14 11:30:00,6.674,11022.3
"215",497,2021-12-14 11:40:00,6.573,12400.1
"216",498,2021-12-14 11:50:00,6.471,7233.4
"217",499,2021-12-14 12:00:00,5.962,7233.4
"218",500,2021-12-14 12:10:00,5.757,10333.4
"219",501,2021-12-14 12:20:00,6.064,14466.8
"220",502,2021-12-14 12:30:00,6.775,11711.2
"221",503,2021-12-14 12:40:00,6.573,8611.2
"222",504,2021-12-14 12:50:00,6.37,9644.5
"223",505,2021-12-14 13:00:00,6.674,9644.5
"224",506,2021-12-14 13:10:00,6.877,10333.4
"225",507,2021-12-14 13:20:00,6.877,9644.5
"226",508,2021-12-14 13:30:00,6.471,5338.9
