"Plot Title: 10350090"
#	Date	Time	Temp (°C) LGR S/N: 10350090,  #10350090	Intensity (Lux) LGR S/N: 10350090,  #10350090	Coupler Attached LGR S/N: 10350090	Coupler Detached LGR S/N: 10350090	Host Connected LGR S/N: 10350090	Stopped LGR S/N: 10350090	End Of File LGR S/N: 10350090
159	2018-12-10	01:20:00	7.079	0.0					
160	2018-12-10	01:30:00	7.079	0.0					
161	2018-12-10	01:40:00	7.179	0.0					
162	2018-12-10	01:50:00	7.179	0.0					
163	2018-12-10	02:00:00	7.079	0.0					
164	2018-12-10	02:10:00	7.079	0.0					
165	2018-12-10	02:20:00	6.978	0.0					
166	2018-12-10	02:30:00	6.978	0.0					
167	2018-12-10	02:40:00	6.978	0.0					
168	2018-12-10	02:50:00	6.978	0.0					
169	2018-12-10	03:00:00	6.978	0.0					
170	2018-12-10	03:10:00	6.877	0.0					
171	2018-12-10	03:20:00	6.775	0.0					
172	2018-12-10	03:30:00	6.877	0.0					
173	2018-12-10	03:40:00	6.978	0.0					
174	2018-12-10	03:50:00	6.978	0.0					
175	2018-12-10	04:00:00	6.877	0.0					
176	2018-12-10	04:10:00	6.877	0.0					
177	2018-12-10	04:20:00	6.877	0.0					
178	2018-12-10	04:30:00	6.877	0.0					
179	2018-12-10	04:40:00	6.978	0.0					
180	2018-12-10	04:50:00	6.978	0.0					
181	2018-12-10	05:00:00	6.978	0.0					
182	2018-12-10	05:10:00	6.573	0.0					
183	2018-12-10	05:20:00	6.166	0.0					
184	2018-12-10	05:30:00	5.962	0.0					
185	2018-12-10	05:40:00	5.962	0.0					
186	2018-12-10	05:50:00	5.860	0.0					
187	2018-12-10	06:00:00	5.757	0.0					
188	2018-12-10	06:10:00	5.757	0.0					
189	2018-12-10	06:20:00	5.757	0.0					
190	2018-12-10	06:30:00	5.757	0.0					
191	2018-12-10	06:40:00	5.757	0.0					
192	2018-12-10	06:50:00	5.757	0.0					
193	2018-12-10	07:00:00	5.655	0.0					
194	2018-12-10	07:10:00	5.552	0.0					
195	2018-12-10	07:20:00	5.552	0.0					
196	2018-12-10	07:30:00	5.450	0.0					
197	2018-12-10	07:40:00	5.552	0.0					
198	2018-12-10	07:50:00	5.655	0.0					
199	2018-12-10	08:00:00	5.655	10.8					
200	2018-12-10	08:10:00	5.757	21.5					
201	2018-12-10	08:20:00	5.757	43.1					
202	2018-12-10	08:30:00	5.860	118.4					
203	2018-12-10	08:40:00	5.860	269.1					
204	2018-12-10	08:50:00	5.962	484.4					
205	2018-12-10	09:00:00	5.962	312.2					
206	2018-12-10	09:10:00	6.166	344.4					
207	2018-12-10	09:20:00	6.268	592.0					
208	2018-12-10	09:30:00	6.370	559.7					
209	2018-12-10	09:40:00	6.370	710.4					
210	2018-12-10	09:50:00	6.573	968.8					
211	2018-12-10	10:00:00	6.573	785.8					
212	2018-12-10	10:10:00	6.674	538.2					
213	2018-12-10	10:20:00	6.573	290.6					
214	2018-12-10	10:30:00	6.471	549.0					
215	2018-12-10	10:40:00	6.674	871.9					
216	2018-12-10	10:50:00	6.877	1,130.2					
217	2018-12-10	11:00:00	7.079	1,550.0					
218	2018-12-10	11:10:00	7.280	1,636.1					
219	2018-12-10	11:20:00	7.381	1,550.0					
220	2018-12-10	11:30:00	7.481	1,808.3					
221	2018-12-10	11:40:00	7.682	1,636.1					
222	2018-12-10	11:50:00	7.582	1,377.8					
223	2018-12-10	12:00:00	7.682	3,272.2					
224	2018-12-10	12:10:00	7.682	1,808.3					
225	2018-12-10	12:20:00	8.082	2,755.6					
226	2018-12-10	12:30:00	7.882	1,722.2					
