id,date_time,temp,lux
134,2020-11-30T21:10:00Z,1.003,0
135,2020-11-30T21:20:00Z,1.003,0
136,2020-11-30T21:30:00Z,0.893,0
137,2020-11-30T21:40:00Z,1.112,0
138,2020-11-30T21:50:00Z,1.003,0
139,2020-11-30T22:00:00Z,1.003,0
140,2020-11-30T22:10:00Z,1.112,0
141,2020-11-30T22:20:00Z,1.221,0
142,2020-11-30T22:30:00Z,1.439,0
143,2020-11-30T22:40:00Z,1.33,0
144,2020-11-30T22:50:00Z,1.439,0
145,2020-11-30T23:00:00Z,1.439,0
146,2020-11-30T23:10:00Z,1.439,0
147,2020-11-30T23:20:00Z,1.33,0
148,2020-11-30T23:30:00Z,1.439,0
149,2020-11-30T23:40:00Z,1.439,0
150,2020-11-30T23:50:00Z,1.439,0
151,2020-12-01T00:00:00Z,1.656,0
152,2020-12-01T00:10:00Z,1.764,0
153,2020-12-01T00:20:00Z,1.656,0
154,2020-12-01T00:30:00Z,1.764,0
155,2020-12-01T00:40:00Z,3.893,0
156,2020-12-01T00:50:00Z,3.049,0
157,2020-12-01T01:00:00Z,2.517,0
158,2020-12-01T01:10:00Z,2.517,0
159,2020-12-01T01:20:00Z,2.41,0
160,2020-12-01T01:30:00Z,2.41,0
161,2020-12-01T01:40:00Z,2.517,0
162,2020-12-01T01:50:00Z,2.517,0
163,2020-12-01T02:00:00Z,2.517,0
164,2020-12-01T02:10:00Z,2.517,0
165,2020-12-01T02:20:00Z,2.624,0
166,2020-12-01T02:30:00Z,2.624,0
167,2020-12-01T02:40:00Z,2.73,0
168,2020-12-01T02:50:00Z,2.943,0
169,2020-12-01T03:00:00Z,3.049,0
170,2020-12-01T03:10:00Z,3.155,0
171,2020-12-01T03:20:00Z,3.261,0
172,2020-12-01T03:30:00Z,3.367,0
173,2020-12-01T03:40:00Z,3.472,0
174,2020-12-01T03:50:00Z,3.683,0
175,2020-12-01T04:00:00Z,3.788,0
176,2020-12-01T04:10:00Z,3.893,0
177,2020-12-01T04:20:00Z,3.998,0
178,2020-12-01T04:30:00Z,3.998,0
179,2020-12-01T04:40:00Z,4.102,0
180,2020-12-01T04:50:00Z,4.102,0
181,2020-12-01T05:00:00Z,4.207,0
182,2020-12-01T05:10:00Z,4.311,0
183,2020-12-01T05:20:00Z,4.102,0
184,2020-12-01T05:30:00Z,3.998,0
185,2020-12-01T05:40:00Z,3.893,0
186,2020-12-01T05:50:00Z,3.578,0
187,2020-12-01T06:00:00Z,3.155,0
188,2020-12-01T06:10:00Z,2.837,0
189,2020-12-01T06:20:00Z,2.73,0
190,2020-12-01T06:30:00Z,2.837,0
191,2020-12-01T06:40:00Z,2.837,0
192,2020-12-01T06:50:00Z,2.837,0
193,2020-12-01T07:00:00Z,2.624,0
194,2020-12-01T07:10:00Z,2.73,0
195,2020-12-01T07:20:00Z,2.624,0
196,2020-12-01T07:30:00Z,2.624,0
197,2020-12-01T07:40:00Z,2.837,0
198,2020-12-01T07:50:00Z,3.049,10.8
199,2020-12-01T08:00:00Z,3.155,21.5
200,2020-12-01T08:10:00Z,3.155,53.8
201,2020-12-01T08:20:00Z,3.155,75.3
202,2020-12-01T08:30:00Z,3.261,75.3
203,2020-12-01T08:40:00Z,3.049,129.2
204,2020-12-01T08:50:00Z,3.049,161.5
205,2020-12-01T09:00:00Z,3.155,215.3
206,2020-12-01T09:10:00Z,3.261,516.7
207,2020-12-01T09:20:00Z,3.367,312.2
208,2020-12-01T09:30:00Z,4.623,301.4
209,2020-12-01T09:40:00Z,4.207,301.4
210,2020-12-01T09:50:00Z,3.998,279.9
211,2020-12-01T10:00:00Z,3.683,452.1
212,2020-12-01T10:10:00Z,3.893,344.4
213,2020-12-01T10:20:00Z,3.998,269.1
214,2020-12-01T10:30:00Z,3.998,247.6
215,2020-12-01T10:40:00Z,3.893,193.8
216,2020-12-01T10:50:00Z,3.998,204.5
217,2020-12-01T11:00:00Z,3.998,279.9
218,2020-12-01T11:10:00Z,3.893,366
219,2020-12-01T11:20:00Z,4.102,366
220,2020-12-01T11:30:00Z,4.102,333.7
221,2020-12-01T11:40:00Z,3.998,419.8
222,2020-12-01T11:50:00Z,3.998,312.2
223,2020-12-01T12:00:00Z,3.998,301.4
224,2020-12-01T12:10:00Z,4.207,269.1
225,2020-12-01T12:20:00Z,4.311,430.6
226,2020-12-01T12:30:00Z,4.519,505.9
227,2020-12-01T12:40:00Z,4.623,570.5
228,2020-12-01T12:50:00Z,4.727,527.4
229,2020-12-01T13:00:00Z,4.831,656.6
230,2020-12-01T13:10:00Z,4.831,699.7
231,2020-12-01T13:20:00Z,4.831,570.5
232,2020-12-01T13:30:00Z,4.727,430.6
233,2020-12-01T13:40:00Z,4.727,409
234,2020-12-01T13:50:00Z,4.727,366
235,2020-12-01T14:00:00Z,4.727,322.9
236,2020-12-01T14:10:00Z,4.623,322.9
237,2020-12-01T14:20:00Z,4.727,312.2
238,2020-12-01T14:30:00Z,4.727,193.8
239,2020-12-01T14:40:00Z,4.623,172.2
240,2020-12-01T14:50:00Z,4.727,150.7
241,2020-12-01T15:00:00Z,4.727,96.9
242,2020-12-01T15:10:00Z,4.727,96.9
243,2020-12-01T15:20:00Z,4.623,53.8
244,2020-12-01T15:30:00Z,4.623,10.8
245,2020-12-01T15:40:00Z,4.519,0
246,2020-12-01T15:50:00Z,4.519,0
247,2020-12-01T16:00:00Z,4.415,0
248,2020-12-01T16:10:00Z,4.311,0
249,2020-12-01T16:20:00Z,4.311,0
250,2020-12-01T16:30:00Z,4.311,0
251,2020-12-01T16:40:00Z,4.311,0
252,2020-12-01T16:50:00Z,4.311,0
253,2020-12-01T17:00:00Z,4.311,0
254,2020-12-01T17:10:00Z,4.415,0
255,2020-12-01T17:20:00Z,4.311,0
256,2020-12-01T17:30:00Z,4.207,0
257,2020-12-01T17:40:00Z,4.207,0
258,2020-12-01T17:50:00Z,4.207,0
259,2020-12-01T18:00:00Z,4.207,0
260,2020-12-01T18:10:00Z,4.311,0
261,2020-12-01T18:20:00Z,4.311,0
262,2020-12-01T18:30:00Z,4.415,0
263,2020-12-01T18:40:00Z,4.415,0
264,2020-12-01T18:50:00Z,4.311,0
265,2020-12-01T19:00:00Z,4.207,0
266,2020-12-01T19:10:00Z,4.311,0
267,2020-12-01T19:20:00Z,4.311,0
268,2020-12-01T19:30:00Z,4.207,0
269,2020-12-01T19:40:00Z,4.207,0
270,2020-12-01T19:50:00Z,4.102,0
271,2020-12-01T20:00:00Z,4.102,0
272,2020-12-01T20:10:00Z,4.207,0
273,2020-12-01T20:20:00Z,4.519,0
274,2020-12-01T20:30:00Z,4.311,0
275,2020-12-01T20:40:00Z,4.311,0
276,2020-12-01T20:50:00Z,4.207,0
277,2020-12-01T21:00:00Z,4.207,0
278,2020-12-01T21:10:00Z,4.207,0
279,2020-12-01T21:20:00Z,4.207,0
280,2020-12-01T21:30:00Z,4.102,0
281,2020-12-01T21:40:00Z,4.207,0
282,2020-12-01T21:50:00Z,4.207,0
283,2020-12-01T22:00:00Z,4.102,0
284,2020-12-01T22:10:00Z,4.102,0
285,2020-12-01T22:20:00Z,4.102,0
286,2020-12-01T22:30:00Z,4.102,0
287,2020-12-01T22:40:00Z,4.831,0
