156,12/1/2020 1:50,2.624,0
157,12/1/2020 2:00,2.837,0
158,12/1/2020 2:10,2.943,0
159,12/1/2020 2:20,3.155,0
160,12/1/2020 2:30,3.261,0
161,12/1/2020 2:40,3.472,0
162,12/1/2020 2:50,3.683,0
163,12/1/2020 3:00,3.788,0
164,12/1/2020 3:10,3.788,0
165,12/1/2020 3:20,3.893,0
166,12/1/2020 3:30,4.102,0
167,12/1/2020 3:40,4.102,0
168,12/1/2020 3:50,4.207,0
169,12/1/2020 4:00,4.102,0
170,12/1/2020 4:10,4.102,0
171,12/1/2020 4:20,4.207,0
172,12/1/2020 4:30,4.415,0
173,12/1/2020 4:40,4.623,0
174,12/1/2020 4:50,4.727,0
175,12/1/2020 5:00,4.831,0
176,12/1/2020 5:10,4.831,0
177,12/1/2020 5:20,4.831,0
178,12/1/2020 5:30,4.831,0
179,12/1/2020 5:40,4.831,0
180,12/1/2020 5:50,4.831,0
181,12/1/2020 6:00,4.831,0
182,12/1/2020 6:10,4.727,0
183,12/1/2020 6:20,4.311,0
184,12/1/2020 6:30,3.893,0
185,12/1/2020 6:40,3.683,0
186,12/1/2020 6:50,3.578,0
187,12/1/2020 7:00,3.261,0
188,12/1/2020 7:10,3.049,0
189,12/1/2020 7:20,3.049,0
190,12/1/2020 7:30,2.837,0
191,12/1/2020 7:40,2.837,0
192,12/1/2020 7:50,2.943,0
193,12/1/2020 8:00,3.049,0
194,12/1/2020 8:10,2.943,10.8
195,12/1/2020 8:20,2.943,10.8
196,12/1/2020 8:30,2.943,21.5
197,12/1/2020 8:40,2.943,32.3
198,12/1/2020 8:50,3.049,53.8
199,12/1/2020 9:00,3.155,64.6
200,12/1/2020 9:10,3.155,193.8
201,12/1/2020 9:20,3.261,215.3
202,12/1/2020 9:30,3.367,269.1
203,12/1/2020 9:40,3.367,430.6
204,12/1/2020 9:50,3.367,473.6
205,12/1/2020 10:00,3.367,968.8
206,12/1/2020 10:10,3.788,1808.3
207,12/1/2020 10:20,4.102,1054.9
208,12/1/2020 10:30,3.998,1173.3
209,12/1/2020 10:40,3.998,1237.9
210,12/1/2020 10:50,4.102,1022.6
211,12/1/2020 11:00,4.207,1087.2
212,12/1/2020 11:10,4.102,1216.3
213,12/1/2020 11:20,4.207,818.1
214,12/1/2020 11:30,4.415,882.6
215,12/1/2020 11:40,4.623,893.4
216,12/1/2020 11:50,4.623,796.5
217,12/1/2020 12:00,4.727,893.4
218,12/1/2020 12:10,4.623,861.1
219,12/1/2020 12:20,4.831,947.2
220,12/1/2020 12:30,5.141,871.9
221,12/1/2020 12:40,5.244,861.1
222,12/1/2020 12:50,5.347,861.1
223,12/1/2020 13:00,5.347,882.6
