"Plot-Titel: 10350056"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10350056, SEN S/N: 10350056)","Intensität, Lux (LGR S/N: 10350056, SEN S/N: 10350056)","Batterie defekt (LGR S/N: 10350056)","Koppler verbunden (LGR S/N: 10350056)","Host verbunden (LGR S/N: 10350056)","Angehalten (LGR S/N: 10350056)","Dateiende (LGR S/N: 10350056)"
189,12.01.22 08:20:00 AM,5.037,32.3,,,,,
190,12.01.22 08:30:00 AM,5.037,107.6,,,,,
191,12.01.22 08:40:00 AM,5.037,139.9,,,,,
192,12.01.22 08:50:00 AM,5.037,172.2,,,,,
193,12.01.22 09:00:00 AM,5.037,236.8,,,,,
194,12.01.22 09:10:00 AM,5.037,301.4,,,,,
195,12.01.22 09:20:00 AM,5.037,441.3,,,,,
196,12.01.22 09:30:00 AM,5.141,462.9,,,,,
197,12.01.22 09:40:00 AM,5.037,495.1,,,,,
198,12.01.22 09:50:00 AM,5.141,635.1,,,,,
199,12.01.22 10:00:00 AM,5.141,581.3,,,,,
200,12.01.22 10:10:00 AM,5.244,516.7,,,,,
201,12.01.22 10:20:00 AM,5.244,570.5,,,,,
202,12.01.22 10:30:00 AM,5.347,656.6,,,,,
203,12.01.22 10:40:00 AM,5.347,753.5,,,,,
204,12.01.22 10:50:00 AM,5.347,775.0,,,,,
205,12.01.22 11:00:00 AM,5.552,904.2,,,,,
206,12.01.22 11:10:00 AM,5.552,893.4,,,,,
207,12.01.22 11:20:00 AM,5.552,947.2,,,,,
208,12.01.22 11:30:00 AM,5.655,990.3,,,,,
209,12.01.22 11:40:00 AM,5.655,947.2,,,,,
210,12.01.22 11:50:00 AM,5.655,1011.8,,,,,
211,12.01.22 12:00:00 PM,5.655,1022.6,,,,,
212,12.01.22 12:10:00 PM,5.655,688.9,,,,,
213,12.01.22 12:20:00 PM,5.655,1173.3,,,,,
214,12.01.22 12:30:00 PM,5.450,1044.1,,,,,
215,12.01.22 12:40:00 PM,5.552,1270.1,,,,,
