"Plot-Titel: 10088310"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10088310, SEN S/N: 10088310)","Intensität, Lux (LGR S/N: 10088310, SEN S/N: 10088310)","Koppler verbunden (LGR S/N: 10088310)","Host verbunden (LGR S/N: 10088310)","Angehalten (LGR S/N: 10088310)","Dateiende (LGR S/N: 10088310)"
1,11.11.22 10:00:00 AM,7.179,0.0,,,,
2,11.11.22 10:15:00 AM,7.882,0.0,,,,
3,11.11.22 10:30:00 AM,8.581,0.0,,,,
4,11.11.22 10:45:00 AM,8.978,0.0,,,,
5,11.11.22 11:00:00 AM,12.497,12400.1,,,,
6,11.11.22 11:15:00 AM,10.944,947.2,,,,
7,11.11.22 11:30:00 AM,9.669,1001.0,,,,
8,11.11.22 11:45:00 AM,10.161,1054.9,,,,
9,11.11.22 12:00:00 PM,10.553,1119.5,,,,
10,11.11.22 12:15:00 PM,10.748,1130.2,,,,
11,11.11.22 12:30:00 PM,11.139,1302.4,,,,
12,11.11.22 12:45:00 PM,11.041,1044.1,,,,
13,11.11.22 01:00:00 PM,11.236,1097.9,,,,
14,11.11.22 01:15:00 PM,11.625,1087.2,,,,
15,11.11.22 01:30:00 PM,11.916,1205.6,,,,
16,11.11.22 01:45:00 PM,11.916,1022.6,,,,
17,11.11.22 02:00:00 PM,11.819,990.3,,,,
18,11.11.22 02:15:00 PM,12.013,1022.6,,,,
19,11.11.22 02:30:00 PM,11.722,753.5,,,,
20,11.11.22 02:45:00 PM,11.528,581.3,,,,
21,11.11.22 03:00:00 PM,11.139,376.7,,,,
22,11.11.22 03:15:00 PM,10.748,322.9,,,,
23,11.11.22 03:30:00 PM,10.846,430.6,,,,
24,11.11.22 03:45:00 PM,10.553,247.6,,,,
25,11.11.22 04:00:00 PM,10.455,333.7,,,,
26,11.11.22 04:15:00 PM,10.357,279.9,,,,
27,11.11.22 04:30:00 PM,10.259,215.3,,,,
28,11.11.22 04:45:00 PM,9.472,96.9,,,,
29,11.11.22 05:00:00 PM,8.779,32.3,,,,
30,11.11.22 05:15:00 PM,7.882,0.0,,,,
31,11.11.22 05:30:00 PM,7.782,0.0,,,,
32,11.11.22 05:45:00 PM,7.179,0.0,,,,
33,11.11.22 06:00:00 PM,6.370,0.0,,,,
34,11.11.22 06:15:00 PM,5.757,0.0,,,,
35,11.11.22 06:30:00 PM,5.347,0.0,,,,
36,11.11.22 06:45:00 PM,4.934,0.0,,,,
37,11.11.22 07:00:00 PM,4.623,0.0,,,,
38,11.11.22 07:15:00 PM,4.415,0.0,,,,
39,11.11.22 07:30:00 PM,5.450,0.0,,,,
40,11.11.22 07:45:00 PM,6.471,0.0,,,,
41,11.11.22 08:00:00 PM,6.978,0.0,,,,
