"Plot-Titel: 10347327"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347327, SEN S/N: 10347327)","Intensität, Lux (LGR S/N: 10347327, SEN S/N: 10347327)","Koppler verbunden (LGR S/N: 10347327)","Host verbunden (LGR S/N: 10347327)","Angehalten (LGR S/N: 10347327)","Dateiende (LGR S/N: 10347327)"
193,12.01.22 09:00:00 AM,4.831,107.6,,,,
194,12.01.22 09:10:00 AM,4.831,139.9,,,,
195,12.01.22 09:20:00 AM,4.831,193.8,,,,
196,12.01.22 09:30:00 AM,4.831,269.1,,,,
197,12.01.22 09:40:00 AM,4.831,376.7,,,,
198,12.01.22 09:50:00 AM,4.934,366.0,,,,
199,12.01.22 10:00:00 AM,4.934,376.7,,,,
200,12.01.22 10:10:00 AM,4.934,366.0,,,,
201,12.01.22 10:20:00 AM,4.934,387.5,,,,
202,12.01.22 10:30:00 AM,4.934,452.1,,,,
203,12.01.22 10:40:00 AM,5.037,484.4,,,,
204,12.01.22 10:50:00 AM,5.037,516.7,,,,
205,12.01.22 11:00:00 AM,5.037,516.7,,,,
206,12.01.22 11:10:00 AM,5.037,495.1,,,,
207,12.01.22 11:20:00 AM,5.037,495.1,,,,
208,12.01.22 11:30:00 AM,5.037,484.4,,,,
209,12.01.22 11:40:00 AM,5.037,538.2,,,,
210,12.01.22 11:50:00 AM,5.141,613.5,,,,
211,12.01.22 12:00:00 PM,5.141,602.8,,,,
212,12.01.22 12:10:00 PM,5.244,592.0,,,,
213,12.01.22 12:20:00 PM,5.141,549.0,,,,
214,12.01.22 12:30:00 PM,5.141,495.1,,,,
215,12.01.22 12:40:00 PM,5.037,624.3,,,,
216,12.01.22 12:50:00 PM,5.141,570.5,,,,
217,12.01.22 01:00:00 PM,5.037,495.1,,,,
218,12.01.22 01:10:00 PM,5.141,559.7,,,,
219,12.01.22 01:20:00 PM,5.141,516.7,,,,
220,12.01.22 01:30:00 PM,5.244,581.3,,,,
221,12.01.22 01:40:00 PM,5.347,710.4,,,,
222,12.01.22 01:50:00 PM,5.450,624.3,,,,
223,12.01.22 02:00:00 PM,5.450,602.8,,,,
224,12.01.22 02:10:00 PM,5.347,667.4,,,,
225,12.01.22 02:20:00 PM,5.244,667.4,,,,
226,12.01.22 02:30:00 PM,5.141,516.7,,,,
227,12.01.22 02:40:00 PM,5.037,301.4,,,,
228,12.01.22 02:50:00 PM,4.934,355.2,,,,
229,12.01.22 03:00:00 PM,4.934,344.4,,,,
230,12.01.22 03:10:00 PM,4.831,236.8,,,,
231,12.01.22 03:20:00 PM,4.831,193.8,,,,
232,12.01.22 03:30:00 PM,4.727,183.0,,,,
233,12.01.22 03:40:00 PM,4.623,150.7,,,,
234,12.01.22 03:50:00 PM,4.623,118.4,,,,
235,12.01.22 04:00:00 PM,4.519,75.3,,,,
236,12.01.22 04:10:00 PM,4.415,32.3,,,,
237,12.01.22 04:20:00 PM,4.415,21.5,,,,
238,12.01.22 04:30:00 PM,4.415,0.0,,,,
239,12.01.22 04:40:00 PM,4.415,0.0,,,,
240,12.01.22 04:50:00 PM,4.311,0.0,,,,
241,12.01.22 05:00:00 PM,4.311,0.0,,,,
242,12.01.22 05:10:00 PM,4.207,0.0,,,,
243,12.01.22 05:20:00 PM,4.207,0.0,,,,
244,12.01.22 05:30:00 PM,4.207,0.0,,,,
245,12.01.22 05:40:00 PM,4.102,0.0,,,,
246,12.01.22 05:50:00 PM,4.102,0.0,,,,
247,12.01.22 06:00:00 PM,4.102,0.0,,,,
248,12.01.22 06:10:00 PM,4.102,0.0,,,,
249,12.01.22 06:20:00 PM,3.893,0.0,,,,
250,12.01.22 06:30:00 PM,3.893,0.0,,,,
251,12.01.22 06:40:00 PM,3.788,0.0,,,,
252,12.01.22 06:50:00 PM,3.788,0.0,,,,
253,12.01.22 07:00:00 PM,3.683,0.0,,,,
254,12.01.22 07:10:00 PM,3.683,0.0,,,,
255,12.01.22 07:20:00 PM,3.683,0.0,,,,
256,12.01.22 07:30:00 PM,3.683,0.0,,,,
257,12.01.22 07:40:00 PM,3.683,0.0,,,,
258,12.01.22 07:50:00 PM,3.683,0.0,,,,
259,12.01.22 08:00:00 PM,3.683,0.0,,,,
260,12.01.22 08:10:00 PM,3.683,0.0,,,,
261,12.01.22 08:20:00 PM,3.578,0.0,,,,
262,12.01.22 08:30:00 PM,3.578,0.0,,,,
263,12.01.22 08:40:00 PM,3.578,0.0,,,,
264,12.01.22 08:50:00 PM,3.472,0.0,,,,
265,12.01.22 09:00:00 PM,3.472,0.0,,,,
266,12.01.22 09:10:00 PM,3.578,0.0,,,,
267,12.01.22 09:20:00 PM,3.472,0.0,,,,
268,12.01.22 09:30:00 PM,3.472,0.0,,,,
269,12.01.22 09:40:00 PM,3.472,0.0,,,,
270,12.01.22 09:50:00 PM,3.472,0.0,,,,
271,12.01.22 10:00:00 PM,3.472,0.0,,,,
272,12.01.22 10:10:00 PM,3.472,0.0,,,,
273,12.01.22 10:20:00 PM,3.472,0.0,,,,
274,12.01.22 10:30:00 PM,3.472,0.0,,,,
275,12.01.22 10:40:00 PM,3.367,0.0,,,,
276,12.01.22 10:50:00 PM,3.367,0.0,,,,
277,12.01.22 11:00:00 PM,3.472,0.0,,,,
278,12.01.22 11:10:00 PM,3.367,0.0,,,,
279,12.01.22 11:20:00 PM,3.367,0.0,,,,
280,12.01.22 11:30:00 PM,3.367,0.0,,,,
281,12.01.22 11:40:00 PM,3.367,0.0,,,,
282,12.01.22 11:50:00 PM,3.367,0.0,,,,
283,12.02.22 12:00:00 AM,3.367,0.0,,,,
284,12.02.22 12:10:00 AM,3.367,0.0,,,,
285,12.02.22 12:20:00 AM,3.367,0.0,,,,
286,12.02.22 12:30:00 AM,3.367,0.0,,,,
287,12.02.22 12:40:00 AM,3.472,0.0,,,,
288,12.02.22 12:50:00 AM,3.472,0.0,,,,
289,12.02.22 01:00:00 AM,3.367,0.0,,,,
290,12.02.22 01:10:00 AM,3.367,0.0,,,,
291,12.02.22 01:20:00 AM,3.367,0.0,,,,
292,12.02.22 01:30:00 AM,3.367,0.0,,,,
293,12.02.22 01:40:00 AM,3.367,0.0,,,,
294,12.02.22 01:50:00 AM,3.367,0.0,,,,
295,12.02.22 02:00:00 AM,3.367,0.0,,,,
296,12.02.22 02:10:00 AM,3.367,0.0,,,,
297,12.02.22 02:20:00 AM,3.261,0.0,,,,
298,12.02.22 02:30:00 AM,3.261,0.0,,,,
299,12.02.22 02:40:00 AM,3.261,0.0,,,,
300,12.02.22 02:50:00 AM,3.261,0.0,,,,
301,12.02.22 03:00:00 AM,3.261,0.0,,,,
302,12.02.22 03:10:00 AM,3.261,0.0,,,,
303,12.02.22 03:20:00 AM,3.261,0.0,,,,
304,12.02.22 03:30:00 AM,3.261,0.0,,,,
305,12.02.22 03:40:00 AM,3.261,0.0,,,,
306,12.02.22 03:50:00 AM,3.261,0.0,,,,
307,12.02.22 04:00:00 AM,3.155,0.0,,,,
308,12.02.22 04:10:00 AM,3.261,0.0,,,,
309,12.02.22 04:20:00 AM,3.261,0.0,,,,
310,12.02.22 04:30:00 AM,3.261,0.0,,,,
311,12.02.22 04:40:00 AM,3.261,0.0,,,,
312,12.02.22 04:50:00 AM,3.261,0.0,,,,
313,12.02.22 05:00:00 AM,3.367,0.0,,,,
314,12.02.22 05:10:00 AM,3.367,0.0,,,,
315,12.02.22 05:20:00 AM,3.367,0.0,,,,
316,12.02.22 05:30:00 AM,3.367,0.0,,,,
317,12.02.22 05:40:00 AM,3.367,0.0,,,,
318,12.02.22 05:50:00 AM,3.367,0.0,,,,
319,12.02.22 06:00:00 AM,3.367,0.0,,,,
320,12.02.22 06:10:00 AM,3.367,0.0,,,,
321,12.02.22 06:20:00 AM,3.472,0.0,,,,
322,12.02.22 06:30:00 AM,3.472,0.0,,,,
323,12.02.22 06:40:00 AM,3.472,0.0,,,,
324,12.02.22 06:50:00 AM,3.472,0.0,,,,
325,12.02.22 07:00:00 AM,3.578,0.0,,,,
326,12.02.22 07:10:00 AM,3.578,0.0,,,,
327,12.02.22 07:20:00 AM,3.578,0.0,,,,
328,12.02.22 07:30:00 AM,3.578,0.0,,,,
329,12.02.22 07:40:00 AM,3.578,0.0,,,,
330,12.02.22 07:50:00 AM,3.578,0.0,,,,
331,12.02.22 08:00:00 AM,3.578,0.0,,,,
332,12.02.22 08:10:00 AM,3.578,0.0,,,,
333,12.02.22 08:20:00 AM,3.578,21.5,,,,
334,12.02.22 08:30:00 AM,3.578,43.1,,,,
335,12.02.22 08:40:00 AM,3.683,86.1,,,,
336,12.02.22 08:50:00 AM,3.683,139.9,,,,
337,12.02.22 09:00:00 AM,3.683,172.2,,,,
338,12.02.22 09:10:00 AM,3.788,258.3,,,,
339,12.02.22 09:20:00 AM,3.788,301.4,,,,
340,12.02.22 09:30:00 AM,3.788,322.9,,,,
341,12.02.22 09:40:00 AM,3.893,355.2,,,,
342,12.02.22 09:50:00 AM,3.893,387.5,,,,
343,12.02.22 10:00:00 AM,3.998,409.0,,,,
344,12.02.22 10:10:00 AM,4.102,387.5,,,,
345,12.02.22 10:20:00 AM,4.102,376.7,,,,
346,12.02.22 10:30:00 AM,4.102,452.1,,,,
347,12.02.22 10:40:00 AM,4.207,516.7,,,,
348,12.02.22 10:50:00 AM,4.311,495.1,,,,
349,12.02.22 11:00:00 AM,4.311,495.1,,,,
350,12.02.22 11:10:00 AM,4.415,581.3,,,,
351,12.02.22 11:20:00 AM,4.519,452.1,,,,
352,12.02.22 11:30:00 AM,4.415,430.6,,,,
353,12.02.22 11:40:00 AM,4.415,505.9,,,,
354,12.02.22 11:50:00 AM,4.415,409.0,,,,
355,12.02.22 12:00:00 PM,4.415,387.5,,,,
356,12.02.22 12:10:00 PM,4.415,301.4,,,,
357,12.02.22 12:20:00 PM,4.311,322.9,,,,
358,12.02.22 12:30:00 PM,4.207,430.6,,,,
359,12.02.22 12:40:00 PM,4.311,592.0,,,,
360,12.02.22 12:50:00 PM,4.415,710.4,,,,
361,12.02.22 01:00:00 PM,4.415,495.1,,,,
362,12.02.22 01:10:00 PM,4.415,452.1,,,,
363,12.02.22 01:20:00 PM,4.415,527.4,,,,
364,12.02.22 01:30:00 PM,4.519,667.4,,,,
365,12.02.22 01:40:00 PM,4.623,635.1,,,,
366,12.02.22 01:50:00 PM,4.623,624.3,,,,
367,12.02.22 02:00:00 PM,4.519,495.1,,,,
368,12.02.22 02:10:00 PM,4.519,430.6,,,,
369,12.02.22 02:20:00 PM,4.519,484.4,,,,
370,12.02.22 02:30:00 PM,4.519,527.4,,,,
371,12.02.22 02:40:00 PM,4.623,495.1,,,,
372,12.02.22 02:50:00 PM,4.623,538.2,,,,
373,12.02.22 03:00:00 PM,4.623,549.0,,,,
374,12.02.22 03:10:00 PM,4.727,710.4,,,,
375,12.02.22 03:20:00 PM,4.831,527.4,,,,
376,12.02.22 03:30:00 PM,4.831,559.7,,,,
377,12.02.22 03:40:00 PM,4.831,559.7,,,,
378,12.02.22 03:50:00 PM,4.727,473.6,,,,
379,12.02.22 04:00:00 PM,4.727,322.9,,,,
380,12.02.22 04:10:00 PM,4.727,258.3,,,,
381,12.02.22 04:20:00 PM,4.727,226.0,,,,
382,12.02.22 04:30:00 PM,4.623,86.1,,,,
383,12.02.22 04:40:00 PM,4.519,10.8,,,,
384,12.02.22 04:50:00 PM,4.415,0.0,,,,
385,12.02.22 05:00:00 PM,4.207,0.0,,,,
386,12.02.22 05:10:00 PM,4.207,0.0,,,,
387,12.02.22 05:20:00 PM,4.102,0.0,,,,
388,12.02.22 05:30:00 PM,3.998,0.0,,,,
389,12.02.22 05:40:00 PM,3.998,0.0,,,,
390,12.02.22 05:50:00 PM,3.893,0.0,,,,
391,12.02.22 06:00:00 PM,3.893,0.0,,,,
