"Plot-Titel: 10347314"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347314, SEN S/N: 10347314)","Intensität, Lux (LGR S/N: 10347314, SEN S/N: 10347314)","Koppler verbunden (LGR S/N: 10347314)","Host verbunden (LGR S/N: 10347314)","Angehalten (LGR S/N: 10347314)","Dateiende (LGR S/N: 10347314)"
1,11.30.22 01:00:00 AM,7.079,0.0,,,,
2,11.30.22 01:10:00 AM,7.079,0.0,,,,
3,11.30.22 01:20:00 AM,7.079,0.0,,,,
4,11.30.22 01:30:00 AM,7.079,0.0,,,,
5,11.30.22 01:40:00 AM,7.179,0.0,,,,
6,11.30.22 01:50:00 AM,7.179,0.0,,,,
7,11.30.22 02:00:00 AM,7.179,0.0,,,,
8,11.30.22 02:10:00 AM,7.079,0.0,,,,
9,11.30.22 02:20:00 AM,7.079,0.0,,,,
10,11.30.22 02:30:00 AM,7.179,0.0,,,,
11,11.30.22 02:40:00 AM,7.179,0.0,,,,
12,11.30.22 02:50:00 AM,7.179,0.0,,,,
13,11.30.22 03:00:00 AM,7.179,0.0,,,,
14,11.30.22 03:10:00 AM,6.978,0.0,,,,
15,11.30.22 03:20:00 AM,6.978,0.0,,,,
16,11.30.22 03:30:00 AM,7.079,0.0,,,,
17,11.30.22 03:40:00 AM,6.978,0.0,,,,
18,11.30.22 03:50:00 AM,6.877,0.0,,,,
19,11.30.22 04:00:00 AM,6.877,0.0,,,,
20,11.30.22 04:10:00 AM,6.877,0.0,,,,
21,11.30.22 04:20:00 AM,6.978,0.0,,,,
22,11.30.22 04:30:00 AM,7.179,0.0,,,,
23,11.30.22 04:40:00 AM,7.079,0.0,,,,
24,11.30.22 04:50:00 AM,7.079,0.0,,,,
25,11.30.22 05:00:00 AM,7.079,0.0,,,,
26,11.30.22 05:10:00 AM,6.978,0.0,,,,
27,11.30.22 05:20:00 AM,6.978,0.0,,,,
28,11.30.22 05:30:00 AM,6.978,0.0,,,,
29,11.30.22 05:40:00 AM,6.775,0.0,,,,
30,11.30.22 05:50:00 AM,6.978,0.0,,,,
31,11.30.22 06:00:00 AM,6.674,0.0,,,,
32,11.30.22 06:10:00 AM,6.573,0.0,,,,
33,11.30.22 06:20:00 AM,6.674,0.0,,,,
34,11.30.22 06:30:00 AM,6.674,0.0,,,,
35,11.30.22 06:40:00 AM,6.573,0.0,,,,
36,11.30.22 06:50:00 AM,6.674,0.0,,,,
37,11.30.22 07:00:00 AM,6.674,0.0,,,,
38,11.30.22 07:10:00 AM,6.573,0.0,,,,
39,11.30.22 07:20:00 AM,6.674,0.0,,,,
40,11.30.22 07:30:00 AM,6.674,0.0,,,,
41,11.30.22 07:40:00 AM,6.775,0.0,,,,
42,11.30.22 07:50:00 AM,6.775,0.0,,,,
43,11.30.22 08:00:00 AM,6.674,32.3,,,,
44,11.30.22 08:10:00 AM,6.674,43.1,,,,
45,11.30.22 08:20:00 AM,6.573,53.8,,,,
46,11.30.22 08:30:00 AM,6.573,53.8,,,,
47,11.30.22 08:40:00 AM,6.674,75.3,,,,
48,11.30.22 08:50:00 AM,6.674,118.4,,,,
49,11.30.22 09:00:00 AM,6.775,161.5,,,,
50,11.30.22 09:10:00 AM,6.775,118.4,,,,
51,11.30.22 09:20:00 AM,6.775,139.9,,,,
52,11.30.22 09:30:00 AM,6.775,86.1,,,,
53,11.30.22 09:40:00 AM,6.775,86.1,,,,
54,11.30.22 09:50:00 AM,6.674,129.2,,,,
55,11.30.22 10:00:00 AM,6.775,236.8,,,,
56,11.30.22 10:10:00 AM,6.978,366.0,,,,
57,11.30.22 10:20:00 AM,7.079,527.4,,,,
58,11.30.22 10:30:00 AM,7.280,495.1,,,,
59,11.30.22 10:40:00 AM,7.582,516.7,,,,
60,11.30.22 10:50:00 AM,7.682,538.2,,,,
61,11.30.22 11:00:00 AM,7.782,462.9,,,,
62,11.30.22 11:10:00 AM,7.882,430.6,,,,
63,11.30.22 11:20:00 AM,7.983,376.7,,,,
64,11.30.22 11:30:00 AM,8.082,387.5,,,,
65,11.30.22 11:40:00 AM,8.082,355.2,,,,
66,11.30.22 11:50:00 AM,7.983,419.8,,,,
67,11.30.22 12:00:00 PM,8.082,473.6,,,,
68,11.30.22 12:10:00 PM,8.282,473.6,,,,
69,11.30.22 12:20:00 PM,8.481,505.9,,,,
70,11.30.22 12:30:00 PM,8.680,279.9,,,,
71,11.30.22 12:40:00 PM,8.779,602.8,,,,
72,11.30.22 12:50:00 PM,8.978,473.6,,,,
73,11.30.22 01:00:00 PM,9.077,505.9,,,,
74,11.30.22 01:10:00 PM,9.275,398.3,,,,
75,11.30.22 01:20:00 PM,9.275,226.0,,,,
76,11.30.22 01:30:00 PM,9.176,139.9,,,,
77,11.30.22 01:40:00 PM,9.275,301.4,,,,
78,11.30.22 01:50:00 PM,9.373,344.4,,,,
79,11.30.22 02:00:00 PM,9.472,236.8,,,,
80,11.30.22 02:10:00 PM,9.373,301.4,,,,
81,11.30.22 02:20:00 PM,9.472,279.9,,,,
82,11.30.22 02:30:00 PM,9.472,215.3,,,,
83,11.30.22 02:40:00 PM,9.373,139.9,,,,
84,11.30.22 02:50:00 PM,9.373,226.0,,,,
85,11.30.22 03:00:00 PM,9.176,183.0,,,,
86,11.30.22 03:10:00 PM,9.275,172.2,,,,
87,11.30.22 03:20:00 PM,9.176,107.6,,,,
88,11.30.22 03:30:00 PM,9.077,290.6,,,,
89,11.30.22 03:40:00 PM,8.978,150.7,,,,
90,11.30.22 03:50:00 PM,8.978,86.1,,,,
91,11.30.22 04:00:00 PM,8.978,32.3,,,,
92,11.30.22 04:10:00 PM,8.879,0.0,,,,
93,11.30.22 04:20:00 PM,8.879,0.0,,,,
94,11.30.22 04:30:00 PM,8.779,0.0,,,,
95,11.30.22 04:40:00 PM,8.779,0.0,,,,
96,11.30.22 04:50:00 PM,8.581,0.0,,,,
97,11.30.22 05:00:00 PM,8.481,0.0,,,,
98,11.30.22 05:10:00 PM,8.481,0.0,,,,
99,11.30.22 05:20:00 PM,8.581,0.0,,,,
100,11.30.22 05:30:00 PM,8.382,0.0,,,,
101,11.30.22 05:40:00 PM,8.581,0.0,,,,
102,11.30.22 05:50:00 PM,8.680,0.0,,,,
103,11.30.22 06:00:00 PM,8.382,0.0,,,,
104,11.30.22 06:10:00 PM,8.282,0.0,,,,
105,11.30.22 06:20:00 PM,8.481,0.0,,,,
106,11.30.22 06:30:00 PM,8.481,0.0,,,,
107,11.30.22 06:40:00 PM,8.382,0.0,,,,
108,11.30.22 06:50:00 PM,8.382,0.0,,,,
109,11.30.22 07:00:00 PM,8.382,0.0,,,,
110,11.30.22 07:10:00 PM,8.382,0.0,,,,
111,11.30.22 07:20:00 PM,8.182,0.0,,,,
112,11.30.22 07:30:00 PM,8.182,0.0,,,,
