"Plot-Titel: 10347378"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347378, SEN S/N: 10347378)","Intensität, Lux (LGR S/N: 10347378, SEN S/N: 10347378)","Koppler verbunden (LGR S/N: 10347378)","Host verbunden (LGR S/N: 10347378)","Angehalten (LGR S/N: 10347378)","Dateiende (LGR S/N: 10347378)"
1,11.30.22 01:00:00 AM,6.573,0.0,,,,
2,11.30.22 01:10:00 AM,6.471,0.0,,,,
3,11.30.22 01:20:00 AM,6.268,0.0,,,,
4,11.30.22 01:30:00 AM,6.370,0.0,,,,
5,11.30.22 01:40:00 AM,6.573,0.0,,,,
6,11.30.22 01:50:00 AM,6.471,0.0,,,,
7,11.30.22 02:00:00 AM,6.370,0.0,,,,
8,11.30.22 02:10:00 AM,6.268,0.0,,,,
9,11.30.22 02:20:00 AM,6.268,0.0,,,,
10,11.30.22 02:30:00 AM,6.370,0.0,,,,
11,11.30.22 02:40:00 AM,6.370,0.0,,,,
12,11.30.22 02:50:00 AM,6.471,0.0,,,,
13,11.30.22 03:00:00 AM,6.471,0.0,,,,
14,11.30.22 03:10:00 AM,6.166,0.0,,,,
15,11.30.22 03:20:00 AM,6.166,0.0,,,,
16,11.30.22 03:30:00 AM,6.064,0.0,,,,
17,11.30.22 03:40:00 AM,6.166,0.0,,,,
18,11.30.22 03:50:00 AM,6.268,0.0,,,,
19,11.30.22 04:00:00 AM,6.370,0.0,,,,
20,11.30.22 04:10:00 AM,6.573,0.0,,,,
21,11.30.22 04:20:00 AM,6.573,0.0,,,,
22,11.30.22 04:30:00 AM,6.471,0.0,,,,
23,11.30.22 04:40:00 AM,6.471,0.0,,,,
24,11.30.22 04:50:00 AM,6.471,0.0,,,,
25,11.30.22 05:00:00 AM,6.573,0.0,,,,
26,11.30.22 05:10:00 AM,6.573,0.0,,,,
27,11.30.22 05:20:00 AM,6.573,0.0,,,,
28,11.30.22 05:30:00 AM,6.471,0.0,,,,
29,11.30.22 05:40:00 AM,6.370,0.0,,,,
30,11.30.22 05:50:00 AM,6.064,0.0,,,,
31,11.30.22 06:00:00 AM,5.655,0.0,,,,
32,11.30.22 06:10:00 AM,5.757,0.0,,,,
33,11.30.22 06:20:00 AM,6.064,0.0,,,,
34,11.30.22 06:30:00 AM,5.962,0.0,,,,
35,11.30.22 06:40:00 AM,6.064,0.0,,,,
36,11.30.22 06:50:00 AM,6.268,0.0,,,,
37,11.30.22 07:00:00 AM,6.268,0.0,,,,
38,11.30.22 07:10:00 AM,6.268,0.0,,,,
39,11.30.22 07:20:00 AM,6.166,0.0,,,,
40,11.30.22 07:30:00 AM,6.166,0.0,,,,
41,11.30.22 07:40:00 AM,6.268,0.0,,,,
42,11.30.22 07:50:00 AM,6.268,10.8,,,,
43,11.30.22 08:00:00 AM,6.166,96.9,,,,
44,11.30.22 08:10:00 AM,6.268,129.2,,,,
45,11.30.22 08:20:00 AM,6.268,139.9,,,,
46,11.30.22 08:30:00 AM,6.370,172.2,,,,
47,11.30.22 08:40:00 AM,6.268,236.8,,,,
48,11.30.22 08:50:00 AM,6.370,355.2,,,,
49,11.30.22 09:00:00 AM,6.471,430.6,,,,
50,11.30.22 09:10:00 AM,6.471,505.9,,,,
51,11.30.22 09:20:00 AM,6.370,624.3,,,,
52,11.30.22 09:30:00 AM,6.471,538.2,,,,
53,11.30.22 09:40:00 AM,6.573,473.6,,,,
54,11.30.22 09:50:00 AM,6.775,656.6,,,,
55,11.30.22 10:00:00 AM,6.775,731.9,,,,
56,11.30.22 10:10:00 AM,6.978,1291.7,,,,
57,11.30.22 10:20:00 AM,7.280,1550.0,,,,
58,11.30.22 10:30:00 AM,7.481,1894.5,,,,
59,11.30.22 10:40:00 AM,7.682,1980.6,,,,
60,11.30.22 10:50:00 AM,7.682,1808.3,,,,
61,11.30.22 11:00:00 AM,7.882,1980.6,,,,
62,11.30.22 11:10:00 AM,8.082,2238.9,,,,
63,11.30.22 11:20:00 AM,8.182,1722.2,,,,
64,11.30.22 11:30:00 AM,7.782,1980.6,,,,
65,11.30.22 11:40:00 AM,7.782,2066.7,,,,
66,11.30.22 11:50:00 AM,7.983,1980.6,,,,
67,11.30.22 12:00:00 PM,8.182,1894.5,,,,
68,11.30.22 12:10:00 PM,8.481,2411.1,,,,
69,11.30.22 12:20:00 PM,8.680,2152.8,,,,
70,11.30.22 12:30:00 PM,8.581,1550.0,,,,
71,11.30.22 12:40:00 PM,8.879,2497.2,,,,
72,11.30.22 12:50:00 PM,8.879,2325.0,,,,
73,11.30.22 01:00:00 PM,8.978,2152.8,,,,
74,11.30.22 01:10:00 PM,9.077,2755.6,,,,
75,11.30.22 01:20:00 PM,9.077,1894.5,,,,
76,11.30.22 01:30:00 PM,8.879,1463.9,,,,
77,11.30.22 01:40:00 PM,9.077,2927.8,,,,
78,11.30.22 01:50:00 PM,9.571,2066.7,,,,
79,11.30.22 02:00:00 PM,9.866,2927.8,,,,
80,11.30.22 02:10:00 PM,9.669,1722.2,,,,
81,11.30.22 02:20:00 PM,9.472,1377.8,,,,
82,11.30.22 02:30:00 PM,9.373,1377.8,,,,
83,11.30.22 02:40:00 PM,9.077,624.3,,,,
84,11.30.22 02:50:00 PM,8.879,1001.0,,,,
85,11.30.22 03:00:00 PM,8.978,1065.6,,,,
86,11.30.22 03:10:00 PM,8.978,1011.8,,,,
87,11.30.22 03:20:00 PM,8.879,1054.9,,,,
88,11.30.22 03:30:00 PM,8.978,1722.2,,,,
89,11.30.22 03:40:00 PM,8.879,1345.5,,,,
90,11.30.22 03:50:00 PM,8.581,398.3,,,,
91,11.30.22 04:00:00 PM,8.481,419.8,,,,
92,11.30.22 04:10:00 PM,8.282,269.1,,,,
93,11.30.22 04:20:00 PM,8.182,107.6,,,,
94,11.30.22 04:30:00 PM,8.082,43.1,,,,
95,11.30.22 04:40:00 PM,7.983,10.8,,,,
96,11.30.22 04:50:00 PM,7.882,0.0,,,,
97,11.30.22 05:00:00 PM,7.882,0.0,,,,
98,11.30.22 05:10:00 PM,7.882,0.0,,,,
99,11.30.22 05:20:00 PM,7.882,0.0,,,,
100,11.30.22 05:30:00 PM,7.882,0.0,,,,
101,11.30.22 05:40:00 PM,7.782,0.0,,,,
102,11.30.22 05:50:00 PM,7.682,0.0,,,,
103,11.30.22 06:00:00 PM,7.582,0.0,,,,
104,11.30.22 06:10:00 PM,7.481,0.0,,,,
105,11.30.22 06:20:00 PM,7.481,0.0,,,,
106,11.30.22 06:30:00 PM,7.481,0.0,,,,
107,11.30.22 06:40:00 PM,7.481,0.0,,,,
108,11.30.22 06:50:00 PM,7.381,0.0,,,,
109,11.30.22 07:00:00 PM,7.280,0.0,,,,
110,11.30.22 07:10:00 PM,7.179,0.0,,,,
111,11.30.22 07:20:00 PM,7.079,0.0,,,,
112,11.30.22 07:30:00 PM,7.079,0.0,,,,
113,11.30.22 07:40:00 PM,7.079,0.0,,,,
114,11.30.22 07:50:00 PM,6.978,0.0,,,,
115,11.30.22 08:00:00 PM,7.079,0.0,,,,
116,11.30.22 08:10:00 PM,6.978,0.0,,,,
117,11.30.22 08:20:00 PM,6.978,0.0,,,,
118,11.30.22 08:30:00 PM,6.978,0.0,,,,
119,11.30.22 08:40:00 PM,6.877,0.0,,,,
120,11.30.22 08:50:00 PM,6.877,0.0,,,,
121,11.30.22 09:00:00 PM,6.877,0.0,,,,
122,11.30.22 09:10:00 PM,6.877,0.0,,,,
123,11.30.22 09:20:00 PM,6.775,0.0,,,,
124,11.30.22 09:30:00 PM,6.775,0.0,,,,
125,11.30.22 09:40:00 PM,6.775,0.0,,,,
126,11.30.22 09:50:00 PM,6.775,0.0,,,,
127,11.30.22 10:00:00 PM,6.674,0.0,,,,
128,11.30.22 10:10:00 PM,6.674,0.0,,,,
129,11.30.22 10:20:00 PM,6.674,0.0,,,,
