"Plot-Titel: 10347328"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347328, SEN S/N: 10347328)","Intensität, Lux (LGR S/N: 10347328, SEN S/N: 10347328)","Koppler verbunden (LGR S/N: 10347328)","Host verbunden (LGR S/N: 10347328)","Angehalten (LGR S/N: 10347328)","Dateiende (LGR S/N: 10347328)"
1,11.30.22 01:00:00 AM,7.481,0.0,,,,
2,11.30.22 01:10:00 AM,7.481,0.0,,,,
3,11.30.22 01:20:00 AM,7.481,0.0,,,,
4,11.30.22 01:30:00 AM,7.481,0.0,,,,
5,11.30.22 01:40:00 AM,7.381,0.0,,,,
6,11.30.22 01:50:00 AM,7.481,0.0,,,,
7,11.30.22 02:00:00 AM,7.481,0.0,,,,
8,11.30.22 02:10:00 AM,7.481,0.0,,,,
9,11.30.22 02:20:00 AM,7.481,0.0,,,,
10,11.30.22 02:30:00 AM,7.481,0.0,,,,
11,11.30.22 02:40:00 AM,7.381,0.0,,,,
12,11.30.22 02:50:00 AM,7.381,0.0,,,,
13,11.30.22 03:00:00 AM,7.280,0.0,,,,
14,11.30.22 03:10:00 AM,7.280,0.0,,,,
15,11.30.22 03:20:00 AM,7.280,0.0,,,,
16,11.30.22 03:30:00 AM,7.179,0.0,,,,
17,11.30.22 03:40:00 AM,7.079,0.0,,,,
18,11.30.22 03:50:00 AM,7.179,0.0,,,,
19,11.30.22 04:00:00 AM,7.079,0.0,,,,
20,11.30.22 04:10:00 AM,7.280,0.0,,,,
21,11.30.22 04:20:00 AM,7.280,0.0,,,,
22,11.30.22 04:30:00 AM,7.381,0.0,,,,
23,11.30.22 04:40:00 AM,7.381,0.0,,,,
24,11.30.22 04:50:00 AM,7.381,0.0,,,,
25,11.30.22 05:00:00 AM,7.481,0.0,,,,
26,11.30.22 05:10:00 AM,7.481,0.0,,,,
27,11.30.22 05:20:00 AM,7.381,0.0,,,,
28,11.30.22 05:30:00 AM,7.280,0.0,,,,
29,11.30.22 05:40:00 AM,7.179,0.0,,,,
30,11.30.22 05:50:00 AM,7.179,0.0,,,,
31,11.30.22 06:00:00 AM,7.079,0.0,,,,
32,11.30.22 06:10:00 AM,7.179,0.0,,,,
33,11.30.22 06:20:00 AM,7.079,0.0,,,,
34,11.30.22 06:30:00 AM,7.280,0.0,,,,
35,11.30.22 06:40:00 AM,7.179,0.0,,,,
36,11.30.22 06:50:00 AM,7.179,0.0,,,,
37,11.30.22 07:00:00 AM,7.079,0.0,,,,
38,11.30.22 07:10:00 AM,7.079,0.0,,,,
39,11.30.22 07:20:00 AM,7.079,0.0,,,,
40,11.30.22 07:30:00 AM,7.079,0.0,,,,
41,11.30.22 07:40:00 AM,6.978,0.0,,,,
42,11.30.22 07:50:00 AM,7.079,0.0,,,,
43,11.30.22 08:00:00 AM,6.978,43.1,,,,
44,11.30.22 08:10:00 AM,6.978,53.8,,,,
45,11.30.22 08:20:00 AM,7.079,64.6,,,,
46,11.30.22 08:30:00 AM,7.079,96.9,,,,
47,11.30.22 08:40:00 AM,7.179,96.9,,,,
48,11.30.22 08:50:00 AM,7.179,107.6,,,,
49,11.30.22 09:00:00 AM,7.280,139.9,,,,
50,11.30.22 09:10:00 AM,7.280,161.5,,,,
51,11.30.22 09:20:00 AM,7.280,215.3,,,,
52,11.30.22 09:30:00 AM,7.280,258.3,,,,
53,11.30.22 09:40:00 AM,7.280,236.8,,,,
54,11.30.22 09:50:00 AM,7.381,366.0,,,,
55,11.30.22 10:00:00 AM,7.381,419.8,,,,
56,11.30.22 10:10:00 AM,7.481,710.4,,,,
57,11.30.22 10:20:00 AM,7.682,1151.7,,,,
58,11.30.22 10:30:00 AM,7.882,1550.0,,,,
59,11.30.22 10:40:00 AM,8.082,1377.8,,,,
60,11.30.22 10:50:00 AM,8.182,1302.4,,,,
61,11.30.22 11:00:00 AM,8.182,1377.8,,,,
62,11.30.22 11:10:00 AM,8.182,1722.2,,,,
63,11.30.22 11:20:00 AM,8.382,1808.3,,,,
64,11.30.22 11:30:00 AM,8.581,2066.7,,,,
65,11.30.22 11:40:00 AM,8.680,1894.5,,,,
66,11.30.22 11:50:00 AM,8.879,2238.9,,,,
67,11.30.22 12:00:00 PM,9.077,2325.0,,,,
68,11.30.22 12:10:00 PM,9.077,1894.5,,,,
69,11.30.22 12:20:00 PM,9.176,2583.4,,,,
70,11.30.22 12:30:00 PM,9.275,2325.0,,,,
71,11.30.22 12:40:00 PM,9.176,2325.0,,,,
72,11.30.22 12:50:00 PM,9.571,3616.7,,,,
73,11.30.22 01:00:00 PM,9.866,4477.8,,,,
74,11.30.22 01:10:00 PM,10.651,5511.1,,,,
75,11.30.22 01:20:00 PM,12.883,11022.3,,,,
76,11.30.22 01:30:00 PM,12.883,18600.1,,,,
77,11.30.22 01:40:00 PM,14.038,21355.7,,,,
78,11.30.22 01:50:00 PM,12.980,4133.4,,,,
79,11.30.22 02:00:00 PM,12.690,3616.7,,,,
80,11.30.22 02:10:00 PM,11.625,2066.7,,,,
81,11.30.22 02:20:00 PM,10.846,1324.0,,,,
82,11.30.22 02:30:00 PM,10.357,1022.6,,,,
83,11.30.22 02:40:00 PM,9.866,645.8,,,,
84,11.30.22 02:50:00 PM,9.571,570.5,,,,
85,11.30.22 03:00:00 PM,9.373,624.3,,,,
86,11.30.22 03:10:00 PM,9.275,710.4,,,,
87,11.30.22 03:20:00 PM,9.176,570.5,,,,
