"Plot-Titel: 10347321"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347321, SEN S/N: 10347321)","Intensität, Lux (LGR S/N: 10347321, SEN S/N: 10347321)","Batterie defekt (LGR S/N: 10347321)","Koppler verbunden (LGR S/N: 10347321)","Host verbunden (LGR S/N: 10347321)","Angehalten (LGR S/N: 10347321)","Dateiende (LGR S/N: 10347321)"
1,11.30.22 01:00:00 AM,19.187,0.0,,,,,
2,11.30.22 01:10:00 AM,19.092,0.0,,,,,
3,11.30.22 01:20:00 AM,19.092,0.0,,,,,
4,11.30.22 01:30:00 AM,18.996,0.0,,,,,
5,11.30.22 01:40:00 AM,18.996,0.0,,,,,
6,11.30.22 01:50:00 AM,18.996,0.0,,,,,
7,11.30.22 02:00:00 AM,18.996,0.0,,,,,
8,11.30.22 02:10:00 AM,18.996,0.0,,,,,
9,11.30.22 02:20:00 AM,18.996,0.0,,,,,
10,11.30.22 02:30:00 AM,18.996,0.0,,,,,
11,11.30.22 02:40:00 AM,18.996,0.0,,,,,
12,11.30.22 02:50:00 AM,18.996,0.0,,,,,
13,11.30.22 03:00:00 AM,18.996,0.0,,,,,
14,11.30.22 03:10:00 AM,18.996,0.0,,,,,
15,11.30.22 03:20:00 AM,18.901,0.0,,,,,
16,11.30.22 03:30:00 AM,18.901,0.0,,,,,
17,11.30.22 03:40:00 AM,18.901,0.0,,,,,
18,11.30.22 03:50:00 AM,18.901,0.0,,,,,
19,11.30.22 04:00:00 AM,18.901,0.0,,,,,
20,11.30.22 04:10:00 AM,18.806,0.0,,,,,
21,11.30.22 04:20:00 AM,18.806,0.0,,,,,
22,11.30.22 04:30:00 AM,18.806,0.0,,,,,
23,11.30.22 04:40:00 AM,18.806,0.0,,,,,
24,11.30.22 04:50:00 AM,18.806,0.0,,,,,
25,11.30.22 05:00:00 AM,18.806,0.0,,,,,
26,11.30.22 05:10:00 AM,18.806,0.0,,,,,
27,11.30.22 05:20:00 AM,18.806,0.0,,,,,
28,11.30.22 05:30:00 AM,18.806,0.0,,,,,
29,11.30.22 05:40:00 AM,18.806,0.0,,,,,
30,11.30.22 05:50:00 AM,18.806,0.0,,,,,
31,11.30.22 06:00:00 AM,18.711,0.0,,,,,
32,11.30.22 06:10:00 AM,18.711,0.0,,,,,
33,11.30.22 06:20:00 AM,18.711,0.0,,,,,
34,11.30.22 06:30:00 AM,18.711,0.0,,,,,
35,11.30.22 06:40:00 AM,18.711,0.0,,,,,
36,11.30.22 06:50:00 AM,18.711,0.0,,,,,
37,11.30.22 07:00:00 AM,18.711,0.0,,,,,
38,11.30.22 07:10:00 AM,18.711,0.0,,,,,
39,11.30.22 07:20:00 AM,18.711,0.0,,,,,
40,11.30.22 07:30:00 AM,18.711,0.0,,,,,
41,11.30.22 07:40:00 AM,18.711,0.0,,,,,
42,11.30.22 07:50:00 AM,18.711,0.0,,,,,
43,11.30.22 08:00:00 AM,18.711,0.0,,,,,
44,11.30.22 08:10:00 AM,18.711,0.0,,,,,
45,11.30.22 08:20:00 AM,18.806,0.0,,,,,
46,11.30.22 08:30:00 AM,18.806,0.0,,,,,
47,11.30.22 08:40:00 AM,18.901,10.8,,,,,
48,11.30.22 08:50:00 AM,18.996,10.8,,,,,
49,11.30.22 09:00:00 AM,18.996,10.8,,,,,
50,11.30.22 09:10:00 AM,18.996,10.8,,,,,
51,11.30.22 09:20:00 AM,18.996,10.8,,,,,
52,11.30.22 09:30:00 AM,18.996,10.8,,,,,
53,11.30.22 09:40:00 AM,18.996,21.5,,,,,
54,11.30.22 09:50:00 AM,18.996,43.1,,,,,
55,11.30.22 10:00:00 AM,19.092,64.6,,,,,
56,11.30.22 10:10:00 AM,19.092,64.6,,,,,
57,11.30.22 10:20:00 AM,19.092,64.6,,,,,
58,11.30.22 10:30:00 AM,19.092,75.3,,,,,
59,11.30.22 10:40:00 AM,19.187,86.1,,,,,
60,11.30.22 10:50:00 AM,19.187,86.1,,,,,
61,11.30.22 11:00:00 AM,19.187,86.1,,,,,
62,11.30.22 11:10:00 AM,19.187,86.1,,,,,
63,11.30.22 11:20:00 AM,19.187,96.9,,,,,
64,11.30.22 11:30:00 AM,19.187,64.6,,,,,
65,11.30.22 11:40:00 AM,19.187,53.8,,,,,
66,11.30.22 11:50:00 AM,19.187,64.6,,,,,
67,11.30.22 12:00:00 PM,19.187,86.1,,,,,
68,11.30.22 12:10:00 PM,19.187,86.1,,,,,
69,11.30.22 12:20:00 PM,19.282,75.3,,,,,
70,11.30.22 12:30:00 PM,19.282,75.3,,,,,
71,11.30.22 12:40:00 PM,19.282,107.6,,,,,
72,11.30.22 12:50:00 PM,19.377,107.6,,,,,
73,11.30.22 01:00:00 PM,19.377,107.6,,,,,
74,11.30.22 01:10:00 PM,19.377,118.4,,,,,
75,11.30.22 01:20:00 PM,19.377,107.6,,,,,
76,11.30.22 01:30:00 PM,19.377,150.7,,,,,
77,11.30.22 01:40:00 PM,19.377,129.2,,,,,
78,11.30.22 01:50:00 PM,19.377,96.9,,,,,
79,11.30.22 02:00:00 PM,19.377,64.6,,,,,
80,11.30.22 02:10:00 PM,19.377,64.6,,,,,
81,11.30.22 02:20:00 PM,19.377,64.6,,,,,
82,11.30.22 02:30:00 PM,19.377,53.8,,,,,
83,11.30.22 02:40:00 PM,19.377,53.8,,,,,
84,11.30.22 02:50:00 PM,19.377,43.1,,,,,
85,11.30.22 03:00:00 PM,19.377,43.1,,,,,
86,11.30.22 03:10:00 PM,19.377,21.5,,,,,
87,11.30.22 03:20:00 PM,19.377,43.1,,,,,
88,11.30.22 03:30:00 PM,19.377,21.5,,,,,
89,11.30.22 03:40:00 PM,19.377,21.5,,,,,
90,11.30.22 03:50:00 PM,19.377,10.8,,,,,
91,11.30.22 04:00:00 PM,19.377,0.0,,,,,
92,11.30.22 04:10:00 PM,19.377,0.0,,,,,
93,11.30.22 04:20:00 PM,19.472,0.0,,,,,
94,11.30.22 04:30:00 PM,19.472,0.0,,,,,
95,11.30.22 04:40:00 PM,19.472,0.0,,,,,
96,11.30.22 04:50:00 PM,19.472,0.0,,,,,
97,11.30.22 05:00:00 PM,19.472,0.0,,,,,
98,11.30.22 05:10:00 PM,19.472,0.0,,,,,
99,11.30.22 05:20:00 PM,19.472,0.0,,,,,
100,11.30.22 05:30:00 PM,19.472,0.0,,,,,
101,11.30.22 05:40:00 PM,19.472,0.0,,,,,
102,11.30.22 05:50:00 PM,20.424,0.0,,,,,
103,11.30.22 06:00:00 PM,16.046,0.0,,,,,
104,11.30.22 06:10:00 PM,8.879,0.0,,,,,
105,11.30.22 06:20:00 PM,7.280,0.0,,,,,
106,11.30.22 06:30:00 PM,6.978,0.0,,,,,
107,11.30.22 06:40:00 PM,6.978,0.0,,,,,
108,11.30.22 06:50:00 PM,7.079,0.0,,,,,
109,11.30.22 07:00:00 PM,7.079,0.0,,,,,
110,11.30.22 07:10:00 PM,6.978,0.0,,,,,
111,11.30.22 07:20:00 PM,6.978,0.0,,,,,
112,11.30.22 07:30:00 PM,6.877,0.0,,,,,
113,11.30.22 07:40:00 PM,6.978,0.0,,,,,
114,11.30.22 07:50:00 PM,6.978,0.0,,,,,
115,11.30.22 08:00:00 PM,6.877,0.0,,,,,
116,11.30.22 08:10:00 PM,6.877,0.0,,,,,
117,11.30.22 08:20:00 PM,6.877,0.0,,,,,
118,11.30.22 08:30:00 PM,6.877,0.0,,,,,
119,11.30.22 08:40:00 PM,6.877,0.0,,,,,
120,11.30.22 08:50:00 PM,6.877,0.0,,,,,
121,11.30.22 09:00:00 PM,6.775,0.0,,,,,
122,11.30.22 09:10:00 PM,6.877,0.0,,,,,
123,11.30.22 09:20:00 PM,6.775,0.0,,,,,
124,11.30.22 09:30:00 PM,6.775,0.0,,,,,
