"Plot-Titel: 10347367"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347367, SEN S/N: 10347367)","Intensität, Lux (LGR S/N: 10347367, SEN S/N: 10347367)","Dateiende (LGR S/N: 10347367)"
119,11.30.22 01:19:40 AM,19.948,0.0,
120,11.30.22 01:19:50 AM,19.948,0.0,
121,11.30.22 01:20:00 AM,19.948,0.0,
122,11.30.22 01:20:10 AM,20.043,0.0,
123,11.30.22 01:20:20 AM,19.948,0.0,
124,11.30.22 01:20:30 AM,19.948,0.0,
125,11.30.22 01:20:40 AM,19.948,0.0,
126,11.30.22 01:20:50 AM,19.948,0.0,
127,11.30.22 01:21:00 AM,19.948,0.0,
128,11.30.22 01:21:10 AM,19.948,0.0,
129,11.30.22 01:21:20 AM,19.948,0.0,
130,11.30.22 01:21:30 AM,19.948,0.0,
131,11.30.22 01:21:40 AM,19.948,0.0,
132,11.30.22 01:21:50 AM,19.948,0.0,
133,11.30.22 01:22:00 AM,19.948,0.0,
134,11.30.22 01:22:10 AM,19.948,0.0,
135,11.30.22 01:22:20 AM,19.948,0.0,
136,11.30.22 01:22:30 AM,19.948,0.0,
137,11.30.22 01:22:40 AM,19.948,0.0,
138,11.30.22 01:22:50 AM,19.948,0.0,
139,11.30.22 01:23:00 AM,19.948,0.0,
140,11.30.22 01:23:10 AM,19.948,0.0,
141,11.30.22 01:23:20 AM,19.948,0.0,
142,11.30.22 01:23:30 AM,19.948,0.0,
143,11.30.22 01:23:40 AM,19.948,0.0,
144,11.30.22 01:23:50 AM,19.948,0.0,
145,11.30.22 01:24:00 AM,19.948,0.0,
146,11.30.22 01:24:10 AM,19.948,0.0,
147,11.30.22 01:24:20 AM,19.948,0.0,
148,11.30.22 01:24:30 AM,19.948,0.0,
149,11.30.22 01:24:40 AM,19.948,0.0,
150,11.30.22 01:24:50 AM,19.948,0.0,
151,11.30.22 01:25:00 AM,19.948,0.0,
152,11.30.22 01:25:10 AM,19.948,0.0,
153,11.30.22 01:25:20 AM,19.948,0.0,
154,11.30.22 01:25:30 AM,19.948,0.0,
155,11.30.22 01:25:40 AM,19.948,0.0,
156,11.30.22 01:25:50 AM,19.948,0.0,
157,11.30.22 01:26:00 AM,19.948,0.0,
158,11.30.22 01:26:10 AM,19.948,0.0,
159,11.30.22 01:26:20 AM,19.948,0.0,
160,11.30.22 01:26:30 AM,19.948,0.0,
161,11.30.22 01:26:40 AM,19.948,0.0,
162,11.30.22 01:26:50 AM,19.948,0.0,
163,11.30.22 01:27:00 AM,19.948,0.0,
164,11.30.22 01:27:10 AM,19.948,0.0,
165,11.30.22 01:27:20 AM,19.948,0.0,
166,11.30.22 01:27:30 AM,19.948,0.0,
167,11.30.22 01:27:40 AM,19.948,0.0,
168,11.30.22 01:27:50 AM,19.948,0.0,
169,11.30.22 01:28:00 AM,19.948,0.0,
170,11.30.22 01:28:10 AM,19.948,0.0,
171,11.30.22 01:28:20 AM,19.948,0.0,
172,11.30.22 01:28:30 AM,19.948,0.0,
173,11.30.22 01:28:40 AM,19.948,0.0,
174,11.30.22 01:28:50 AM,19.948,0.0,
175,11.30.22 01:29:00 AM,19.948,0.0,
176,11.30.22 01:29:10 AM,19.948,0.0,
177,11.30.22 01:29:20 AM,19.948,0.0,
178,11.30.22 01:29:30 AM,19.948,0.0,
179,11.30.22 01:29:40 AM,19.948,0.0,
180,11.30.22 01:29:50 AM,19.948,0.0,
181,11.30.22 01:30:00 AM,19.948,0.0,
182,11.30.22 01:30:10 AM,19.948,0.0,
183,11.30.22 01:30:20 AM,19.948,0.0,
184,11.30.22 01:30:30 AM,19.948,0.0,
185,11.30.22 01:30:40 AM,19.948,0.0,
186,11.30.22 01:30:50 AM,19.948,0.0,
187,11.30.22 01:31:00 AM,19.948,0.0,
188,11.30.22 01:31:10 AM,19.948,0.0,
189,11.30.22 01:31:20 AM,19.948,0.0,
190,11.30.22 01:31:30 AM,19.948,0.0,
191,11.30.22 01:31:40 AM,19.948,0.0,
192,11.30.22 01:31:50 AM,19.948,0.0,
193,11.30.22 01:32:00 AM,19.948,0.0,
194,11.30.22 01:32:10 AM,19.948,0.0,
195,11.30.22 01:32:20 AM,19.948,0.0,
196,11.30.22 01:32:30 AM,19.948,0.0,
197,11.30.22 01:32:40 AM,19.948,0.0,
198,11.30.22 01:32:50 AM,19.948,0.0,
199,11.30.22 01:33:00 AM,19.948,0.0,
200,11.30.22 01:33:10 AM,19.948,0.0,
201,11.30.22 01:33:20 AM,19.948,0.0,
202,11.30.22 01:33:30 AM,19.948,0.0,
203,11.30.22 01:33:40 AM,19.948,0.0,
204,11.30.22 01:33:50 AM,19.948,0.0,
205,11.30.22 01:34:00 AM,19.948,0.0,
206,11.30.22 01:34:10 AM,19.948,0.0,
207,11.30.22 01:34:20 AM,19.948,0.0,
208,11.30.22 01:34:30 AM,19.948,0.0,
209,11.30.22 01:34:40 AM,19.948,0.0,
210,11.30.22 01:34:50 AM,19.948,0.0,
211,11.30.22 01:35:00 AM,19.948,0.0,
212,11.30.22 01:35:10 AM,19.948,0.0,
213,11.30.22 01:35:20 AM,19.948,0.0,
214,11.30.22 01:35:30 AM,19.948,0.0,
215,11.30.22 01:35:40 AM,19.948,0.0,
216,11.30.22 01:35:50 AM,19.948,0.0,
217,11.30.22 01:36:00 AM,19.948,0.0,
218,11.30.22 01:36:10 AM,19.948,0.0,
219,11.30.22 01:36:20 AM,19.948,0.0,
220,11.30.22 01:36:30 AM,19.948,0.0,
221,11.30.22 01:36:40 AM,19.948,0.0,
222,11.30.22 01:36:50 AM,19.948,0.0,
223,11.30.22 01:37:00 AM,19.948,0.0,
224,11.30.22 01:37:10 AM,19.948,0.0,
225,11.30.22 01:37:20 AM,19.948,0.0,
226,11.30.22 01:37:30 AM,19.948,0.0,
227,11.30.22 01:37:40 AM,19.948,0.0,
228,11.30.22 01:37:50 AM,19.948,0.0,
229,11.30.22 01:38:00 AM,19.948,0.0,
230,11.30.22 01:38:10 AM,19.948,0.0,
231,11.30.22 01:38:20 AM,19.948,0.0,
232,11.30.22 01:38:30 AM,19.948,0.0,
233,11.30.22 01:38:40 AM,19.948,0.0,
234,11.30.22 01:38:50 AM,19.948,0.0,
235,11.30.22 01:39:00 AM,19.948,0.0,
236,11.30.22 01:39:10 AM,19.948,0.0,
237,11.30.22 01:39:20 AM,19.948,0.0,
238,11.30.22 01:39:30 AM,19.948,0.0,
239,11.30.22 01:39:40 AM,19.948,0.0,
240,11.30.22 01:39:50 AM,19.948,0.0,
241,11.30.22 01:40:00 AM,19.948,0.0,
242,11.30.22 01:40:10 AM,19.948,0.0,
243,11.30.22 01:40:20 AM,19.948,0.0,
244,11.30.22 01:40:30 AM,19.948,0.0,
245,11.30.22 01:40:40 AM,19.948,0.0,
246,11.30.22 01:40:50 AM,19.948,0.0,
247,11.30.22 01:41:00 AM,19.948,0.0,
248,11.30.22 01:41:10 AM,19.948,0.0,
249,11.30.22 01:41:20 AM,19.948,0.0,
250,11.30.22 01:41:30 AM,19.948,0.0,
251,11.30.22 01:41:40 AM,19.948,0.0,
252,11.30.22 01:41:50 AM,19.948,0.0,
253,11.30.22 01:42:00 AM,19.948,0.0,
254,11.30.22 01:42:10 AM,19.948,0.0,
255,11.30.22 01:42:20 AM,19.948,0.0,
256,11.30.22 01:42:30 AM,19.948,0.0,
257,11.30.22 01:42:40 AM,19.948,0.0,
258,11.30.22 01:42:50 AM,19.948,0.0,
259,11.30.22 01:43:00 AM,19.948,0.0,
260,11.30.22 01:43:10 AM,19.948,0.0,
261,11.30.22 01:43:20 AM,19.948,0.0,
262,11.30.22 01:43:30 AM,19.948,0.0,
263,11.30.22 01:43:40 AM,19.948,0.0,
264,11.30.22 01:43:50 AM,19.948,0.0,
265,11.30.22 01:44:00 AM,19.948,0.0,
266,11.30.22 01:44:10 AM,19.948,0.0,
267,11.30.22 01:44:20 AM,19.948,0.0,
