date	hour	th	origin
2019-12-14	0	5.723	H
2019-12-14	1	6.319	H
2019-12-14	2	6.013	H
2019-12-14	3	6.234	H
2019-12-14	4	6.64	H
2019-12-14	5	8.131	H
2019-12-14	6	8.713	H
2019-12-14	7	8.68	H
2019-12-14	8	9.291	H
2019-12-14	9	9.043	H
2019-12-14	10	8.703	R
2019-12-14	11	8.978	R
2019-12-14	12	9.252	R
2019-12-14	13	9.435	R
2019-12-14	14	9.892	R
2019-12-14	15	10.441	R
2019-12-14	16	10.112	H
2019-12-14	17	9.981	H
2019-12-14	18	9.866	H
2019-12-14	19	10.161	H
2019-12-14	20	10.373	H
2019-12-14	21	10.716	H
2019-12-14	22	11.236	H
2019-12-14	23	11.171	H
2019-12-15	0	9.652	H
2019-12-15	1	8.961	H
2019-12-15	2	10.111	H
2019-12-15	3	11.511	H
2019-12-15	4	12.529	H
2019-12-15	5	12.787	H
2019-12-15	6	13.205	H
2019-12-15	7	13.285	H
2019-12-15	8	13.429	H
2019-12-15	9	13.55	R
2019-12-15	10	13.641	R
2019-12-15	11	13.367	R
2019-12-15	12	13.276	R
2019-12-15	13	12.727	R
2019-12-15	14	12.361	R
2019-12-15	15	12.706	H
2019-12-15	16	12.126	H
2019-12-15	17	11.09	H
2019-12-15	18	10.194	H
2019-12-15	19	9.554	H
2019-12-15	20	8.763	H
2019-12-15	21	8.182	H
2019-12-15	22	8.199	H
2019-12-15	23	7.999	H
2019-12-16	0	7.799	H
2019-12-16	1	8.132	H
2019-12-16	2	7.966	H
2019-12-16	3	7.279	H
2019-12-16	4	6.285	H
2019-12-16	5	6.165	H
2019-12-16	6	5.808	H
2019-12-16	7	6.217	H
2019-12-16	8	6.251	H
2019-12-16	9	9.526	R
2019-12-16	10	11.721	R
2019-12-16	11	12.087	R
2019-12-16	12	12.544	R
2019-12-16	13	11.995	R
2019-12-16	14	11.995	R
2019-12-16	15	10.441	R
2019-12-16	16	9.191	H
2019-12-16	17	7.329	H
2019-12-16	18	6.149	H
2019-12-16	19	5.586	H
2019-12-16	20	5.758	H
2019-12-16	21	6.098	H
2019-12-16	22	5.943	H
2019-12-16	23	4.83	H
2019-12-17	0	4.311	H
2019-12-17	1	4.189	H
2019-12-17	2	3.805	H
2019-12-17	3	3.771	H
2019-12-17	4	3.7	H
2019-12-17	5	3.788	H
2019-12-17	6	4.015	H
2019-12-17	7	4.015	H
2019-12-17	8	3.472	H
2019-12-17	9	4.862	R
2019-12-17	10	9.892	R
2019-12-17	11	12.727	R
2019-12-17	12	12.361	R
2019-12-17	13	13.824	R
2019-12-17	14	14.464	R
2019-12-17	15	11.172	R
2019-12-17	16	9.931	H
2019-12-17	17	8.763	H
2019-12-17	18	8.249	H
2019-12-17	19	7.16	H
2019-12-17	20	5.5	H
2019-12-17	21	4.657	H
2019-12-17	22	4.415	H
2019-12-17	23	4.154	H
2019-12-18	0	5.051	H
2019-12-18	1	11.719	H
2019-12-18	2	12.835	H
2019-12-18	3	12.915	H
2019-12-18	4	12.529	H
2019-12-18	5	11.835	H
2019-12-18	6	11.463	H
2019-12-18	7	10.618	H
2019-12-18	8	9.981	H
2019-12-18	9	9.833	H
2019-12-18	10	10.806	R
2019-12-18	11	12.27	R
2019-12-18	12	14.281	R
2019-12-18	13	14.83	R
2019-12-18	14	14.556	R
2019-12-18	15	13.55	R
2019-12-18	16	10.909	H
2019-12-18	17	9.158	H
2019-12-18	18	7.949	H
2019-12-18	19	7.112	H
2019-12-18	20	6.623	H
2019-12-18	21	6.064	H
2019-12-18	22	5.192	H
2019-12-18	23	4.571	H
2019-12-19	0	4.033	H
2019-12-19	1	3.525	H
2019-12-19	2	3.19	H
2019-12-19	3	2.765	H
2019-12-19	4	2.231	H
2019-12-19	5	1.962	H
2019-12-19	6	1.818	H
2019-12-19	7	1.602	H
2019-12-19	8	1.89	H
2019-12-19	9	5.045	R
2019-12-19	10	6.691	R
2019-12-19	11	7.514	R
2019-12-19	12	9.801	R
2019-12-19	13	10.624	R
2019-12-19	14	9.709	R
2019-12-19	15	9.526	R
2019-12-19	16	8.662	H
2019-12-19	17	6.943	H
2019-12-19	18	5.689	H
2019-12-19	19	4.95	H
2019-12-19	20	4.501	H
2019-12-19	21	4.536	H
2019-12-19	22	4.155	H
2019-12-19	23	3.331	H
2019-12-20	0	2.57	H
2019-12-20	1	1.728	H
2019-12-20	2	1.53	H
2019-12-20	3	1.583	H
2019-12-20	4	2.106	H
2019-12-20	5	1.728	H
2019-12-20	6	1.185	H
2019-12-20	7	0.93	H
2019-12-20	8	1.421	H
2019-12-20	9	2.319	H
2019-12-20	10	3.91	H
2019-12-20	11	11.264	R
2019-12-20	12	6.874	R
2019-12-20	13	5.877	H
2019-12-20	14	6.25	H
2019-12-20	15	7.811	H
2019-12-20	16	9.406	H
2019-12-20	17	8.961	H
2019-12-20	18	8.415	H
2019-12-20	19	7.916	H
2019-12-20	20	7.699	H
2019-12-20	21	7.749	H
2019-12-20	22	7.347	H
2019-12-20	23	6.554	H
2019-12-21	0	5.277	H
2019-12-21	1	4.588	H
2019-12-21	2	4.588	H
2019-12-21	3	3.296	H
2019-12-21	4	2.712	H
2019-12-21	5	2.426	H
2019-12-21	6	2.356	H
2019-12-21	7	2.641	H
2019-12-21	8	2.249	H
2019-12-21	9	3.308	R
2019-12-21	10	6.691	R
2019-12-21	11	8.155	R
2019-12-21	12	8.978	R
2019-12-21	13	8.795	R
2019-12-21	14	8.886	R
2019-12-21	15	8.246	R
2019-12-21	16	7.213	H
2019-12-21	17	5	H
2019-12-21	18	3.77	H
2019-12-21	19	3.63	H
2019-12-21	20	3.084	H
2019-12-21	21	3.331	H
2019-12-21	22	4.137	H
2019-12-21	23	4.553	H
2019-12-22	0	6.638	H
2019-12-22	1	8.447	H
2019-12-22	2	9.209	H
2019-12-22	3	9.274	H
2019-12-22	4	9.226	H
2019-12-22	5	8.862	H
2019-12-22	6	8.779	H
2019-12-22	7	9.948	H
2019-12-22	8	9.538	H
2019-12-22	9	9.209	H
2019-12-22	10	9.709	R
2019-12-22	11	9.526	R
2019-12-22	12	9.16	R
2019-12-22	13	9.16	R
2019-12-22	14	9.027	H
2019-12-22	15	8.548	H
2019-12-22	16	8.514	H
2019-12-22	17	7.615	H
2019-12-22	18	7.364	H
2019-12-22	19	6.928	H
2019-12-22	20	6.944	H
2019-12-22	21	7.381	H
2019-12-22	22	7.128	H
2019-12-22	23	6.522	H
2019-12-23	0	6.59	H
2019-12-23	1	6.539	H
2019-12-23	2	6.556	H
2019-12-23	3	6.285	H
2019-12-23	4	6.657	H
2019-12-23	5	6.522	H
2019-12-23	6	6.471	H
2019-12-23	7	6.521	H
2019-12-23	8	6.522	H
2019-12-23	9	6.876	H
2019-12-23	10	7.448	H
2019-12-23	11	7.548	H
2019-12-23	12	7.697	R
2019-12-23	13	7.606	R
2019-12-23	14	7.88	R
2019-12-23	15	8.149	H
2019-12-23	16	7.615	H
2019-12-23	17	6.725	H
2019-12-23	18	6.623	H
2019-12-23	19	6.42	H
2019-12-23	20	5.825	H
2019-12-23	21	5.45	H
2019-12-23	22	5.74	H
2019-12-23	23	6.522	H
2019-12-24	0	6.404	H
2019-12-24	1	6.809	H
2019-12-24	2	6.944	H
2019-12-24	3	6.234	H
2019-12-24	4	6.556	H
2019-12-24	5	6.285	H
2019-12-24	6	6.978	H
2019-12-24	7	7.565	H
2019-12-24	8	7.347	H
2019-12-24	9	7.163	H
2019-12-24	10	7.011	H
2019-12-24	11	9.435	R
2019-12-24	12	9.435	R
2019-12-24	13	9.892	R
2019-12-24	14	10.441	R
2019-12-24	15	11.264	R
2019-12-24	16	10.226	H
2019-12-24	17	8.68	H
2019-12-24	18	8.547	H
2019-12-24	19	8.663	H
2019-12-24	20	8.382	H
2019-12-24	21	8.597	H
2019-12-24	22	8.862	H
2019-12-24	23	9.143	H
2019-12-25	0	8.597	H
2019-12-25	1	8.581	H
2019-12-25	2	8.564	H
2019-12-25	3	8.829	H
2019-12-25	4	9.011	H
2019-12-25	5	9.044	H
2019-12-25	6	9.027	H
2019-12-25	7	8.895	H
2019-12-25	8	8.829	H
2019-12-25	9	8.896	H
2019-12-25	10	9.094	H
2019-12-25	11	9.027	H
2019-12-25	12	8.795	R
2019-12-25	13	7.332	R
2019-12-25	14	7.972	R
2019-12-25	15	7.982	H
2019-12-25	16	7.077	H
2019-12-25	17	6.096	H
2019-12-25	18	4.986	H
2019-12-25	19	4.692	H
2019-12-25	20	4.241	H
2019-12-25	21	3.402	H
2019-12-25	22	2.942	H
2019-12-25	23	1.692	H
2019-12-26	0	0.893	H
2019-12-26	1	0.324	H
2019-12-26	2	-0.102	H
2019-12-26	3	-0.474	H
2019-12-26	4	-0.756	H
2019-12-26	5	-0.982	H
2019-12-26	6	-1.246	H
2019-12-26	7	-1.437	H
2019-12-26	8	0.747	R
2019-12-26	9	1.022	R
2019-12-26	10	2.028	R
2019-12-26	11	2.668	R
2019-12-26	12	3.857	R
2019-12-26	13	4.222	R
2019-12-26	14	4.314	R
2019-12-26	15	4.497	R
2019-12-26	16	3.963	H
2019-12-26	17	3.805	H
2019-12-26	18	3.77	H
2019-12-26	19	5.312	H
2019-12-26	20	5.911	H
2019-12-26	21	6.064	H
2019-12-26	22	6.522	H
2019-12-26	23	6.708	H
2019-12-27	0	7.095	H
2019-12-27	1	7.213	H
2019-12-27	2	7.749	H
2019-12-27	3	8.216	H
2019-12-27	4	7.999	H
2019-12-27	5	7.431	H
2019-12-27	6	7.129	H
2019-12-27	7	6.995	H
2019-12-27	8	7.146	H
2019-12-27	9	7.448	H
2019-12-27	10	8.703	R
2019-12-27	11	8.52	R
2019-12-27	12	8.52	R
2019-12-27	13	8.612	R
2019-12-27	14	9.435	R
2019-12-27	15	8.52	R
2019-12-27	16	8.531	H
2019-12-27	17	8.116	H
2019-12-27	18	7.849	H
2019-12-27	19	7.464	H
2019-12-27	20	6.826	H
2019-12-27	21	6.386	H
2019-12-27	22	6.115	H
2019-12-27	23	5.894	H
2019-12-28	0	5.689	H
2019-12-28	1	5.45	H
2019-12-28	2	5.364	H
2019-12-28	3	5.261	H
2019-12-28	4	4.917	H
2019-12-28	5	4.744	H
2019-12-28	6	4.432	H
2019-12-28	7	3.823	H
2019-12-28	8	3.823	H
2019-12-28	9	3.613	H
2019-12-28	10	4.039	R
2019-12-28	11	2.942	R
2019-12-28	12	3.034	R
2019-12-28	13	3.399	R
2019-12-28	14	3.674	R
2019-12-28	15	4.039	R
2019-12-28	16	3.382	H
2019-12-28	17	2.481	H
2019-12-28	18	2.087	H
2019-12-28	19	1.13	H
2019-12-28	20	0.194	H
2019-12-28	21	-0.027	H
2019-12-28	22	-0.4	H
2019-12-28	23	-0.587	H
2019-12-29	0	-0.139	H
2019-12-29	1	-0.643	H
2019-12-29	2	-0.699	H
2019-12-29	3	-0.737	H
2019-12-29	4	-0.681	H
2019-12-29	5	-1.02	H
2019-12-29	6	-1.342	H
2019-12-29	7	-1.114	H
2019-12-29	8	-0.963	H
2019-12-29	9	-0.606	H
2019-12-29	10	-0.35	R
2019-12-29	11	-0.533	R
2019-12-29	12	-0.441	R
2019-12-29	13	0.016	R
2019-12-29	14	-0.167	R
2019-12-29	15	-0.251	H
2019-12-29	16	-0.888	H
2019-12-29	17	-0.906	H
2019-12-29	18	-0.812	H
2019-12-29	19	-0.925	H
2019-12-29	20	-0.849	H
2019-12-29	21	-1.152	H
2019-12-29	22	-1.171	H
2019-12-29	23	-1.152	H
2019-12-30	0	-1.532	H
2019-12-30	1	-1.322	H
2019-12-30	2	-1.209	H
2019-12-30	3	-1.228	H
2019-12-30	4	-1.303	H
2019-12-30	5	-1.341	H
2019-12-30	6	-1.513	H
2019-12-30	7	-1.379	H
2019-12-30	8	-1.341	H
2019-12-30	9	-1.399	H
2019-12-30	10	-1.082	R
2019-12-30	11	-0.441	R
2019-12-30	12	1.936	R
2019-12-30	13	2.485	R
2019-12-30	14	2.759	R
2019-12-30	15	2.393	R
2019-12-30	16	0.928	H
2019-12-30	17	-0.344	H
2019-12-30	18	-0.831	H
2019-12-30	19	-1.02	H
2019-12-30	20	-1.284	H
2019-12-30	21	-1.532	H
2019-12-30	22	-1.57	H
2019-12-30	23	-0.625	H
2019-12-31	0	-0.288	H
2019-12-31	1	-0.831	H
2019-12-31	2	-1.399	H
2019-12-31	3	-1.934	H
2019-12-31	4	-2.242	H
2019-12-31	5	-2.533	H
2019-12-31	6	-2.61	H
2019-12-31	7	-2.883	H
2019-12-31	8	-2.962	H
2019-12-31	9	0.747	R
2019-12-31	10	3.491	R
2019-12-31	11	4.954	R
2019-12-31	12	5.594	R
2019-12-31	13	4.771	R
2019-12-31	14	4.222	R
2019-12-31	15	4.771	R
2019-12-31	16	2.567	H
2019-12-31	17	0.415	H
2019-12-31	18	-0.568	H
2019-12-31	19	-0.982	H
2019-12-31	20	-1.266	H
2019-12-31	21	-1.456	H
2019-12-31	22	-1.646	H
2019-12-31	23	-1.058	H
2020-01-01	0	-0.906	H
2020-01-01	1	-1.02	H
2020-01-01	2	-0.737	H
2020-01-01	3	-0.868	H
2020-01-01	4	-1.152	H
2020-01-01	5	-1.685	H
2020-01-01	6	-1.608	H
2020-01-01	7	-1.341	H
2020-01-01	8	-1.19	H
2020-01-01	9	-1.02	H
2020-01-01	10	-0.807	R
2020-01-01	11	-0.807	R
2020-01-01	12	-0.441	R
2020-01-01	13	-0.35	R
2020-01-01	14	-0.35	R
2020-01-01	15	-0.643	H
2020-01-01	16	-1.114	H
2020-01-01	17	-1.341	H
2020-01-01	18	-1.322	H
2020-01-01	19	-1.456	H
2020-01-01	20	-1.513	H
2020-01-01	21	-1.36	H
2020-01-01	22	-1.322	H
2020-01-01	23	-1.532	H
2020-01-02	0	-1.456	H
2020-01-02	1	-1.551	H
2020-01-02	2	-1.589	H
2020-01-02	3	-1.665	H
2020-01-02	4	-1.589	H
2020-01-02	5	-1.589	H
2020-01-02	6	-1.684	H
2020-01-02	7	-1.799	H
2020-01-02	8	-1.722	H
2020-01-02	9	-1.666	H
2020-01-02	10	-1.539	R
2020-01-02	11	-0.99	R
2020-01-02	12	-0.35	R
2020-01-02	13	0.382	R
2020-01-02	14	0.565	R
2020-01-02	15	0.93	R
2020-01-02	16	0.708	H
2020-01-02	17	-0.456	H
2020-01-02	18	-0.963	H
2020-01-02	19	-1.303	H
2020-01-02	20	-0.644	H
2020-01-02	21	0.287	H
2020-01-02	22	1.995	H
2020-01-02	23	3.454	H
2020-01-03	0	3.594	H
2020-01-03	1	3.276	H
2020-01-03	2	2.033	H
2020-01-03	3	3.108	H
2020-01-03	4	3.012	H
2020-01-03	5	2.606	H
2020-01-03	6	4.153	H
2020-01-03	7	7.297	H
2020-01-03	8	7.966	H
2020-01-03	9	9.526	R
2020-01-03	10	9.16	R
2020-01-03	11	9.526	R
2020-01-03	12	8.886	R
2020-01-03	13	9.526	R
2020-01-03	14	9.069	R
2020-01-03	15	9.16	R
2020-01-03	16	8.994	H
2020-01-03	17	8.664	H
2020-01-03	18	8.298	H
2020-01-03	19	7.965	H
2020-01-03	20	8.032	H
2020-01-03	21	8.199	H
2020-01-03	22	8.564	H
2020-01-03	23	8.729	H
2020-01-04	0	8.581	H
2020-01-04	1	8.647	H
2020-01-04	2	8.614	H
2020-01-04	3	8.564	H
2020-01-04	4	8.232	H
2020-01-04	5	7.832	H
2020-01-04	6	6.994	H
2020-01-04	7	6.098	H
2020-01-04	8	5.791	H
2020-01-04	9	5.685	R
2020-01-04	10	6.143	R
2020-01-04	11	6.509	R
2020-01-04	12	6.783	R
2020-01-04	13	7.332	R
2020-01-04	14	7.423	R
2020-01-04	15	7.057	R
2020-01-04	16	5.96	H
2020-01-04	17	5.141	H
2020-01-04	18	5.089	H
2020-01-04	19	4.484	H
2020-01-04	20	4.484	H
2020-01-04	21	4.658	H
2020-01-04	22	4.345	H
2020-01-04	23	3.595	H
2020-01-05	0	3.7	H
2020-01-05	1	2.517	H
2020-01-05	2	2.303	H
2020-01-05	3	1.836	H
2020-01-05	4	1.256	H
2020-01-05	5	0.12	H
2020-01-05	6	-0.344	H
2020-01-05	7	-0.009	H
2020-01-05	8	-0.418	H
2020-01-05	9	2.576	R
2020-01-05	10	4.405	R
2020-01-05	11	5.503	R
2020-01-05	12	6.234	R
2020-01-05	13	6.966	R
2020-01-05	14	7.606	R
2020-01-05	15	7.332	R
2020-01-05	16	5.755	H
2020-01-05	17	3.89	H
2020-01-05	18	1.908	H
2020-01-05	19	0.929	H
2020-01-05	20	0.232	H
2020-01-05	21	-0.213	H
2020-01-05	22	-0.606	H
2020-01-05	23	-0.944	H
2020-01-06	0	-1.133	H
2020-01-06	1	-1.399	H
2020-01-06	2	-1.608	H
2020-01-06	3	-1.837	H
2020-01-06	4	-2.03	H
2020-01-06	5	-2.261	H
2020-01-06	6	-2.184	H
2020-01-06	7	-2.397	H
2020-01-06	8	-2.591	H
2020-01-06	9	0.382	R
2020-01-06	10	1.936	R
2020-01-06	11	3.948	R
2020-01-06	12	5.411	R
2020-01-06	13	4.405	R
2020-01-06	14	5.411	R
2020-01-06	15	5.594	R
2020-01-06	16	2.85	H
2020-01-06	17	0.929	H
2020-01-06	18	-0.084	H
2020-01-06	19	-0.531	H
2020-01-06	20	-0.718	H
2020-01-06	21	3.663	H
2020-01-06	22	7.045	H
2020-01-06	23	6.674	H
