date	hour	th	origin
2019-12-21	18	5.501	H
2019-12-21	19	5.02	H
2019-12-21	20	5.037	H
2019-12-21	21	5.244	H
2019-12-21	22	5.809	H
2019-12-21	23	6.182	H
2019-12-22	0	7.748	H
2019-12-22	1	8.713	H
2019-12-22	2	9.422	H
2019-12-22	3	9.768	H
2019-12-22	4	9.801	H
2019-12-22	5	9.422	H
2019-12-22	6	9.587	H
2019-12-22	7	10.357	H
2019-12-22	8	9.652	H
2019-12-22	9	9.439	H
2019-12-22	10	9.768	H
2019-12-22	11	9.8	H
2019-12-22	12	9.686	H
2019-12-22	13	9.423	H
2019-12-22	14	9.011	H
2019-12-22	15	8.514	H
2019-12-22	16	8.514	H
2019-12-22	17	7.832	H
2019-12-22	18	7.732	H
2019-12-22	19	7.515	H
2019-12-22	20	7.682	H
2019-12-22	21	7.999	H
2019-12-22	22	7.665	H
2019-12-22	23	7.213	H
2019-12-23	0	7.364	H
2019-12-23	1	7.079	H
2019-12-23	2	6.905	R
2019-12-23	3	7.079	H
2019-12-23	4	7.263	H
2019-12-23	5	6.932	R
2019-12-23	6	6.927	H
2019-12-23	7	7.095	H
2019-12-23	8	6.977	H
2019-12-23	9	7.246	H
2019-12-23	10	7.699	H
2019-12-23	11	7.949	H
2019-12-23	12	7.832	H
2019-12-23	13	8.099	H
2019-12-23	14	7.982	H
2019-12-23	15	8.082	H
2019-12-23	16	7.765	H
2019-12-23	17	7.33	H
2019-12-23	18	7.414	H
2019-12-23	19	7.313	H
2019-12-23	20	7.23	H
2019-12-23	21	6.944	H
2019-12-23	22	6.843	H
2019-12-23	23	7.381	H
2019-12-24	0	7.314	H
2019-12-24	1	7.582	H
2019-12-24	2	7.632	H
2019-12-24	3	7.163	H
2019-12-24	4	7.179	H
2019-12-24	5	7.146	H
2019-12-24	6	7.347	H
2019-12-24	7	7.498	H
2019-12-24	8	7.582	H
2019-12-24	9	7.799	H
2019-12-24	10	8.529	R
2019-12-24	11	8.976	H
2019-12-24	12	10.194	H
2019-12-24	13	10.389	H
2019-12-24	14	10.765	H
2019-12-24	15	11.252	H
2019-12-24	16	10.927	H
2019-12-24	17	9.998	H
2019-12-24	18	10.21	H
2019-12-24	19	10.259	H
2019-12-24	20	10.112	H
2019-12-24	21	9.664	R
2019-12-24	22	9.817	H
2019-12-24	23	9.419	R
2019-12-25	0	9.439	H
2019-12-25	1	9.389	H
2019-12-25	2	9.307	H
2019-12-25	3	9.455	H
2019-12-25	4	9.166	R
2019-12-25	5	9.422	H
2019-12-25	6	9.07	R
2019-12-25	7	8.957	R
2019-12-25	8	8.93	R
2019-12-25	9	8.922	R
2019-12-25	10	9.439	H
2019-12-25	11	9.176	H
2019-12-25	12	9.093	H
2019-12-25	13	8.693	H
2019-12-25	14	7.394	R
2019-12-25	15	7.665	R
2019-12-25	16	7.347	H
2019-12-25	17	6.944	H
2019-12-25	18	6.115	H
2019-12-25	19	5.894	H
2019-12-25	20	5.551	H
2019-12-25	21	4.554	H
2019-12-25	22	3.875	H
2019-12-25	23	3.084	H
2019-12-26	0	2.677	H
2019-12-26	1	2.213	H
2019-12-26	2	1.98	H
2019-12-26	3	1.638	H
2019-12-26	4	1.385	H
2019-12-26	5	1.203	H
2019-12-26	6	0.948	H
2019-12-26	7	0.766	H
2019-12-26	8	1.147	H
2019-12-26	9	2.373	H
