date	hr	th	origin
2018-12-17	16	7.23	H
2018-12-17	17	7.84	R
2018-12-17	18	7.481	H
2018-12-17	19	7.922	R
2018-12-17	20	7.247	H
2018-12-17	21	7.364	H
2018-12-17	22	7.346	R
2018-12-17	23	6.776	H
2018-12-18	0	6.08	H
2018-12-18	1	5.157	H
2018-12-18	2	4.031	H
2018-12-18	3	2.996	H
2018-12-18	4	2.463	H
2018-12-18	5	2.07	H
2018-12-18	6	1.566	H
2018-12-18	7	1.185	H
2018-12-18	8	1.167	H
2018-12-18	9	2.896	R
2018-12-18	10	3.555	R
2018-12-18	11	4.462	R
2018-12-18	12	5.862	R
2018-12-18	13	6.769	R
2018-12-18	14	6.944	H
2018-12-18	15	5.533	R
2018-12-18	16	4.57	H
2018-12-18	17	3.278	H
2018-12-18	18	2.481	H
2018-12-18	19	2.123	H
2018-12-18	20	1.836	H
2018-12-18	21	1.457	H
2018-12-18	22	1.083	R
2018-12-18	23	1.512	H
2018-12-19	0	1.926	H
2018-12-19	1	2.141	H
2018-12-19	2	2.32	H
2018-12-19	3	2.41	H
2018-12-19	4	2.319	R
2018-12-19	5	2.731	R
2018-12-19	6	7.84	R
2018-12-19	7	7.698	H
2018-12-19	8	8.547	H
2018-12-19	9	8.912	H
2018-12-19	10	9.06	H
2018-12-19	11	9.094	H
2018-12-19	12	9.357	H
2018-12-19	13	10.312	R
2018-12-19	14	10.324	H
2018-12-19	15	9.669	H
2018-12-19	16	8.53	H
2018-12-19	17	7.999	H
2018-12-19	18	7.649	H
2018-12-19	19	7.758	R
2018-12-19	20	7.799	H
2018-12-19	21	7.932	H
2018-12-19	22	8.315	H
2018-12-19	23	8.465	H
2018-12-20	0	8.348	H
2018-12-20	1	8.249	H
2018-12-20	2	8.315	H
2018-12-20	3	8.315	H
2018-12-20	4	8.746	R
2018-12-20	5	8.199	H
2018-12-20	6	7.916	H
2018-12-20	7	8.334	R
2018-12-20	8	7.699	H
2018-12-20	9	8.499	R
2018-12-20	10	9.241	R
2018-12-20	11	9.323	R
2018-12-20	12	9.323	R
2018-12-20	13	9.241	R
2018-12-20	14	9.472	H
2018-12-20	15	8.878	H
2018-12-20	16	8.016	H
2018-12-20	17	8.005	R
2018-12-20	18	7.832	H
2018-12-20	19	7.933	H
2018-12-20	20	7.648	H
2018-12-20	21	8.032	H
2018-12-20	22	8.099	H
2018-12-20	23	8.464	H
2018-12-21	0	8.812	H
2018-12-21	1	8.961	H
2018-12-21	2	9.077	H
2018-12-21	3	8.928	H
2018-12-21	4	9.225	H
2018-12-21	5	9.455	H
2018-12-21	6	9.57	H
2018-12-21	7	10.112	H
2018-12-21	8	10.324	H
2018-12-21	9	10.145	H
2018-12-21	10	10.911	H
2018-12-21	11	10.895	H
2018-12-21	12	11.334	H
2018-12-21	13	11.301	H
2018-12-21	14	11.252	H
2018-12-21	15	11.69	H
2018-12-21	16	11.787	H
2018-12-21	17	11.835	H
2018-12-21	18	11.819	H
2018-12-21	19	11.713	R
2018-12-21	20	11.548	R
2018-12-21	21	11.997	H
2018-12-21	22	12.142	H
2018-12-21	23	12.417	H
2018-12-22	0	12.787	H
2018-12-22	1	13.076	H
2018-12-22	2	13.205	H
2018-12-22	3	13.125	H
2018-12-22	4	12.867	H
2018-12-22	5	12.658	H
2018-12-22	6	12.578	H
2018-12-22	7	12.289	R
2018-12-22	8	12.062	H
2018-12-22	9	12.304	H
2018-12-22	10	12.529	H
2018-12-22	11	12.755	H
2018-12-22	12	12.191	H
2018-12-22	13	12.417	H
2018-12-22	14	12.255	H
2018-12-22	15	12.239	H
2018-12-22	16	11.787	H
2018-12-22	17	11.69	H
2018-12-22	18	11.479	H
2018-12-22	19	11.269	H
2018-12-22	20	10.993	H
2018-12-22	21	10.889	R
2018-12-22	22	10.781	H
2018-12-22	23	10.683	H
2018-12-23	0	10.065	R
2018-12-23	1	10.065	R
2018-12-23	2	10.03	H
2018-12-23	3	9.833	H
2018-12-23	4	9.998	H
2018-12-23	5	10.065	R
2018-12-23	6	10.065	R
2018-12-23	7	10.047	H
2018-12-23	8	10.161	H
2018-12-23	9	10.471	H
2018-12-23	10	10.895	H
2018-12-23	11	10.394	R
2018-12-23	12	10.732	H
2018-12-23	13	10.471	H
2018-12-23	14	11.106	H
2018-12-23	15	11.528	H
2018-12-23	16	11.771	H
2018-12-23	17	12.142	H
2018-12-23	18	12.304	H
2018-12-23	19	12.465	H
2018-12-23	20	12.626	H
2018-12-23	21	12.619	R
2018-12-23	22	12.819	H
2018-12-23	23	12.867	H
2018-12-24	0	12.784	R
2018-12-24	1	12.948	H
2018-12-24	2	12.819	H
2018-12-24	3	12.289	R
2018-12-24	4	11.96	R
2018-12-24	5	9.241	R
2018-12-24	6	9.538	H
2018-12-24	7	9.176	H
2018-12-24	8	8.115	H
2018-12-24	9	8.049	H
2018-12-24	10	8.066	H
2018-12-24	11	8.481	H
2018-12-24	12	8.005	R
2018-12-24	13	8.763	H
2018-12-24	14	8.647	H
2018-12-24	15	8.005	R
2018-12-24	16	6.96	H
2018-12-24	17	5.449	H
2018-12-24	18	4.778	H
2018-12-24	19	3.98	H
2018-12-24	20	3.454	H
2018-12-24	21	3.084	H
2018-12-24	22	2.695	H
2018-12-24	23	2.356	H
2018-12-25	0	2.016	H
2018-12-25	1	1.656	H
2018-12-25	2	1.167	H
2018-12-25	3	0.948	H
2018-12-25	4	0.802	H
2018-12-25	5	0.692	H
2018-12-25	6	0.095	R
2018-12-25	7	0.324	H
2018-12-25	8	0.453	H
2018-12-25	9	0.893	H
2018-12-25	10	1.021	H
2018-12-25	11	1.511	H
2018-12-25	12	1.944	H
2018-12-25	13	1.944	H
2018-12-25	14	2.07	H
2018-12-25	15	1.854	H
2018-12-25	16	1.764	H
2018-12-25	17	1.495	R
2018-12-25	18	1.348	H
2018-12-25	19	1.294	H
2018-12-25	20	1.457	H
2018-12-25	21	1.421	H
2018-12-25	22	1.413	R
2018-12-25	23	1.421	H
2018-12-26	0	1.094	H
2018-12-26	1	0.948	H
2018-12-26	2	1.021	H
2018-12-26	3	0.836	R
2018-12-26	4	0.71	H
2018-12-26	5	0.416	H
2018-12-26	6	0.674	H
2018-12-26	7	0.589	R
2018-12-26	8	0.416	H
2018-12-26	9	0.213	H
2018-12-26	10	0.544	H
2018-12-26	11	0.424	R
2018-12-26	12	1.221	H
2018-12-26	13	1.276	H
2018-12-26	14	1.403	H
2018-12-26	15	1.075	H
2018-12-26	16	0.637	H
2018-12-26	17	0.398	H
2018-12-26	18	0.324	H
2018-12-26	19	0.269	H
2018-12-26	20	0.589	R
2018-12-26	21	0.306	H
2018-12-26	22	0.589	R
2018-12-26	23	0.25	H
2018-12-27	0	0.195	H
2018-12-27	1	0.01	H
