"date","th","origin"
2020-11-30 00:00:00,1.817,"H"
2020-11-30 01:00:00,1.727,"H"
2020-11-30 02:00:00,1.33,"H"
2020-11-30 03:00:00,0.927,"H"
2020-11-30 04:00:00,1.055,"H"
2020-11-30 05:00:00,0.89,"H"
2020-11-30 06:00:00,0.707,"H"
2020-11-30 07:00:00,0.652,"H"
2020-11-30 08:00:00,0.707,"H"
2020-11-30 09:00:00,1.789,"R"
2020-11-30 10:00:00,3.312,"H"
2020-11-30 11:00:00,4.122,"H"
2020-11-30 12:00:00,3.98,"H"
2020-11-30 13:00:00,4.33,"H"
2020-11-30 14:00:00,4.675,"H"
2020-11-30 15:00:00,4.26,"H"
2020-11-30 16:00:00,3.77,"H"
2020-11-30 17:00:00,2.767,"H"
2020-11-30 18:00:00,2.392,"H"
2020-11-30 19:00:00,2.265,"H"
2020-11-30 20:00:00,1.998,"H"
2020-11-30 21:00:00,1.835,"H"
2020-11-30 22:00:00,1.728,"H"
2020-11-30 23:00:00,1.692,"H"
2020-12-01 00:00:00,2.355,"H"
2020-12-01 01:00:00,1.998,"H"
2020-12-01 02:00:00,2.39,"H"
2020-12-01 03:00:00,3.102,"H"
2020-12-01 04:00:00,3.737,"H"
2020-12-01 05:00:00,4.33,"H"
2020-12-01 06:00:00,3.822,"H"
2020-12-01 07:00:00,2.942,"H"
2020-12-01 08:00:00,2.855,"H"
2020-12-01 09:00:00,3.207,"H"
2020-12-01 10:00:00,3.577,"H"
2020-12-01 11:00:00,3.927,"H"
2020-12-01 12:00:00,4.225,"H"
2020-12-01 13:00:00,4.557,"H"
2020-12-01 14:00:00,4.967,"H"
2020-12-01 15:00:00,4.915,"H"
2020-12-01 16:00:00,4.898,"H"
2020-12-01 17:00:00,5.108,"H"
2020-12-01 18:00:00,4.883,"H"
2020-12-01 19:00:00,4.865,"H"
2020-12-01 20:00:00,4.985,"H"
2020-12-01 21:00:00,4.933,"H"
2020-12-01 22:00:00,4.747,"H"
2020-12-01 23:00:00,4.623,"H"
2020-12-02 00:00:00,4.52,"H"
2020-12-02 01:00:00,3.91,"H"
2020-12-02 02:00:00,4.05,"H"
2020-12-02 03:00:00,4.032,"H"
2020-12-02 04:00:00,4.017,"H"
2020-12-02 05:00:00,3.998,"H"
2020-12-02 06:00:00,4.188,"H"
2020-12-02 07:00:00,4.033,"H"
2020-12-02 08:00:00,4.033,"H"
2020-12-02 09:00:00,4.19,"H"
2020-12-02 10:00:00,4.4,"H"
2020-12-02 11:00:00,4.745,"H"
2020-12-02 12:00:00,5.072,"H"
2020-12-02 13:00:00,5.192,"H"
2020-12-02 14:00:00,5.607,"H"
