"date","th","origin"
2020-11-30 00:00:00,-1.057,"H"
2020-11-30 01:00:00,-1.247,"H"
2020-11-30 02:00:00,-1.838,"H"
2020-11-30 03:00:00,-2.3,"H"
2020-11-30 04:00:00,-2.455,"H"
2020-11-30 05:00:00,-2.184,"H"
2020-11-30 06:00:00,-2.474,"H"
2020-11-30 07:00:00,-2.591,"H"
2020-11-30 08:00:00,-2.184,"H"
2020-11-30 09:00:00,-1.342,"H"
2020-11-30 10:00:00,-0.085,"H"
2020-11-30 11:00:00,1.129,"H"
2020-11-30 12:00:00,1.908,"H"
2020-11-30 13:00:00,2.266,"H"
2020-11-30 14:00:00,2.481,"H"
2020-11-30 15:00:00,2.142,"H"
2020-11-30 16:00:00,1.365,"H"
2020-11-30 17:00:00,0.25,"H"
2020-11-30 18:00:00,-0.306,"H"
2020-11-30 19:00:00,-0.869,"H"
2020-11-30 20:00:00,-1.02,"H"
2020-11-30 21:00:00,-1.19,"H"
2020-11-30 22:00:00,-1.589,"H"
2020-11-30 23:00:00,-1.172,"H"
2020-12-01 00:00:00,-0.812,"H"
2020-12-01 01:00:00,-0.381,"H"
2020-12-01 02:00:00,0.342,"H"
2020-12-01 03:00:00,1.112,"H"
2020-12-01 04:00:00,1.814,"H"
2020-12-01 05:00:00,3.437,"H"
2020-12-01 06:00:00,2.853,"H"
2020-12-01 07:00:00,1.692,"H"
2020-12-01 08:00:00,1.818,"H"
2020-12-01 09:00:00,2.07,"H"
2020-12-01 10:00:00,2.694,"H"
2020-12-01 11:00:00,2.819,"H"
2020-12-01 12:00:00,2.819,"H"
2020-12-01 13:00:00,3.066,"H"
2020-12-01 14:00:00,3.578,"H"
2020-12-01 15:00:00,3.455,"H"
2020-12-01 16:00:00,3.226,"H"
2020-12-01 17:00:00,2.943,"H"
2020-12-01 18:00:00,2.784,"H"
2020-12-01 19:00:00,2.783,"H"
2020-12-01 20:00:00,2.642,"H"
2020-12-01 21:00:00,2.808,"R"
2020-12-01 22:00:00,2.856,"R"
2020-12-01 23:00:00,2.464,"H"
2020-12-02 00:00:00,2.249,"H"
2020-12-02 01:00:00,2.052,"H"
2020-12-02 02:00:00,2.231,"H"
2020-12-02 03:00:00,2.481,"H"
2020-12-02 04:00:00,2.471,"R"
2020-12-02 05:00:00,2.481,"H"
2020-12-02 06:00:00,2.464,"H"
2020-12-02 07:00:00,2.553,"H"
2020-12-02 08:00:00,2.553,"H"
2020-12-02 09:00:00,2.925,"H"
2020-12-02 10:00:00,3.472,"H"
2020-12-02 11:00:00,3.875,"H"
2020-12-02 12:00:00,4.5,"H"
2020-12-02 13:00:00,4.363,"H"
2020-12-02 14:00:00,4.675,"H"
2020-12-02 15:00:00,4.154,"H"
2020-12-02 16:00:00,3.578,"H"
2020-12-02 17:00:00,3.296,"H"
2020-12-02 18:00:00,3.014,"H"
2020-12-02 19:00:00,2.819,"H"
2020-12-02 20:00:00,2.57,"H"
