date	hour	th	origin
2018-12-10	0	6.86	H
2018-12-10	1	6.742	H
2018-12-10	2	6.607	H
2018-12-10	3	6.809	H
2018-12-10	4	6.809	H
2018-12-10	5	5.603	H
2018-12-10	6	5.672	H
2018-12-10	7	5.535	H
2018-12-10	8	5.774	H
2018-12-10	9	6.166	H
2018-12-10	10	6.674	H
2018-12-10	11	7.397	H
2018-12-10	12	7.982	H
2018-12-10	13	9.406	H
2018-12-10	14	9.04	H
2018-12-10	15	7.414	H
2018-12-10	16	7.48	H
2018-12-10	17	6.758	H
2018-12-10	18	6.708	H
2018-12-10	19	6.877	H
2018-12-10	20	6.911	H
2018-12-10	21	6.522	H
2018-12-10	22	6.183	H
2018-12-10	23	5.33	H
2018-12-11	0	5.569	H
2018-12-11	1	5.432	H
2018-12-11	2	5.141	H
2018-12-11	3	4.796	H
2018-12-11	4	4.606	H
2018-12-11	5	4.571	H
2018-12-11	6	3.822	H
2018-12-11	7	2.836	H
2018-12-11	8	2.712	H
2018-12-11	9	3.296	H
2018-12-11	10	4.466	H
2018-12-11	11	5.603	H
2018-12-11	12	6.556	H
2018-12-11	13	7.111	H
2018-12-11	14	7.68	H
2018-12-11	15	5.915	R
2018-12-11	16	5.365	R
2018-12-11	17	4.796	H
2018-12-11	18	5.158	H
2018-12-11	19	5.62	H
2018-12-11	20	4.899	H
2018-12-11	21	3.801	H
2018-12-11	22	2.481	H
2018-12-11	23	2.052	H
2018-12-12	0	1.093	H
2018-12-12	1	0.581	H
2018-12-12	2	0.49	H
2018-12-12	3	0.121	H
2018-12-12	4	-0.12	H
2018-12-12	5	-0.325	H
2018-12-12	6	-0.662	H
2018-12-12	7	-0.812	H
2018-12-12	8	-0.944	H
2018-12-12	9	-0.289	H
2018-12-12	10	1.673	H
2018-12-12	11	2.516	H
2018-12-12	12	3.419	H
2018-12-12	13	4.588	H
2018-12-12	14	5.182	R
2018-12-12	15	4.265	R
2018-12-12	16	1.515	R
