Tag;Stunde;AVG_TA200
21.12.2021;16:00;-2,84
21.12.2021;17:00;-2,95
21.12.2021;18:00;-3,1
21.12.2021;19:00;-3,3
21.12.2021;20:00;-3,5
21.12.2021;21:00;-3,74
21.12.2021;22:00;-4,03
21.12.2021;23:00;-5,1
22.12.2021;00:00;-5,54
22.12.2021;01:00;-5,91
22.12.2021;02:00;-6,43
22.12.2021;03:00;-6,68
22.12.2021;04:00;-6,76
22.12.2021;05:00;-6,82
22.12.2021;06:00;-7,47
22.12.2021;07:00;-7,52
22.12.2021;08:00;-7,67
22.12.2021;09:00;-7,23
22.12.2021;10:00;-5,47
22.12.2021;11:00;-3,41
22.12.2021;12:00;-1,57
22.12.2021;13:00;-0,89
22.12.2021;14:00;-0,31
22.12.2021;15:00;-0,11
22.12.2021;16:00;-1,11
22.12.2021;17:00;-2,31
22.12.2021;18:00;-3,09
22.12.2021;19:00;-3,57
22.12.2021;20:00;-3,76
22.12.2021;21:00;-4,45
22.12.2021;22:00;-4,46
22.12.2021;23:00;-4,84
23.12.2021;00:00;-4,89
23.12.2021;01:00;-4,75
23.12.2021;02:00;-4,81
23.12.2021;03:00;-4,58
23.12.2021;04:00;-4,2
23.12.2021;05:00;-4,04
23.12.2021;06:00;-3,85
23.12.2021;07:00;-1,62
23.12.2021;08:00;0,42
23.12.2021;09:00;2,84
23.12.2021;10:00;6,35
23.12.2021;11:00;7,47
23.12.2021;12:00;7,53
23.12.2021;13:00;10,21
23.12.2021;14:00;8,3
23.12.2021;15:00;8,39
23.12.2021;16:00;9,26
23.12.2021;17:00;9,05
23.12.2021;18:00;9,07
23.12.2021;19:00;9,65
23.12.2021;20:00;9,88
23.12.2021;21:00;10,98
23.12.2021;22:00;10,32
23.12.2021;23:00;10,17
24.12.2021;00:00;11,03
24.12.2021;01:00;10,74
24.12.2021;02:00;10,4
24.12.2021;03:00;10,41
24.12.2021;04:00;10,15
24.12.2021;05:00;10,14
24.12.2021;06:00;9,88
24.12.2021;07:00;9,52
24.12.2021;08:00;8,84
24.12.2021;09:00;8,04
24.12.2021;10:00;8,1
24.12.2021;11:00;8,35
24.12.2021;12:00;8,77
24.12.2021;13:00;9,14
24.12.2021;14:00;9,18
24.12.2021;15:00;9,39
24.12.2021;16:00;9,66
24.12.2021;17:00;9,97
24.12.2021;18:00;10,15
24.12.2021;19:00;10,31
24.12.2021;20:00;10,09
24.12.2021;21:00;9,94
24.12.2021;22:00;10,11
24.12.2021;23:00;9,94
25.12.2021;00:00;10,23
25.12.2021;01:00;10,67
25.12.2021;02:00;11,04
25.12.2021;03:00;11,2
25.12.2021;04:00;11,04
25.12.2021;05:00;10,92
25.12.2021;06:00;10,78
25.12.2021;07:00;10,7
25.12.2021;08:00;10,7
25.12.2021;09:00;10,79
25.12.2021;10:00;10,81
25.12.2021;11:00;10,52
25.12.2021;12:00;10,49
25.12.2021;13:00;10,31
25.12.2021;14:00;10,48
25.12.2021;15:00;10,33
25.12.2021;16:00;9,75
25.12.2021;17:00;9,15
25.12.2021;18:00;8,76
25.12.2021;19:00;8,55
25.12.2021;20:00;8,29
25.12.2021;21:00;8,08
25.12.2021;22:00;8,13
25.12.2021;23:00;7,84
26.12.2021;00:00;7,47
26.12.2021;01:00;5,83
26.12.2021;02:00;4,63
26.12.2021;03:00;4,05
26.12.2021;04:00;3,89
26.12.2021;05:00;3,75
26.12.2021;06:00;3,66
26.12.2021;07:00;3,61
26.12.2021;08:00;3,76
26.12.2021;09:00;3,89
26.12.2021;10:00;4,39
26.12.2021;11:00;4,84
26.12.2021;12:00;5,12
26.12.2021;13:00;5,95
26.12.2021;14:00;6,48
26.12.2021;15:00;7,17
26.12.2021;16:00;8,01
26.12.2021;17:00;8,47
26.12.2021;18:00;8,8
26.12.2021;19:00;8,79
26.12.2021;20:00;8,82
26.12.2021;21:00;8,57
26.12.2021;22:00;8,32
26.12.2021;23:00;8,26
27.12.2021;00:00;8,42
27.12.2021;01:00;8,55
27.12.2021;02:00;8,52
27.12.2021;03:00;8,35
27.12.2021;04:00;7,6
27.12.2021;05:00;7,1
27.12.2021;06:00;7,79
27.12.2021;07:00;6,85
27.12.2021;08:00;5,79
27.12.2021;09:00;5,45
27.12.2021;10:00;6,51
27.12.2021;11:00;7,55
27.12.2021;12:00;7,48
27.12.2021;13:00;7,69
27.12.2021;14:00;7,93
27.12.2021;15:00;9,56
27.12.2021;16:00;9,35
27.12.2021;17:00;9,82
27.12.2021;18:00;10,25
27.12.2021;19:00;10
27.12.2021;20:00;10,27
27.12.2021;21:00;10,43
27.12.2021;22:00;10,7
27.12.2021;23:00;10,81
28.12.2021;00:00;10,48
28.12.2021;01:00;10,59
28.12.2021;02:00;10,92
28.12.2021;03:00;11,15
28.12.2021;04:00;10,25
28.12.2021;05:00;9,75
28.12.2021;06:00;11
28.12.2021;07:00;11,09
28.12.2021;08:00;11,29
28.12.2021;09:00;11,47
28.12.2021;10:00;11,94
28.12.2021;11:00;12,41
28.12.2021;12:00;12,6
28.12.2021;13:00;12,47
28.12.2021;14:00;12,21
28.12.2021;15:00;11,88
28.12.2021;16:00;11
28.12.2021;17:00;10,7
28.12.2021;18:00;10,49
28.12.2021;19:00;10,83
28.12.2021;20:00;10,67
28.12.2021;21:00;10,62
28.12.2021;22:00;10,48
28.12.2021;23:00;10,41
29.12.2021;00:00;10,11
29.12.2021;01:00;9,84
29.12.2021;02:00;9,61
29.12.2021;03:00;9,75
29.12.2021;04:00;9,68
29.12.2021;05:00;9,63
29.12.2021;06:00;9,55
29.12.2021;07:00;9,63
29.12.2021;08:00;9,78
29.12.2021;09:00;10,11
29.12.2021;10:00;9,65
29.12.2021;11:00;8,48
29.12.2021;12:00;8,59
