#Hobo_ID 10350033
#Location_Lat_Long 48.0649 7.9043
#Alt_above_ground 2
#Exposition E
#Influence_class 2
	id	date	hm	ta	lux
124	124	2019-12-14	08:30	10.748	0
125	125	2019-12-14	08:40	10.944	0
126	126	2019-12-14	08:50	11.041	0
127	127	2019-12-14	09:00	10.944	0
128	128	2019-12-14	09:10	10.651	0
129	129	2019-12-14	09:20	10.846	0
130	130	2019-12-14	09:30	10.944	0
131	131	2019-12-14	09:40	11.236	0
132	132	2019-12-14	09:50	11.139	0
133	133	2019-12-14	10:00	11.236	0
134	134	2019-12-14	10:10	11.334	0
135	135	2019-12-14	10:20	11.528	0
136	136	2019-12-14	10:30	11.722	0
137	137	2019-12-14	10:40	11.722	0
138	138	2019-12-14	10:50	11.819	0
139	139	2019-12-14	11:00	11.819	0
140	140	2019-12-14	11:10	11.722	0
141	141	2019-12-14	11:20	11.334	0
142	142	2019-12-14	11:30	10.063	0
143	143	2019-12-14	11:40	9.965	0
144	144	2019-12-14	11:50	9.571	0
145	145	2019-12-15	12:00	9.472	0
146	146	2019-12-15	12:10	9.373	0
147	147	2019-12-15	12:20	9.275	0
148	148	2019-12-15	12:30	9.176	0
149	149	2019-12-15	12:40	9.077	0
150	150	2019-12-15	12:50	9.077	0
151	151	2019-12-15	01:00	9.077	0
152	152	2019-12-15	01:10	9.077	0
153	153	2019-12-15	01:20	8.879	0
154	154	2019-12-15	01:30	8.779	0
155	155	2019-12-15	01:40	8.879	0
156	156	2019-12-15	01:50	9.077	0
157	157	2019-12-15	02:00	9.275	0
158	158	2019-12-15	02:10	9.669	0
159	159	2019-12-15	02:20	10.161	0
160	160	2019-12-15	02:30	10.651	0
161	161	2019-12-15	02:40	10.748	0
162	162	2019-12-15	02:50	11.041	0
163	163	2019-12-15	03:00	11.431	0
164	164	2019-12-15	03:10	11.819	0
165	165	2019-12-15	03:20	12.013	0
166	166	2019-12-15	03:30	12.207	0
167	167	2019-12-15	03:40	12.304	0
168	168	2019-12-15	03:50	12.497	0
169	169	2019-12-15	04:00	12.69	0
170	170	2019-12-15	04:10	12.594	0
171	171	2019-12-15	04:20	12.787	0
172	172	2019-12-15	04:30	12.787	0
173	173	2019-12-15	04:40	12.883	0
174	174	2019-12-15	04:50	13.076	0
175	175	2019-12-15	05:00	13.076	0
176	176	2019-12-15	05:10	13.076	0
177	177	2019-12-15	05:20	13.076	0
178	178	2019-12-15	05:30	13.173	0
179	179	2019-12-15	05:40	13.173	0
180	180	2019-12-15	05:50	13.461	0
181	181	2019-12-15	06:00	13.461	0
182	182	2019-12-15	06:10	13.558	0
183	183	2019-12-15	06:20	13.75	0
184	184	2019-12-15	06:30	13.654	0
185	185	2019-12-15	06:40	13.654	0
186	186	2019-12-15	06:50	13.558	0
187	187	2019-12-15	07:00	13.75	0
188	188	2019-12-15	07:10	13.75	0
189	189	2019-12-15	07:20	13.846	0
190	190	2019-12-15	07:30	13.846	0
191	191	2019-12-15	07:40	14.038	0
192	192	2019-12-15	07:50	13.942	0
193	193	2019-12-15	08:00	13.942	43.1
194	194	2019-12-15	08:10	13.846	86.1
195	195	2019-12-15	08:20	14.23	86.1
196	196	2019-12-15	08:30	14.134	193.8
197	197	2019-12-15	08:40	14.23	236.8
198	198	2019-12-15	08:50	14.23	882.6
199	199	2019-12-15	09:00	14.23	1205.6
200	200	2019-12-15	09:10	14.134	990.3
201	201	2019-12-15	09:20	14.038	2152.8
202	202	2019-12-15	09:30	14.23	3444.5
203	203	2019-12-15	09:40	14.23	1463.9
204	204	2019-12-15	09:50	14.23	1151.7
205	205	2019-12-15	10:00	14.23	2325
206	206	2019-12-15	10:10	14.325	1808.3
207	207	2019-12-15	10:20	14.517	3616.7
208	208	2019-12-15	10:30	14.613	3100
209	209	2019-12-15	10:40	14.517	3100
210	210	2019-12-15	10:50	14.709	5338.9
211	211	2019-12-15	11:00	14.804	3961.1
212	212	2019-12-15	11:10	14.613	3100
213	213	2019-12-15	11:20	14.325	2755.6
214	214	2019-12-15	11:30	14.421	3272.2
215	215	2019-12-15	11:40	14.325	3616.7
216	216	2019-12-15	11:50	14.421	3616.7
217	217	2019-12-15	12:00	14.23	2927.8
218	218	2019-12-15	12:10	14.134	2238.9
219	219	2019-12-15	12:20	14.325	3961.1
220	220	2019-12-15	12:30	14.325	2927.8
221	221	2019-12-15	12:40	14.134	2066.7
222	222	2019-12-15	12:50	13.846	1722.2
223	223	2019-12-15	01:00	13.654	1722.2
224	224	2019-12-15	01:10	13.558	1259.4
225	225	2019-12-15	01:20	13.75	1463.9
226	226	2019-12-15	01:30	13.269	1463.9
227	227	2019-12-15	01:40	12.98	1636.1
228	228	2019-12-15	01:50	12.98	1722.2
229	229	2019-12-15	02:00	12.98	1367
230	230	2019-12-15	02:10	12.98	1550
231	231	2019-12-15	02:20	13.076	1808.3
232	232	2019-12-15	02:30	12.98	1722.2
233	233	2019-12-15	02:40	13.076	1808.3
234	234	2019-12-15	02:50	13.076	1808.3
235	235	2019-12-15	03:00	12.883	1550
236	236	2019-12-15	03:10	12.787	1173.3
237	237	2019-12-15	03:20	12.69	893.4
238	238	2019-12-15	03:30	12.69	968.8
239	239	2019-12-15	03:40	12.594	592
240	240	2019-12-15	03:50	12.594	430.6
241	241	2019-12-15	04:00	12.497	226
242	242	2019-12-15	04:10	12.401	150.7
243	243	2019-12-15	04:20	12.304	53.8
244	244	2019-12-15	04:30	12.11	21.5
245	245	2019-12-15	04:40	11.916	0
246	246	2019-12-15	04:50	11.722	0
247	247	2019-12-15	05:00	11.625	0
248	248	2019-12-15	05:10	11.041	0
249	249	2019-12-15	05:20	10.748	0
250	250	2019-12-15	05:30	10.455	0
251	251	2019-12-15	05:40	10.161	0
252	252	2019-12-15	05:50	9.965	0
253	253	2019-12-15	06:00	9.866	0
254	254	2019-12-15	06:10	9.669	0
255	255	2019-12-15	06:20	9.571	0
256	256	2019-12-15	06:30	9.472	0
257	257	2019-12-15	06:40	9.472	0
258	258	2019-12-15	06:50	9.472	0
259	259	2019-12-15	07:00	9.472	0
260	260	2019-12-15	07:10	9.373	0
261	261	2019-12-15	07:20	9.373	0
262	262	2019-12-15	07:30	9.275	0
263	263	2019-12-15	07:40	9.176	0
264	264	2019-12-15	07:50	9.176	0
265	265	2019-12-15	08:00	9.176	0
266	266	2019-12-15	08:10	9.176	0
267	267	2019-12-15	08:20	8.978	0
268	268	2019-12-15	08:30	9.077	0
269	269	2019-12-15	08:40	9.077	0
270	270	2019-12-15	08:50	9.077	0
271	271	2019-12-15	09:00	8.978	0
272	272	2019-12-15	09:10	8.978	0
273	273	2019-12-15	09:20	9.077	0
274	274	2019-12-15	09:30	9.077	0
275	275	2019-12-15	09:40	8.779	0
276	276	2019-12-15	09:50	8.879	0
277	277	2019-12-15	10:00	9.077	0
278	278	2019-12-15	10:10	9.077	0
279	279	2019-12-15	10:20	8.779	0
280	280	2019-12-15	10:30	8.779	0
281	281	2019-12-15	10:40	8.978	0
282	282	2019-12-15	10:50	9.176	0
283	283	2019-12-15	11:00	8.978	0
284	284	2019-12-15	11:10	8.779	0
285	285	2019-12-15	11:20	8.779	0
286	286	2019-12-15	11:30	8.779	0
287	287	2019-12-15	11:40	8.779	0
288	288	2019-12-15	11:50	8.779	0
289	289	2019-12-16	12:00	8.481	0
290	290	2019-12-16	12:10	8.382	0
291	291	2019-12-16	12:20	8.481	0
292	292	2019-12-16	12:30	8.581	0
293	293	2019-12-16	12:40	8.481	0
294	294	2019-12-16	12:50	8.382	0
295	295	2019-12-16	01:00	8.182	0
296	296	2019-12-16	01:10	8.282	0
297	297	2019-12-16	01:20	8.282	0
298	298	2019-12-16	01:30	8.282	0
299	299	2019-12-16	01:40	8.182	0
300	300	2019-12-16	01:50	8.182	0
301	301	2019-12-16	02:00	8.182	0
302	302	2019-12-16	02:10	8.282	0
303	303	2019-12-16	02:20	8.481	0
304	304	2019-12-16	02:30	8.382	0
305	305	2019-12-16	02:40	8.282	0
306	306	2019-12-16	02:50	8.282	0
307	307	2019-12-16	03:00	8.182	0
308	308	2019-12-16	03:10	8.282	0
309	309	2019-12-16	03:20	8.082	0
