"Plot Title: 10349994"
"#"	"Date"	"Time, GMT+01:00"	"Temp, °C (LGR S/N: 10349994, SEN S/N: 10349994)"	"Intensity, Lux (LGR S/N: 10349994, SEN S/N: 10349994)"	"Host Connected (LGR S/N: 10349994)"	"Coupler Attached (LGR S/N: 10349994)"	"Stopped (LGR S/N: 10349994)"	"End Of File (LGR S/N: 10349994)"
1	15-12-17	00:00:00	22.621	0.0				
2	15-12-17	00:05:00	22.621	0.0				
3	15-12-17	00:10:00	22.621	0.0				
4	15-12-17	00:15:00	22.525	0.0				
5	15-12-17	00:20:00	22.525	0.0				
6	15-12-17	00:25:00	22.525	0.0				
7	15-12-17	00:30:00	22.525	0.0				
8	15-12-17	00:35:00	22.525	0.0				
9	15-12-17	00:40:00	22.525	0.0				
10	15-12-17	00:45:00	22.429	0.0				
11	15-12-17	00:50:00	22.429	0.0				
12	15-12-17	00:55:00	22.429	0.0				
13	15-12-17	01:00:00	22.429	0.0				
14	15-12-17	01:05:00	22.429	0.0				
15	15-12-17	01:10:00	22.429	0.0				
16	15-12-17	01:15:00	22.429	0.0				
17	15-12-17	01:20:00	22.429	0.0				
18	15-12-17	01:25:00	22.429	0.0				
19	15-12-17	01:30:00	22.333	0.0				
20	15-12-17	01:35:00	22.333	0.0				
21	15-12-17	01:40:00	22.333	0.0				
22	15-12-17	01:45:00	22.333	0.0				
23	15-12-17	01:50:00	22.333	0.0				
24	15-12-17	01:55:00	22.238	0.0				
25	15-12-17	02:00:00	21.569	0.0				
26	15-12-17	02:05:00	20.996	0.0				
27	15-12-17	02:10:00	20.710	0.0				
28	15-12-17	02:15:00	20.519	0.0				
29	15-12-17	02:20:00	20.329	0.0				
30	15-12-17	02:25:00	20.234	0.0				
31	15-12-17	02:30:00	20.138	0.0				
32	15-12-17	02:35:00	20.043	0.0				
33	15-12-17	02:40:00	20.043	0.0				
34	15-12-17	02:45:00	20.043	0.0				
35	15-12-17	02:50:00	19.948	0.0				
36	15-12-17	02:55:00	19.948	0.0				
37	15-12-17	03:00:00	19.948	0.0				
38	15-12-17	03:05:00	19.948	0.0				
39	15-12-17	03:10:00	19.948	0.0				
40	15-12-17	03:15:00	19.948	0.0				
41	15-12-17	03:20:00	19.948	0.0				
42	15-12-17	03:25:00	19.948	0.0				
43	15-12-17	03:30:00	19.853	0.0				
44	15-12-17	03:35:00	19.948	0.0				
45	15-12-17	03:40:00	19.853	0.0				
46	15-12-17	03:45:00	19.853	0.0				
47	15-12-17	03:50:00	19.853	0.0				
48	15-12-17	03:55:00	19.853	0.0				
49	15-12-17	04:00:00	19.853	0.0				
50	15-12-17	04:05:00	19.853	0.0				
51	15-12-17	04:10:00	19.853	0.0				
52	15-12-17	04:15:00	19.853	0.0				
53	15-12-17	04:20:00	19.853	0.0				
54	15-12-17	04:25:00	19.853	0.0				
