google_sheet_id,name,hobo_id,data_available,region,latitude,longitude,exposition,altitude,influence,description,,,,,,,,,,,,,,,,,
1,anonym1,10760824,failed,,47.987391000000002,7.8582,,,low,"Alternative HOBO sensor 10347357. No protection, some building influences, HOBO near window",,,,,,,,,,,,,,,,,
2,anonym2,10347342,yes,,47.995024000000001,7.8368,,,low,"Backyard of multi-family house, west-exposition, 1.5 m above the ground",,,,,,,,,,,,,,,,,
3,anonym3,10347322,yes,,48.015545000000003,7.8292,,,medium,"metal fence near train line, trees and bushes on one side, grass on the other. 1m above ground, very near of the official DWD weather station",,,,,,,,,,,,,,,,,
4,anonym4,10350046,yes,,47.985489999999999,7.8357,,,medium,"Balcony (6th floor), placed in a shaded area to protect it from radiation, low wind exposure, around 3m away from the balcony  door",,,,,,,,,,,,,,,,,
5,anonym5,10350063,yes,,47.985469999999999,7.8360,,,medium,"garden, 1 meter above ground, exposition west, hanging on a a branch of a bush, 100 meters away from various buildings",,,,,,,,,,,,,,,,,
6,anonym6,10347323,yes,,47.996361999999998,7.8152,,,low,"Had errors, switching to this data 10347323",,,,,,,,,,,,,,,,,
7,anonym7,10760767,yes,,47.984999999999999,7.8344,,,medium,"garden, inside bushes, 2 m a.g., protection against radiation by leaves, exposed to wind, proximity to buildings >= 4 m",,,,,,,,,,,,,,,,,
8,anonym8,10347367,yes,,47.972760000000001,7.8314,,,medium,"garden, ground level, away from any buildings, some wind exposure",,,,,,,,,,,,,,,,,
9,anonym9,10132405,yes,,47.977173000000001,7.8192,,,high,"balcony, exposition = S, fixed to balustrade at about 7 m above ground, only partly shielded against radiation, not protected against wind, distance to  wall ~ 1.5 m ",,,,,,,,,,,,,,,,,
10,anonym10,10349994,yes,,48.006368999999999,7.8293,,,medium,"balcony, exposition 125° SE - wind protected inside of the parapet, behind an straw mat. ~ 4.60m above the ground and ~2.5m close to the balcony door",,,,,,,,,,,,,,,,,
11,anonym11,10350087,yes,,48.026525999999997,7.8048,,,high,"garden (birch tree), no protection against radiation and wind, 3m above ground, nearest house 10m",,,,,,,,,,,,,,,,,
12,anonym12,10350000,yes,,47.983857999999998,7.8348,,,medium,"garden under a low balcony, 0.5m above ground level, exposition: East",,,,,,,,,,,,,,,,,
13,anonym13,10350095,yes,,47.981366919444397,7.8234,,,medium,"in a apple tree, 1.5m above ground, backyard",,,,,,,,,,,,,,,,,
14,anonym14,10350084,yes,,47.989665000000002,7.8661,,,medium,"balcony, exposition south partly covered by houses",,,,,,,,,,,,,,,,,
15,anonym15,10350032,yes,,47.989573999999998,7.8753,,,low,"balcony, north exposition, 5 m above ground level, some wind exposure, balcony door opened rarely",,,,,,,,,,,,,,,,,
16,anonym16,10760815,failed,,48.019455999999998,7.8558,,,low,alternative hobo sensor: 10347364,,,,,,,,,,,,,,,,,
17,anonym17,10350053,yes,,48.050857999999998,7.7989,,,low,"garden, 2m hight, under roof of a hut",,,,,,,,,,,,,,,,,
18,anonym18,10350031,yes,,47.979416000000001,7.9567,,,low,"under a small, open arbor in a garden between fields, ~1m above ground",,,,,,,,,,,,,,,,,
19,anonym19,10350028,yes,,48.050817000000002,7.7990,,,medium,"terrace above residential building, 0.5 m above ground close to railing near building",,,,,,,,,,,,,,,,,
20,anonym20,10350051,yes,,47.997663000000003,7.8348,,,low,"balcony, 2nd floor, west exposition, not exposed to sun",,,,,,,,,,,,,,,,,
21,anonym21,10347391,yes,,48.050485700000003,7.7209,,,medium,2 m over ground. Exposition sun but covered under a tree. ,,,,,,,,,,,,,,,,,
22,anonym22,10350103,yes,,48.002144000000001,7.8454,,,low,"Container, Stefan-Meier-Str. 31a, 5m above ground, near building/window, read out 07-01-2018 11am",,,,,,,,,,,,,,,,,
23,anonym23,10347323,yes,,47.996361999999998,7.8152,,,low,"8m above ground, north house wall",,,,,,,,,,,,,,,,,
24,anonym24,10347357,yes,,47.987391000000002,7.8582,,,low,"no protection, some building influences, hobo near the window",,,,,,,,,,,,,,,,,
25,anonym25,10347310,yes,,48.019554999999997,7.8559,,,medium,"2. floor balkony, north oritented, wind protected",,,,,,,,,,,,,,,,,
26,anonym26,10350083,yes,,48.019455999999998,7.8558,,,high,"2. floor balkony, south oriented, wind protected",,,,,,,,,,,,,,,,,
27,anonym27,10347364,yes,,48.019455999999998,7.8558,,,low,"2. floor balkony, south oriented, under a protection shield",,,,,,,,,,,,,,,,,
