id	date	time	temp	lux
147	2017-12-15	12:10:00	7.179	4822.3
148	2017-12-15	12:15:00	7.179	1722.2
149	2017-12-15	12:20:00	6.978	1894.5
150	2017-12-15	12:25:00	6.775	1894.5
151	2017-12-15	12:30:00	6.877	2927.8
152	2017-12-15	12:35:00	6.978	3444.5
153	2017-12-15	12:40:00	6.877	3100
154	2017-12-15	12:45:00	6.877	2755.6
155	2017-12-15	12:50:00	6.877	1980.6
156	2017-12-15	12:55:00	6.775	1808.3
157	2017-12-15	13:00:00	6.775	1550
158	2017-12-15	13:05:00	6.674	1367
159	2017-12-15	13:10:00	6.674	1722.2
160	2017-12-15	13:15:00	6.877	3100
161	2017-12-15	13:20:00	6.978	2325
162	2017-12-15	13:25:00	7.079	1980.6
163	2017-12-15	13:30:00	6.978	1636.1
164	2017-12-15	13:35:00	6.978	1550
165	2017-12-15	13:40:00	7.079	1377.8
166	2017-12-15	13:45:00	6.877	753.5
167	2017-12-15	13:50:00	6.775	871.9
168	2017-12-15	13:55:00	6.775	1011.8
169	2017-12-15	14:00:00	6.877	936.5
170	2017-12-15	14:05:00	6.877	1087.2
171	2017-12-15	14:10:00	6.978	473.6
172	2017-12-15	14:15:00	6.877	505.9
173	2017-12-15	14:20:00	6.877	947.2
174	2017-12-15	14:25:00	6.877	861.1
175	2017-12-15	14:30:00	6.978	1011.8
176	2017-12-15	14:35:00	6.978	1130.2
177	2017-12-15	14:40:00	7.079	1280.9
178	2017-12-15	14:45:00	7.079	775
179	2017-12-15	14:50:00	6.978	1162.5
180	2017-12-15	14:55:00	6.978	581.3
181	2017-12-15	15:00:00	6.877	828.8
182	2017-12-15	15:05:00	6.877	1162.5
183	2017-12-15	15:10:00	6.877	2066.7
184	2017-12-15	15:15:00	7.179	2755.6
185	2017-12-15	15:20:00	7.079	441.3
186	2017-12-15	15:25:00	6.978	366
187	2017-12-15	15:30:00	6.775	516.7
188	2017-12-15	15:35:00	6.674	570.5
189	2017-12-15	15:40:00	6.674	355.2
190	2017-12-15	15:45:00	6.573	344.4
191	2017-12-15	15:50:00	6.674	452.1
192	2017-12-15	15:55:00	6.775	796.5
193	2017-12-15	16:00:00	6.775	667.4
194	2017-12-15	16:05:00	6.775	473.6
195	2017-12-15	16:10:00	6.775	258.3
196	2017-12-15	16:15:00	6.877	193.8
197	2017-12-15	16:20:00	6.775	118.4
198	2017-12-15	16:25:00	6.775	161.5
199	2017-12-15	16:30:00	6.775	139.9
200	2017-12-15	16:35:00	6.674	43.1
201	2017-12-15	16:40:00	6.573	32.3
202	2017-12-15	16:45:00	6.573	10.8
203	2017-12-15	16:50:00	6.471	10.8
204	2017-12-15	16:55:00	6.37	0
205	2017-12-15	17:00:00	6.471	0
206	2017-12-15	17:05:00	6.471	0
207	2017-12-15	17:10:00	6.471	0
208	2017-12-15	17:15:00	6.471	0
209	2017-12-15	17:20:00	6.471	0
210	2017-12-15	17:25:00	6.471	0
211	2017-12-15	17:30:00	6.37	0
212	2017-12-15	17:35:00	6.37	0
213	2017-12-15	17:40:00	6.268	0
214	2017-12-15	17:45:00	6.268	0
215	2017-12-15	17:50:00	6.268	0
216	2017-12-15	17:55:00	6.268	0
217	2017-12-15	18:00:00	6.268	0
218	2017-12-15	18:05:00	6.268	0
219	2017-12-15	18:10:00	6.166	0
220	2017-12-15	18:15:00	6.268	0
221	2017-12-15	18:20:00	6.37	0
222	2017-12-15	18:25:00	6.573	0
223	2017-12-15	18:30:00	6.471	0
224	2017-12-15	18:35:00	6.471	0
225	2017-12-15	18:40:00	6.674	0
226	2017-12-15	18:45:00	6.674	0
227	2017-12-15	18:50:00	6.674	0
228	2017-12-15	18:55:00	6.471	0
229	2017-12-15	19:00:00	6.674	0
230	2017-12-15	19:05:00	6.674	0
231	2017-12-15	19:10:00	6.877	0
232	2017-12-15	19:15:00	6.674	0
233	2017-12-15	19:20:00	6.37	0
234	2017-12-15	19:25:00	6.37	0
235	2017-12-15	19:30:00	6.37	0
236	2017-12-15	19:35:00	6.37	0
237	2017-12-15	19:40:00	6.268	0
238	2017-12-15	19:45:00	6.37	0
239	2017-12-15	19:50:00	6.471	0
240	2017-12-15	19:55:00	6.573	0
241	2017-12-15	20:00:00	6.775	0
242	2017-12-15	20:05:00	6.978	0
243	2017-12-15	20:10:00	6.978	0
244	2017-12-15	20:15:00	6.877	0
245	2017-12-15	20:20:00	6.674	0
246	2017-12-15	20:25:00	6.573	0
247	2017-12-15	20:30:00	6.471	0
248	2017-12-15	20:35:00	6.471	0
