"Plot Title: Experiment"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347321, SEN S/N: 10347321)","Intensity, Lux (LGR S/N: 10347321, SEN S/N: 10347321)","Bad Battery (LGR S/N: 10347321)","Coupler Attached (LGR S/N: 10347321)","Host Connected (LGR S/N: 10347321)","Stopped (LGR S/N: 10347321)","End Of File (LGR S/N: 10347321)"
107,11/12/2021 18:40:00,4.623,0.0,,,,,
108,11/12/2021 18:50:00,4.623,0.0,,,,,
109,11/12/2021 19:00:00,4.623,0.0,,,,,
110,11/12/2021 19:10:00,4.623,0.0,,,,,
111,11/12/2021 19:20:00,4.727,0.0,,,,,
112,11/12/2021 19:30:00,4.727,0.0,,,,,
113,11/12/2021 19:40:00,4.727,0.0,,,,,
114,11/12/2021 19:50:00,4.831,0.0,,,,,
115,11/12/2021 20:00:00,4.727,0.0,,,,,
116,11/12/2021 20:10:00,4.727,0.0,,,,,
117,11/12/2021 20:20:00,4.727,0.0,,,,,
118,11/12/2021 20:30:00,4.519,0.0,,,,,
119,11/12/2021 20:40:00,4.415,0.0,,,,,
120,11/12/2021 20:50:00,4.415,0.0,,,,,
121,11/12/2021 21:00:00,4.311,0.0,,,,,
122,11/12/2021 21:10:00,4.311,0.0,,,,,
123,11/12/2021 21:20:00,4.207,0.0,,,,,
124,11/12/2021 21:30:00,4.102,0.0,,,,,
125,11/12/2021 21:40:00,3.893,0.0,,,,,
126,11/12/2021 21:50:00,3.788,0.0,,,,,
127,11/12/2021 22:00:00,3.578,0.0,,,,,
128,11/12/2021 22:10:00,3.261,0.0,,,,,
129,11/12/2021 22:20:00,3.155,0.0,,,,,
130,11/12/2021 22:30:00,3.261,0.0,,,,,
131,11/12/2021 22:40:00,3.472,0.0,,,,,
132,11/12/2021 22:50:00,3.472,0.0,,,,,
133,11/12/2021 23:00:00,3.578,0.0,,,,,
134,11/12/2021 23:10:00,3.472,0.0,,,,,
135,11/12/2021 23:20:00,3.472,0.0,,,,,
136,11/12/2021 23:30:00,3.472,0.0,,,,,
137,11/12/2021 23:40:00,3.261,0.0,,,,,
138,11/12/2021 23:50:00,3.367,0.0,,,,,
139,12/12/2021 00:00:00,3.261,0.0,,,,,
140,12/12/2021 00:10:00,3.367,0.0,,,,,
141,12/12/2021 00:20:00,3.261,0.0,,,,,
142,12/12/2021 00:30:00,3.261,0.0,,,,,
143,12/12/2021 00:40:00,3.049,0.0,,,,,
144,12/12/2021 00:50:00,2.730,0.0,,,,,
145,12/12/2021 01:00:00,2.517,0.0,,,,,
146,12/12/2021 01:10:00,2.624,0.0,,,,,
147,12/12/2021 01:20:00,2.517,0.0,,,,,
148,12/12/2021 01:30:00,2.195,0.0,,,,,
149,12/12/2021 01:40:00,2.088,0.0,,,,,
150,12/12/2021 01:50:00,2.088,0.0,,,,,
151,12/12/2021 02:00:00,2.088,0.0,,,,,
152,12/12/2021 02:10:00,1.980,0.0,,,,,
153,12/12/2021 02:20:00,1.980,0.0,,,,,
154,12/12/2021 02:30:00,1.656,0.0,,,,,
155,12/12/2021 02:40:00,1.764,0.0,,,,,
156,12/12/2021 02:50:00,1.764,0.0,,,,,
157,12/12/2021 03:00:00,1.548,0.0,,,,,
158,12/12/2021 03:10:00,1.439,0.0,,,,,
159,12/12/2021 03:20:00,1.548,0.0,,,,,
160,12/12/2021 03:30:00,1.548,0.0,,,,,
161,12/12/2021 03:40:00,1.548,0.0,,,,,
162,12/12/2021 03:50:00,1.439,0.0,,,,,
163,12/12/2021 04:00:00,1.439,0.0,,,,,
164,12/12/2021 04:10:00,1.548,0.0,,,,,
165,12/12/2021 04:20:00,1.656,0.0,,,,,
166,12/12/2021 04:30:00,1.656,0.0,,,,,
167,12/12/2021 04:40:00,1.330,0.0,,,,,
168,12/12/2021 04:50:00,1.221,0.0,,,,,
169,12/12/2021 05:00:00,1.221,0.0,,,,,
170,12/12/2021 05:10:00,1.221,0.0,,,,,
171,12/12/2021 05:20:00,1.112,0.0,,,,,
172,12/12/2021 05:30:00,1.003,0.0,,,,,
173,12/12/2021 05:40:00,1.112,0.0,,,,,
174,12/12/2021 05:50:00,1.003,0.0,,,,,
175,12/12/2021 06:00:00,0.893,0.0,,,,,
176,12/12/2021 06:10:00,0.784,0.0,,,,,
177,12/12/2021 06:20:00,0.784,0.0,,,,,
178,12/12/2021 06:30:00,0.674,0.0,,,,,
179,12/12/2021 06:40:00,0.453,0.0,,,,,
180,12/12/2021 06:50:00,0.232,0.0,,,,,
181,12/12/2021 07:00:00,0.343,0.0,,,,,
182,12/12/2021 07:10:00,0.010,0.0,,,,,
183,12/12/2021 07:20:00,0.453,0.0,,,,,
184,12/12/2021 07:30:00,0.893,0.0,,,,,
185,12/12/2021 07:40:00,1.221,0.0,,,,,
186,12/12/2021 07:50:00,1.330,86.1,,,,,
187,12/12/2021 08:00:00,1.656,226.0,,,,,
188,12/12/2021 08:10:00,1.980,1216.3,,,,,
189,12/12/2021 08:20:00,2.303,936.5,,,,,
190,12/12/2021 08:30:00,2.410,1270.1,,,,,
191,12/12/2021 08:40:00,2.088,3444.5,,,,,
192,12/12/2021 08:50:00,1.872,5166.7,,,,,
193,12/12/2021 09:00:00,1.764,4133.4,,,,,
194,12/12/2021 09:10:00,1.980,4650.0,,,,,
195,12/12/2021 09:20:00,1.764,3788.9,,,,,
196,12/12/2021 09:30:00,2.624,12400.1,,,,,
197,12/12/2021 09:40:00,3.367,15155.7,,,,,
198,12/12/2021 09:50:00,3.998,10677.8,,,,,
199,12/12/2021 10:00:00,3.788,12400.1,,,,,
200,12/12/2021 10:10:00,3.788,14466.8,,,,,
201,12/12/2021 10:20:00,3.893,13777.9,,,,,
202,12/12/2021 10:30:00,4.102,11022.3,,,,,
203,12/12/2021 10:40:00,4.207,10677.8,,,,,
204,12/12/2021 10:50:00,4.415,9644.5,,,,,
205,12/12/2021 11:00:00,4.623,10333.4,,,,,
206,12/12/2021 11:10:00,4.727,9300.1,,,,,
207,12/12/2021 11:20:00,4.934,8266.7,,,,,
208,12/12/2021 11:30:00,5.552,7233.4,,,,,
209,12/12/2021 11:40:00,5.244,6544.5,,,,,
210,12/12/2021 11:50:00,5.037,5511.1,,,,,
211,12/12/2021 12:00:00,4.623,5511.1,,,,,
212,12/12/2021 12:10:00,4.727,5166.7,,,,,
213,12/12/2021 12:20:00,4.934,5166.7,,,,,
214,12/12/2021 12:30:00,5.141,5166.7,,,,,
215,12/12/2021 12:40:00,5.244,7233.4,,,,,
216,12/12/2021 12:50:00,5.655,7233.4,,,,,
217,12/12/2021 13:00:00,5.860,7577.8,,,,,
218,12/12/2021 13:10:00,6.370,9300.1,,,,,
219,12/12/2021 13:20:00,6.775,8266.7,,,,,
220,12/12/2021 13:30:00,6.775,5511.1,,,,,
221,12/12/2021 13:40:00,6.370,5511.1,,,,,
222,12/12/2021 13:50:00,6.775,4994.5,,,,,
223,12/12/2021 14:00:00,6.877,4650.0,,,,,
224,12/12/2021 14:10:00,6.573,3961.1,,,,,
225,12/12/2021 14:20:00,6.471,3272.2,,,,,
226,12/12/2021 14:30:00,6.268,2927.8,,,,,
227,12/12/2021 14:40:00,6.471,2927.8,,,,,
228,12/12/2021 14:50:00,6.573,2927.8,,,,,
229,12/12/2021 15:00:00,6.674,2669.5,,,,,
230,12/12/2021 15:10:00,6.775,2411.1,,,,,
231,12/12/2021 15:20:00,6.877,2238.9,,,,,
232,12/12/2021 15:30:00,6.775,1636.1,,,,,
233,12/12/2021 15:40:00,6.877,699.7,,,,,
234,12/12/2021 15:50:00,6.775,742.7,,,,,
235,12/12/2021 16:00:00,6.775,1377.8,,,,,
236,12/12/2021 16:10:00,6.370,1377.8,,,,,
237,12/12/2021 16:20:00,6.268,624.3,,,,,
238,12/12/2021 16:30:00,6.268,290.6,,,,,
239,12/12/2021 16:40:00,6.064,150.7,,,,,
240,12/12/2021 16:50:00,6.471,43.1,,,,,
241,12/12/2021 17:00:00,6.166,0.0,,,,,
242,12/12/2021 17:10:00,5.962,0.0,,,,,
243,12/12/2021 17:20:00,6.370,0.0,,,,,
