"Plot Title: 10350071"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350075, SEN S/N: 10350075)","Intensity, Lux (LGR S/N: 10350075, SEN S/N: 10350075)","Bad Battery (LGR S/N: 10350075)","End Of File (LGR S/N: 10350075)"
1,29/11/2020 18:00:00,1.439,0.0,,
2,29/11/2020 18:10:00,1.439,0.0,,
3,29/11/2020 18:20:00,1.330,0.0,,
4,29/11/2020 18:30:00,1.221,0.0,,
5,29/11/2020 18:40:00,1.221,0.0,,
6,29/11/2020 18:50:00,1.221,0.0,,
7,29/11/2020 19:00:00,1.112,0.0,,
8,29/11/2020 19:10:00,1.003,0.0,,
9,29/11/2020 19:20:00,0.893,0.0,,
10,29/11/2020 19:30:00,0.784,0.0,,
11,29/11/2020 19:40:00,0.563,0.0,,
12,29/11/2020 19:50:00,0.563,0.0,,
13,29/11/2020 20:00:00,0.343,0.0,,
14,29/11/2020 20:10:00,0.232,0.0,,
15,29/11/2020 20:20:00,0.232,0.0,,
16,29/11/2020 20:30:00,0.121,0.0,,
17,29/11/2020 20:40:00,0.121,0.0,,
18,29/11/2020 20:50:00,0.343,0.0,,
19,29/11/2020 21:00:00,0.453,0.0,,
20,29/11/2020 21:10:00,0.453,0.0,,
21,29/11/2020 21:20:00,0.232,0.0,,
22,29/11/2020 21:30:00,0.121,0.0,,
23,29/11/2020 21:40:00,0.010,0.0,,
24,29/11/2020 21:50:00,-0.213,0.0,,
25,29/11/2020 22:00:00,-0.325,0.0,,
26,29/11/2020 22:10:00,-0.549,0.0,,
27,29/11/2020 22:20:00,-0.437,0.0,,
28,29/11/2020 22:30:00,-0.102,0.0,,
29,29/11/2020 22:40:00,-0.213,0.0,,
30,29/11/2020 22:50:00,-0.213,0.0,,
31,29/11/2020 23:00:00,-0.213,0.0,,
32,29/11/2020 23:10:00,-0.213,0.0,,
33,29/11/2020 23:20:00,-0.325,0.0,,
34,29/11/2020 23:30:00,-0.325,0.0,,
35,29/11/2020 23:40:00,-0.213,0.0,,
36,29/11/2020 23:50:00,-0.102,0.0,,
37,30/11/2020 00:00:00,-0.102,0.0,,
38,30/11/2020 00:10:00,-0.213,0.0,,
39,30/11/2020 00:20:00,-0.213,0.0,,
40,30/11/2020 00:30:00,-0.213,0.0,,
41,30/11/2020 00:40:00,-0.213,0.0,,
42,30/11/2020 00:50:00,-0.213,0.0,,
