"Plot Title: 10347310"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347310, SEN S/N: 10347310)","Intensity, Lux (LGR S/N: 10347310, SEN S/N: 10347310)","Bad Battery (LGR S/N: 10347310)","Host Connected (LGR S/N: 10347310)","Coupler Attached (LGR S/N: 10347310)","Stopped (LGR S/N: 10347310)","End Of File (LGR S/N: 10347310)"
1,29/11/2020 18:00:00,-0.887,0.0,,,,,
2,29/11/2020 18:10:00,-1.114,0.0,,,,,
3,29/11/2020 18:20:00,-1.228,0.0,,,,,
4,29/11/2020 18:30:00,-1.228,0.0,,,,,
5,29/11/2020 18:40:00,-1.228,0.0,,,,,
6,29/11/2020 18:50:00,-1.001,0.0,,,,,
7,29/11/2020 19:00:00,-0.887,0.0,,,,,
8,29/11/2020 19:10:00,-1.114,0.0,,,,,
9,29/11/2020 19:20:00,-1.456,0.0,,,,,
10,29/11/2020 19:30:00,-1.799,0.0,,,,,
11,29/11/2020 19:40:00,-1.684,0.0,,,,,
12,29/11/2020 19:50:00,-2.030,0.0,,,,,
13,29/11/2020 20:00:00,-2.030,0.0,,,,,
14,29/11/2020 20:10:00,-2.030,0.0,,,,,
15,29/11/2020 20:20:00,-2.030,0.0,,,,,
16,29/11/2020 20:30:00,-2.261,0.0,,,,,
17,29/11/2020 20:40:00,-2.377,0.0,,,,,
18,29/11/2020 20:50:00,-2.377,0.0,,,,,
19,29/11/2020 21:00:00,-2.377,0.0,,,,,
20,29/11/2020 21:10:00,-2.494,0.0,,,,,
21,29/11/2020 21:20:00,-2.844,0.0,,,,,
22,29/11/2020 21:30:00,-2.962,0.0,,,,,
23,29/11/2020 21:40:00,-2.844,0.0,,,,,
24,29/11/2020 21:50:00,-2.844,0.0,,,,,
25,29/11/2020 22:00:00,-2.844,0.0,,,,,
26,29/11/2020 22:10:00,-2.844,0.0,,,,,
27,29/11/2020 22:20:00,-2.145,0.0,,,,,
28,29/11/2020 22:30:00,-2.261,0.0,,,,,
29,29/11/2020 22:40:00,-2.494,0.0,,,,,
30,29/11/2020 22:50:00,-2.494,0.0,,,,,
31,29/11/2020 23:00:00,-2.610,0.0,,,,,
32,29/11/2020 23:10:00,-2.610,0.0,,,,,
33,29/11/2020 23:20:00,-2.610,0.0,,,,,
34,29/11/2020 23:30:00,-2.494,0.0,,,,,
35,29/11/2020 23:40:00,-2.377,0.0,,,,,
36,29/11/2020 23:50:00,-2.030,0.0,,,,,
37,30/11/2020 00:00:00,-1.684,0.0,,,,,
38,30/11/2020 00:10:00,-1.570,0.0,,,,,
39,30/11/2020 00:20:00,-1.456,0.0,,,,,
40,30/11/2020 00:30:00,-1.228,0.0,,,,,
41,30/11/2020 00:40:00,-1.114,0.0,,,,,
42,30/11/2020 00:50:00,-1.001,0.0,,,,,
43,30/11/2020 01:00:00,-1.001,0.0,,,,,
44,30/11/2020 01:10:00,-1.001,0.0,,,,,
45,30/11/2020 01:20:00,-0.887,0.0,,,,,
46,30/11/2020 01:30:00,-0.887,0.0,,,,,
47,30/11/2020 01:40:00,-1.001,0.0,,,,,
48,30/11/2020 01:50:00,-1.114,0.0,,,,,
49,30/11/2020 02:00:00,-1.456,0.0,,,,,
50,30/11/2020 02:10:00,-1.799,0.0,,,,,
51,30/11/2020 02:20:00,-1.914,0.0,,,,,
52,30/11/2020 02:30:00,-2.030,0.0,,,,,
53,30/11/2020 02:40:00,-2.145,0.0,,,,,
54,30/11/2020 02:50:00,-2.377,0.0,,,,,
55,30/11/2020 03:00:00,-2.494,0.0,,,,,
56,30/11/2020 03:10:00,-2.610,0.0,,,,,
57,30/11/2020 03:20:00,-2.844,0.0,,,,,
58,30/11/2020 03:30:00,-2.844,0.0,Logged,,,,
59,30/11/2020 03:40:00,-2.727,0.0,,,,,
60,30/11/2020 03:50:00,-2.494,0.0,,,,,
61,30/11/2020 04:00:00,-2.494,0.0,,,,,
62,30/11/2020 04:10:00,-2.261,0.0,,,,,
63,30/11/2020 04:20:00,-2.145,0.0,,,,,
64,30/11/2020 04:30:00,-2.145,0.0,,,,,
65,30/11/2020 04:40:00,-2.030,0.0,,,,,
66,30/11/2020 04:50:00,-1.914,0.0,,,,,
67,30/11/2020 05:00:00,-1.799,0.0,,,,,
68,30/11/2020 05:10:00,-1.684,0.0,,,,,
69,30/11/2020 05:20:00,-1.799,0.0,,,,,
70,30/11/2020 05:30:00,-1.914,0.0,,,,,
71,30/11/2020 05:40:00,-1.914,0.0,,,,,
72,30/11/2020 05:50:00,-2.377,0.0,,,,,
73,30/11/2020 06:00:00,-2.610,0.0,,,,,
74,30/11/2020 06:10:00,-3.079,0.0,,,,,
75,30/11/2020 06:20:00,-3.316,0.0,,,,,
76,30/11/2020 06:30:00,-3.434,0.0,,,,,
77,30/11/2020 06:40:00,-3.792,0.0,,,,,
78,30/11/2020 06:50:00,-3.792,0.0,,,,,
79,30/11/2020 07:00:00,-3.792,0.0,,,,,
80,30/11/2020 07:10:00,-3.434,0.0,,,,,
81,30/11/2020 07:20:00,-2.962,0.0,,,,,
82,30/11/2020 07:30:00,-2.610,0.0,,,,,
83,30/11/2020 07:40:00,-2.377,21.5,,,,,
84,30/11/2020 07:50:00,-2.377,86.1,,,,,
85,30/11/2020 08:00:00,-2.377,193.8,,,,,
86,30/11/2020 08:10:00,-2.145,398.3,,,,,
87,30/11/2020 08:20:00,-2.030,796.5,,,,,
88,30/11/2020 08:30:00,-1.684,1205.6,,,,,
89,30/11/2020 08:40:00,-1.570,1808.3,,,,,
90,30/11/2020 08:50:00,-1.456,2497.2,,,,,
91,30/11/2020 09:00:00,-1.228,3100.0,,,,,
92,30/11/2020 09:10:00,-1.341,2755.6,,,,,
93,30/11/2020 09:20:00,-1.341,3961.1,,,,,
94,30/11/2020 09:30:00,-1.001,5166.7,,,,,
95,30/11/2020 09:40:00,-1.114,3100.0,,,,,
96,30/11/2020 09:50:00,-1.228,2927.8,,,,,
97,30/11/2020 10:00:00,-1.341,3272.2,,,,,
98,30/11/2020 10:10:00,-1.114,6544.5,,,,,
99,30/11/2020 10:20:00,-0.437,7233.4,,,,,
100,30/11/2020 10:30:00,-0.102,7233.4,,,,,
101,30/11/2020 10:40:00,0.453,8266.7,,,,,
102,30/11/2020 10:50:00,0.784,8266.7,,,,,
103,30/11/2020 11:00:00,1.112,8266.7,,,,,
104,30/11/2020 11:10:00,1.330,9300.1,,,,,
105,30/11/2020 11:20:00,1.548,9644.5,,,,,
106,30/11/2020 11:30:00,1.548,9300.1,,,,,
107,30/11/2020 11:40:00,1.764,9644.5,,,,,
108,30/11/2020 11:50:00,2.195,10333.4,,,,,
109,30/11/2020 12:00:00,2.410,10677.8,,,,,
110,30/11/2020 12:10:00,2.517,10677.8,,,,,
111,30/11/2020 12:20:00,2.195,10333.4,,,,,
112,30/11/2020 12:30:00,2.517,10333.4,,,,,
113,30/11/2020 12:40:00,2.410,10333.4,,,,,
114,30/11/2020 12:50:00,2.410,9644.5,,,,,
115,30/11/2020 13:00:00,2.517,9300.1,,,,,
116,30/11/2020 13:10:00,2.517,9300.1,,,,,
117,30/11/2020 13:20:00,2.730,9300.1,,,,,
118,30/11/2020 13:30:00,8.082,15844.5,,,,,
119,30/11/2020 13:40:00,9.176,11711.2,,,,,
120,30/11/2020 13:50:00,4.311,10333.4,,,,,
121,30/11/2020 14:00:00,6.674,12400.1,,,,,
122,30/11/2020 14:10:00,4.934,11022.3,,,,,
123,30/11/2020 14:20:00,5.347,11711.2,,,,,
124,30/11/2020 14:30:00,5.244,11022.3,,,,,
125,30/11/2020 14:40:00,5.141,10333.4,,,,,
126,30/11/2020 14:50:00,3.998,9644.5,,,,,
127,30/11/2020 15:00:00,4.102,9300.1,,,,,
128,30/11/2020 15:10:00,4.102,11022.3,,,,,
129,30/11/2020 15:20:00,4.311,13777.9,,,,,
130,30/11/2020 15:30:00,5.962,5166.7,,,,,
131,30/11/2020 15:40:00,2.730,3272.2,,,,,
132,30/11/2020 15:50:00,2.088,2927.8,,,,,
133,30/11/2020 16:00:00,1.656,2497.2,,,,,
134,30/11/2020 16:10:00,1.330,2066.7,,,,,
135,30/11/2020 16:20:00,0.563,1463.9,,,,,
136,30/11/2020 16:30:00,-0.102,936.5,,,,,
137,30/11/2020 16:40:00,-0.662,430.6,,,,,
138,30/11/2020 16:50:00,-0.887,193.8,,,,,
139,30/11/2020 17:00:00,-1.114,43.1,,,,,
140,30/11/2020 17:10:00,-1.228,0.0,,,,,
141,30/11/2020 17:20:00,-1.456,0.0,,,,,
142,30/11/2020 17:30:00,-1.570,0.0,,,,,
143,30/11/2020 17:40:00,-1.684,0.0,,,,,
144,30/11/2020 17:50:00,-1.684,0.0,,,,,
145,30/11/2020 18:00:00,-1.799,0.0,,,,,
146,30/11/2020 18:10:00,-1.456,0.0,,,,,
147,30/11/2020 18:20:00,-1.684,0.0,,,,,
148,30/11/2020 18:30:00,-1.799,0.0,,,,,
149,30/11/2020 18:40:00,-1.684,0.0,,,,,
150,30/11/2020 18:50:00,-1.914,0.0,,,,,
151,30/11/2020 19:00:00,-1.799,0.0,,,,,
152,30/11/2020 19:10:00,-1.799,0.0,,,,,
153,30/11/2020 19:20:00,-1.799,0.0,,,,,
154,30/11/2020 19:30:00,-1.456,0.0,,,,,
155,30/11/2020 19:40:00,-1.570,0.0,,,,,
156,30/11/2020 19:50:00,-1.799,0.0,,,,,
157,30/11/2020 20:00:00,-1.914,0.0,,,,,
158,30/11/2020 20:10:00,-1.799,0.0,,,,,
159,30/11/2020 20:20:00,-1.914,0.0,,,,,
160,30/11/2020 20:30:00,-2.030,0.0,,,,,
161,30/11/2020 20:40:00,-1.914,0.0,,,,,
162,30/11/2020 20:50:00,-2.030,0.0,,,,,
163,30/11/2020 21:00:00,-1.914,0.0,,,,,
164,30/11/2020 21:10:00,-2.145,0.0,,,,,
165,30/11/2020 21:20:00,-2.261,0.0,,,,,
166,30/11/2020 21:30:00,-2.261,0.0,,,,,
167,30/11/2020 21:40:00,-2.145,0.0,,,,,
168,30/11/2020 21:50:00,-2.145,0.0,,,,,
169,30/11/2020 22:00:00,-1.914,0.0,,,,,
170,30/11/2020 22:10:00,-1.684,0.0,,,,,
171,30/11/2020 22:20:00,-1.799,0.0,,,,,
172,30/11/2020 22:30:00,-1.799,0.0,,,,,
173,30/11/2020 22:40:00,-1.684,0.0,,,,,
174,30/11/2020 22:50:00,-1.684,0.0,,,,,
175,30/11/2020 23:00:00,-1.570,0.0,,,,,
176,30/11/2020 23:10:00,-1.570,0.0,,,,,
177,30/11/2020 23:20:00,-1.228,0.0,,,,,
178,30/11/2020 23:30:00,-0.887,0.0,,,,,
179,30/11/2020 23:40:00,-0.662,0.0,,,,,
180,30/11/2020 23:50:00,-0.437,0.0,,,,,
181,01/12/2020 00:00:00,-0.213,0.0,,,,,
182,01/12/2020 00:10:00,-0.213,0.0,,,,,
183,01/12/2020 00:20:00,-0.102,0.0,,,,,
184,01/12/2020 00:30:00,-0.102,0.0,,,,,
185,01/12/2020 00:40:00,0.010,0.0,,,,,
186,01/12/2020 00:50:00,0.121,0.0,,,,,
187,01/12/2020 01:00:00,0.121,0.0,,,,,
188,01/12/2020 01:10:00,0.232,0.0,,,,,
189,01/12/2020 01:20:00,0.121,0.0,,,,,
190,01/12/2020 01:30:00,0.232,0.0,,,,,
191,01/12/2020 01:40:00,0.232,0.0,,,,,
192,01/12/2020 01:50:00,0.343,0.0,,,,,
193,01/12/2020 02:00:00,0.563,0.0,,,,,
194,01/12/2020 02:10:00,0.343,0.0,,,,,
195,01/12/2020 02:20:00,0.343,0.0,,,,,
196,01/12/2020 02:30:00,0.343,0.0,,,,,
197,01/12/2020 02:40:00,0.453,0.0,,,,,
198,01/12/2020 02:50:00,0.563,0.0,,,,,
199,01/12/2020 03:00:00,0.563,0.0,,,,,
200,01/12/2020 03:10:00,0.784,0.0,,,,,
201,01/12/2020 03:20:00,0.893,0.0,,,,,
202,01/12/2020 03:30:00,1.112,0.0,,,,,
203,01/12/2020 03:40:00,1.330,0.0,,,,,
204,01/12/2020 03:50:00,1.548,0.0,,,,,
205,01/12/2020 04:00:00,1.764,0.0,,,,,
206,01/12/2020 04:10:00,2.624,0.0,,,,,
207,01/12/2020 04:20:00,2.730,0.0,,,,,
