dttm,th,pred
2021-12-17 14:00:00,3.770,4.42009974116433
2021-12-17 15:00:00,3.189,4.6315605207341
2021-12-17 16:00:00,2.445,2.87259130885827
2021-12-17 17:00:00,1.728,1.11362209698244
2021-12-17 18:00:00,1.276,0.469627904656316
2021-12-17 19:00:00,1.057,-0.222425555753847
2021-12-17 20:00:00,0.637,-0.770301211911893
2021-12-17 21:00:00,0.250,-0.626123407659776
2021-12-17 22:00:00,0.783,-0.232037409370655
2021-12-17 23:00:00,0.619,-0.837584187229548
2021-12-18 00:00:00,0.471,-1.62575618380779
2021-12-18 01:00:00,0.453,-1.65459174465821
2021-12-18 02:00:00,0.490,-1.15477535658421
2021-12-18 03:00:00,0.490,-1.10671608850017
2021-12-18 04:00:00,-0.761,-0.760689358295085
2021-12-18 05:00:00,-0.381,-0.779913065528701
2021-12-18 06:00:00,-0.512,-0.664570822127007
2021-12-18 07:00:00,-0.418,-0.510781164258082
2021-12-18 08:00:00,-0.400,-0.626123407659776
2021-12-18 09:00:00,-0.363,-0.683794529360623
2021-12-18 10:00:00,0.102,-0.501169310641274
2021-12-18 11:00:00,0.728,-0.52039301787489
2021-12-18 12:00:00,1.185,-0.251261116604271
2021-12-18 13:00:00,1.566,0.219719710619312
2021-12-18 14:00:00,1.890,0.748371659543742
2021-12-18 15:00:00,1.944,1.12323395059925
2021-12-18 16:00:00,1.094,0.911773171029475
2021-12-18 17:00:00,1.239,0.508075319123547
2021-12-18 18:00:00,1.746,1.1905169259169
2021-12-18 19:00:00,2.070,1.76722814292537
2021-12-18 20:00:00,1.890,1.58460292420602
2021-12-18 21:00:00,1.782,1.41158955910348
2021-12-18 22:00:00,1.710,0.796430927627781
2021-12-18 23:00:00,1.710,0.825266488478205
2021-12-19 00:00:00,1.475,0.959832439113514
2021-12-19 01:00:00,1.056,1.05595097528159
2021-12-19 02:00:00,1.167,1.03672726804798
2021-12-19 03:00:00,1.221,0.921385024646283
2021-12-19 04:00:00,0.671,0.67147683060928
2021-12-19 05:00:00,1.076,0.498463465506739
2021-12-19 06:00:00,0.948,0.411956782955469
2021-12-19 07:00:00,0.875,0.0563181991335793
2021-12-19 08:00:00,0.655,-0.0398003370344989
2021-12-19 09:00:00,0.711,-0.0590240442681145
2021-12-19 10:00:00,0.911,-0.0301884834176911
2021-12-19 11:00:00,1.112,0.287002685936967
2021-12-19 12:00:00,1.112,0.4504041974227
2021-12-19 13:00:00,1.130,0.786819074010974
2021-12-19 14:00:00,1.058,0.796430927627781
2021-12-19 15:00:00,0.471,0.661864976992472
2021-12-19 16:00:00,0.010,0.488851611889931
2021-12-19 17:00:00,0.210,0.210107857002504
2021-12-19 18:00:00,-0.325,-0.0782477515017301
2021-12-19 19:00:00,-0.269,-0.251261116604271
2021-12-19 20:00:00,-0.232,-0.356991506389157
2021-12-19 21:00:00,-0.306,-0.337767799155541
2021-12-19 22:00:00,-0.418,-0.443498188940427
2021-12-19 23:00:00,-0.232,-0.491557457024466
2021-12-20 00:00:00,-0.176,-0.491557457024466
2021-12-20 01:00:00,-0.269,-0.597287846809352
2021-12-20 02:00:00,-0.400,-0.885643455313587
2021-12-20 03:00:00,-0.288,-0.808748626379124
2021-12-20 04:00:00,-0.158,-0.962538284248049
2021-12-20 05:00:00,-0.905,-0.904867162547203
2021-12-20 06:00:00,-0.738,-1.70265101274225
2021-12-20 07:00:00,-1.437,-2.14479627911541
2021-12-20 08:00:00,-1.191,-2.00061847486329
2021-12-20 09:00:00,0.674,-0.981761991481665
2021-12-20 10:00:00,1.744,0.584970148058009
2021-12-20 11:00:00,3.803,1.78645185015899
2021-12-20 12:00:00,4.846,2.82453204077423
2021-12-20 13:00:00,4.484,3.50697364756759
2021-12-20 14:00:00,5.123,3.87222408500628
2021-12-20 15:00:00,3.927,3.92989520670713
2021-12-20 16:00:00,2.067,2.20937340929853
2021-12-20 17:00:00,0.120,0.806042781244589
2021-12-20 18:00:00,-0.964,0.113989320834426
2021-12-20 19:00:00,-1.992,-0.232037409370655
2021-12-20 20:00:00,-2.513,-0.21281370213704
