dttm, th,origin
2021-12-19 23:00:00,-0.065,H
2021-12-20 00:00:00,-0.083,H
2021-12-20 01:00:00,0.098,R
2021-12-20 02:00:00,-0.437,H
2021-12-20 03:00:00,-0.549,H
2021-12-20 04:00:00,-0.549,H
2021-12-20 05:00:00,-0.831,H
2021-12-20 06:00:00,-1.304,H
2021-12-20 07:00:00,-1.992,H
2021-12-20 08:00:00,-2.088,H
2021-12-20 09:00:00,-0.892,H
2021-12-20 10:00:00,0.673,H
2021-12-20 11:00:00,1.727,H
2021-12-20 12:00:00,4.695,R
2021-12-20 13:00:00,5.917,R
2021-12-20 14:00:00,5.588,R
2021-12-20 15:00:00,4.414,H
2021-12-20 16:00:00,2.656,H
2021-12-20 17:00:00,0.874,H
2021-12-20 18:00:00,0.582,H
2021-12-20 19:00:00,-0.288,H
2021-12-20 20:00:00,-0.812,H
2021-12-20 21:00:00,-1.285,H
2021-12-20 22:00:00,-1.418,H
2021-12-20 23:00:00,-1.895,H
2021-12-21 00:00:00,-2.184,H
2021-12-21 01:00:00,-2.571,H
2021-12-21 02:00:00,-2.981,H
2021-12-21 03:00:00,-3.178,H
2021-12-21 04:00:00,-3.04,H
2021-12-21 05:00:00,-3.693,H
2021-12-21 06:00:00,-4.192,H
2021-12-21 07:00:00,-4.433,H
2021-12-21 08:00:00,-4.656,H
2021-12-21 09:00:00,-4.113,H
2021-12-21 10:00:00,-3.276,H
2021-12-21 11:00:00,-3.021,H
2021-12-21 12:00:00,-2.533,H
2021-12-21 13:00:00,-2.184,H
2021-12-21 14:00:00,-2.068,H
2021-12-21 15:00:00,-2.145,H
2021-12-21 16:00:00,-2.203,H
2021-12-21 17:00:00,-2.03,H
2021-12-21 18:00:00,-2.203,H
2021-12-21 19:00:00,-2.338,H
2021-12-21 20:00:00,-2.552,H
2021-12-21 21:00:00,-2.766,H
2021-12-21 22:00:00,-3.217,H
2021-12-21 23:00:00,-4.577,H
2021-12-22 00:00:00,-5.517,H
2021-12-22 01:00:00,-5.912,H
2021-12-22 02:00:00,-6.162,H
2021-12-22 03:00:00,-6.12,H
2021-12-22 04:00:00,-6.246,H
2021-12-22 05:00:00,-6.584,H
2021-12-22 06:00:00,-6.457,H
2021-12-22 07:00:00,-6.647,H
2021-12-22 08:00:00,-6.648,H
2021-12-22 09:00:00,-5.582,H
2021-12-22 10:00:00,-4.012,H
2021-12-22 11:00:00,-2.554,H
2021-12-22 12:00:00,0.668,R
2021-12-22 13:00:00,1.681,R
2021-12-22 14:00:00,1.656,R
2021-12-22 15:00:00,-0.158,H
2021-12-22 16:00:00,-1.248,H
2021-12-22 17:00:00,-2.436,H
2021-12-22 18:00:00,-3.02,H
