dttm,temp,origin
2021-12-13 00:00:00,5.537,R
2021-12-13 01:00:00,6.115,H
2021-12-13 02:00:00,5.894,H
2021-12-13 03:00:00,5.364,H
2021-12-13 04:00:00,4.501,H
2021-12-13 05:00:00,3.172,H
2021-12-13 06:00:00,2.499,H
2021-12-13 07:00:00,2.124,H
2021-12-13 08:00:00,2.124,H
2021-12-13 09:00:00,3.03,H
2021-12-13 10:00:00,5.48,H
2021-12-13 11:00:00,7.028,H
2021-12-13 12:00:00,8.148,H
2021-12-13 13:00:00,8.672,R
2021-12-13 14:00:00,9.179,R
2021-12-13 15:00:00,9.061,R
2021-12-13 16:00:00,7.738,R
2021-12-13 17:00:00,6.891,H
2021-12-13 18:00:00,5.329,H
2021-12-13 19:00:00,4.311,H
2021-12-13 20:00:00,3.665,H
2021-12-13 21:00:00,3.349,H
2021-12-13 22:00:00,2.996,H
2021-12-13 23:00:00,2.446,H
2021-12-14 00:00:00,2.015,H
2021-12-14 01:00:00,1.818,H
2021-12-14 02:00:00,1.782,H
2021-12-14 03:00:00,2.374,H
2021-12-14 04:00:00,2.231,H
2021-12-14 05:00:00,2.231,H
2021-12-14 06:00:00,2.57,H
2021-12-14 07:00:00,2.908,H
2021-12-14 08:00:00,3.243,H
2021-12-14 09:00:00,4.223,H
2021-12-14 10:00:00,3.879,R
2021-12-14 11:00:00,8.032,H
2021-12-14 12:00:00,7.765,H
2021-12-14 13:00:00,8.082,H
2021-12-14 14:00:00,7.33,H
2021-12-14 15:00:00,5.174,R
2021-12-14 16:00:00,6.216,H
2021-12-14 17:00:00,5.278,H
2021-12-14 18:00:00,4.727,H
2021-12-14 19:00:00,4.432,H
2021-12-14 20:00:00,4.242,H
2021-12-14 21:00:00,4.346,H
2021-12-14 22:00:00,4.328,H
2021-12-14 23:00:00,4.38,H
2021-12-15 00:00:00,4.432,H
2021-12-15 01:00:00,4.502,H
2021-12-15 02:00:00,4.64,H
2021-12-15 03:00:00,4.415,H
2021-12-15 04:00:00,4.363,H
2021-12-15 05:00:00,4.346,H
2021-12-15 06:00:00,4.502,H
2021-12-15 07:00:00,3.987,R
2021-12-15 08:00:00,4.571,H
2021-12-15 09:00:00,4.796,H
2021-12-15 10:00:00,5.209,H
2021-12-15 11:00:00,5.962,H
2021-12-15 12:00:00,6.285,H
2021-12-15 13:00:00,6.132,H
2021-12-15 14:00:00,6.098,H
2021-12-15 15:00:00,5.757,H
2021-12-15 16:00:00,5.535,H
2021-12-15 17:00:00,5.535,H
2021-12-15 18:00:00,5.381,H
2021-12-15 19:00:00,5.535,H
2021-12-15 20:00:00,5.552,H
2021-12-15 21:00:00,5.313,H
2021-12-15 22:00:00,5.278,H
2021-12-15 23:00:00,5.398,H
2021-12-16 00:00:00,5.072,H
2021-12-16 01:00:00,4.934,H
2021-12-16 02:00:00,4.779,H
2021-12-16 03:00:00,4.571,H
2021-12-16 04:00:00,4.346,H
2021-12-16 05:00:00,4.294,H
2021-12-16 06:00:00,3.945,H
2021-12-16 07:00:00,3.26,H
2021-12-16 08:00:00,4.067,H
2021-12-16 09:00:00,5.431,H
2021-12-16 10:00:00,6.69,H
2021-12-16 11:00:00,7.948,H
2021-12-16 12:00:00,7.849,H
2021-12-16 13:00:00,7.548,H
2021-12-16 14:00:00,7.464,H
2021-12-16 15:00:00,7.062,H
2021-12-16 16:00:00,6.539,H
2021-12-16 17:00:00,5.962,H
2021-12-16 18:00:00,5.74,H
2021-12-16 19:00:00,5.054,H
2021-12-16 20:00:00,3.98,H
2021-12-16 21:00:00,2.854,H
2021-12-16 22:00:00,2.213,H
2021-12-16 23:00:00,1.674,H
2021-12-17 00:00:00,1.276,H
2021-12-17 01:00:00,1.076,H
2021-12-17 02:00:00,1.62,H
2021-12-17 03:00:00,1.692,H
2021-12-17 04:00:00,1.348,H
2021-12-17 05:00:00,1.021,H
2021-12-17 06:00:00,0.4897,H
2021-12-17 07:00:00,0.1765,H
2021-12-17 08:00:00,0.3057,H
2021-12-17 09:00:00,1.2,H
2021-12-17 10:00:00,3.943,H
2021-12-17 11:00:00,4.605,H
2021-12-17 12:00:00,5.483,H
2021-12-17 13:00:00,4.92,R
2021-12-17 14:00:00,5.645,R
2021-12-17 15:00:00,5.845,R
2021-12-17 16:00:00,4.187,R
2021-12-17 17:00:00,4.064,H
2021-12-17 18:00:00,3.349,H
