dttm,temp,origin
2021-12-13 00:00:00,7.7057192,R
2021-12-13 01:00:00,8.531,H
2021-12-13 02:00:00,8.5143,H
2021-12-13 03:00:00,8.2485,H
2021-12-13 04:00:00,7.6315,H
2021-12-13 05:00:00,7.2298,H
2021-12-13 06:00:00,6.9443,H
2021-12-13 07:00:00,6.6065,H
2021-12-13 08:00:00,6.4373,H
2021-12-13 09:00:00,7.1603,H
2021-12-13 10:00:00,8.811,H
2021-12-13 11:00:00,10.7637,H
2021-12-13 12:00:00,12.2872,H
2021-12-13 13:00:00,11.2032,H
2021-12-13 14:00:00,10.5367,H
2021-12-13 15:00:00,10.7808,H
2021-12-13 16:00:00,10.6503,H
2021-12-13 17:00:00,9.8825,H
2021-12-13 18:00:00,9.1922,H
2021-12-13 19:00:00,8.4315,H
2021-12-13 20:00:00,7.932,H
2021-12-13 21:00:00,7.6485,H
2021-12-13 22:00:00,7.2295,H
2021-12-13 23:00:00,7.0113,H
2021-12-14 00:00:00,6.8598,H
2021-12-14 01:00:00,6.2338,H
2021-12-14 02:00:00,5.6888,H
2021-12-14 03:00:00,5.5353,H
2021-12-14 04:00:00,4.9683,H
2021-12-14 05:00:00,4.7613,H
2021-12-14 06:00:00,4.8133,H
2021-12-14 07:00:00,4.9342,H
2021-12-14 08:00:00,5.0202,H
2021-12-14 09:00:00,5.4497,H
2021-12-14 10:00:00,6.267,H
2021-12-14 11:00:00,7.8313,H
2021-12-14 12:00:00,7.6317,H
2021-12-14 13:00:00,7.5315,H
2021-12-14 14:00:00,7.548,H
2021-12-14 15:00:00,7.4982,H
2021-12-14 16:00:00,7.196,H
2021-12-14 17:00:00,6.826,H
2021-12-14 18:00:00,6.6572,H
2021-12-14 19:00:00,6.081,H
2021-12-14 20:00:00,6.166,H
2021-12-14 21:00:00,5.9185668,R
2021-12-14 22:00:00,6.2,H
2021-12-14 23:00:00,6.4037,H
2021-12-15 00:00:00,6.4543,H
2021-12-15 01:00:00,6.6067,H
2021-12-15 02:00:00,6.302,H
2021-12-15 03:00:00,6.081,H
2021-12-15 04:00:00,6.064,H
2021-12-15 05:00:00,5.962,H
2021-12-15 06:00:00,6.251,H
2021-12-15 07:00:00,6.674,H
2021-12-15 08:00:00,6.6067,H
2021-12-15 09:00:00,6.5898,H
2021-12-15 10:00:00,6.6742,H
2021-12-15 11:00:00,7.0285,H
2021-12-15 12:00:00,7.0115,H
2021-12-15 13:00:00,7.0117,H
2021-12-15 14:00:00,7.1958,H
2021-12-15 15:00:00,6.8767,H
2021-12-15 16:00:00,6.9945,H
2021-12-15 17:00:00,7.6152,H
2021-12-15 18:00:00,7.7488,H
2021-12-15 19:00:00,7.7153,H
2021-12-15 20:00:00,7.9487,H
2021-12-15 21:00:00,7.1288,H
2021-12-15 22:00:00,7.4477,H
2021-12-15 23:00:00,7.4477,H
2021-12-16 00:00:00,6.9433,H
2021-12-16 01:00:00,6.961,H
2021-12-16 02:00:00,6.9098,H
2021-12-16 03:00:00,6.7918,H
2021-12-16 04:00:00,6.978,H
2021-12-16 05:00:00,6.8428,H
2021-12-16 06:00:00,5.533,H
2021-12-16 07:00:00,5.7057,H
2021-12-16 08:00:00,6.3358,H
2021-12-16 09:00:00,6.6403,H
2021-12-16 10:00:00,7.2298,H
2021-12-16 11:00:00,7.6485,H
2021-12-16 12:00:00,7.8488,H
2021-12-16 13:00:00,8.0325,H
2021-12-16 14:00:00,8.182,H
2021-12-16 15:00:00,7.9658,H
2021-12-16 16:00:00,7.732,H
2021-12-16 17:00:00,7.632,H
2021-12-16 18:00:00,7.632,H
2021-12-16 19:00:00,7.4812,H
2021-12-16 20:00:00,7.0617,H
2021-12-16 21:00:00,6.6402,H
2021-12-16 22:00:00,6.2848,H
2021-12-16 23:00:00,5.9277,H
2021-12-17 00:00:00,5.518,H
2021-12-17 01:00:00,5.1752,H
2021-12-17 02:00:00,5.2612,H
2021-12-17 03:00:00,4.9858,H
2021-12-17 04:00:00,4.6403,H
2021-12-17 05:00:00,4.3628,H
2021-12-17 06:00:00,4.2413,H
2021-12-17 07:00:00,3.6303,H
2021-12-17 08:00:00,3.7705,H
2021-12-17 09:00:00,4.3792,H
2021-12-17 10:00:00,5.4498,H
2021-12-17 11:00:00,7.2098,H
2021-12-17 12:00:00,8.5307,H
2021-12-17 13:00:00,7.8485,H
2021-12-17 14:00:00,7.2465,H
2021-12-17 15:00:00,7.1118,H
2021-12-17 16:00:00,6.4543,H
2021-12-17 17:00:00,5.8423,H
2021-12-17 18:00:00,5.3127,H
2021-12-17 19:00:00,4.9168,H
2021-12-17 20:00:00,4.3275,H
2021-12-17 21:00:00,3.9102,H
2021-12-17 22:00:00,3.6475,H
2021-12-17 23:00:00,3.3190724,R
2021-12-18 00:00:00,3.4373,H
2021-12-18 01:00:00,3.3843,H
2021-12-18 02:00:00,3.4723,H
2021-12-18 03:00:00,3.4547,H
2021-12-18 04:00:00,3.49,H
2021-12-18 05:00:00,3.2787,H
2021-12-18 06:00:00,2.9607,H
2021-12-18 07:00:00,3.156604,R
2021-12-18 08:00:00,2.8547,H
