,dttm,th,origin
118,2021-12-17 21:00:00,-0.474333333333333,H
119,2021-12-17 22:00:00,-0.530666666666667,H
120,2021-12-17 23:00:00,-0.288166666666667,H
121,2021-12-18 00:00:00,-0.6445,H
122,2021-12-18 01:00:00,-0.831833333333333,H
123,2021-12-18 02:00:00,-0.269333333333333,H
124,2021-12-18 03:00:00,-0.4745,H
125,2021-12-18 04:00:00,0.0648333333333333,H
126,2021-12-18 05:00:00,0.287166666666667,H
127,2021-12-18 06:00:00,0.232,H
128,2021-12-18 07:00:00,0.453,H
129,2021-12-18 08:00:00,0.600166666666667,H
130,2021-12-18 09:00:00,0.7835,H
131,2021-12-18 10:00:00,1.112,H
132,2021-12-18 11:00:00,1.76233333333333,H
133,2021-12-18 12:00:00,2.51683333333333,H
134,2021-12-18 13:00:00,2.21333333333333,H
135,2021-12-18 14:00:00,2.231,H
136,2021-12-18 15:00:00,2.37433333333333,H
137,2021-12-18 16:00:00,2.5525,H
138,2021-12-18 17:00:00,2.4635,H
139,2021-12-18 18:00:00,2.7125,H
140,2021-12-18 19:00:00,2.7835,H
141,2021-12-18 20:00:00,2.677,H
142,2021-12-18 21:00:00,2.49916666666667,H
143,2021-12-18 22:00:00,2.40966666666667,H
144,2021-12-18 23:00:00,2.06983333333333,H
145,2021-12-19 00:00:00,2.016,H
146,2021-12-19 01:00:00,2.21316666666667,H
147,2021-12-19 02:00:00,1.510744,R
148,2021-12-19 03:00:00,1.8,H
149,2021-12-19 04:00:00,1.54783333333333,H
150,2021-12-19 05:00:00,1.33,H
151,2021-12-19 06:00:00,1.14833333333333,H
152,2021-12-19 07:00:00,0.856666666666667,H
153,2021-12-19 08:00:00,0.801333333333333,H
154,2021-12-19 09:00:00,1.00283333333333,H
155,2021-12-19 10:00:00,1.29366666666667,H
156,2021-12-19 11:00:00,1.88966666666667,H
157,2021-12-19 12:00:00,2.15933333333333,H
158,2021-12-19 13:00:00,2.28466666666667,H
159,2021-12-19 14:00:00,2.37416666666667,H
160,2021-12-19 15:00:00,1.998,H
161,2021-12-19 16:00:00,1.6375,H
162,2021-12-19 17:00:00,1.13016666666667,H
163,2021-12-19 18:00:00,0.820333333333333,H
164,2021-12-19 19:00:00,0.820333333333333,H
165,2021-12-19 20:00:00,0.728333333333333,H
166,2021-12-19 21:00:00,0.5265,H
167,2021-12-19 22:00:00,0.471333333333333,H
168,2021-12-19 23:00:00,0.195,H
169,2021-12-20 00:00:00,0.379666666666667,H
