Logger_id,Location_id,time,PM10,PM25
5001-C1A5,0,2019-01-18 10:59:48+00,12.2,7.8
5001-C1A5,0,2019-01-18 10:59:50+00,10.4,7.9
5001-C1A5,0,2019-01-18 10:59:52+00,11.2,8.1
5001-C1A5,0,2019-01-18 10:59:54+00,11,8.1
5001-C1A5,0,2019-01-18 10:59:56+00,12.2,8.3
5001-C1A5,0,2019-01-18 10:59:58+00,12.3,8.2
5001-C1A5,0,2019-01-18 11:00:00+00,12.5,8.3
5001-C1A5,0,2019-01-18 11:00:02+00,12.8,8.5
5001-C1A5,0,2019-01-18 11:00:04+00,12.9,8.8
5001-C1A5,0,2019-01-18 11:00:09+00,12.6,8.9
5001-C1A5,0,2019-01-18 11:00:13+00,12.2,8.8
5001-C1A5,0,2019-01-18 11:00:15+00,11.8,8.6
5001-C1A5,0,2019-01-18 11:00:17+00,11.8,8.6
5001-C1A5,0,2019-01-18 11:00:19+00,11.9,8.5
5001-C1A5,0,2019-01-18 11:00:23+00,11.2,8.2
5001-C1A5,0,2019-01-18 11:00:25+00,10.1,8
5001-C1A5,0,2019-01-18 11:00:27+00,9.5,7.9
5001-C1A5,0,2019-01-18 11:00:29+00,9.7,8
5001-C1A5,0,2019-01-18 11:00:33+00,9.4,7.8
5001-C1A5,0,2019-01-18 11:00:35+00,10.4,7.8
5001-C1A5,0,2019-01-18 11:00:37+00,10.4,7.7
5001-C1A5,0,2019-01-18 11:00:39+00,10.1,7.7
5001-C1A5,0,2019-01-18 11:00:43+00,10.3,7.6
5001-C1A5,0,2019-01-18 11:00:45+00,10,7.8
5001-C1A5,0,2019-01-18 11:00:47+00,11.1,8
5001-C1A5,0,2019-01-18 11:00:49+00,10.9,8.1
5001-C1A5,0,2019-01-18 11:00:53+00,11.5,8.3
5001-C1A5,0,2019-01-18 11:00:55+00,12.3,8.5
5001-C1A5,0,2019-01-18 11:00:57+00,12.1,8.5
5001-C1A5,0,2019-01-18 11:00:59+00,11.9,8.4
5001-C1A5,0,2019-01-18 11:01:03+00,11.7,8.5
5001-C1A5,0,2019-01-18 11:01:05+00,10.8,8.4
5001-C1A5,0,2019-01-18 11:01:07+00,11,8.2
5001-C1A5,0,2019-01-18 11:01:09+00,11.1,8.3
5001-C1A5,0,2019-01-18 11:01:11+00,11,8.2
5001-C1A5,0,2019-01-18 11:01:13+00,10.9,8.2
5001-C1A5,0,2019-01-18 11:01:15+00,11.1,8.1
5001-C1A5,0,2019-01-18 11:01:17+00,10.4,7.8
5001-C1A5,0,2019-01-18 11:01:19+00,10.6,7.7
5001-C1A5,0,2019-01-18 11:01:21+00,10.3,7.8
5001-C1A5,0,2019-01-18 11:01:23+00,10.1,7.7
5001-C1A5,0,2019-01-18 11:01:25+00,9.3,7.6
5001-C1A5,0,2019-01-18 11:01:27+00,9.6,7.7
5001-C1A5,0,2019-01-18 11:01:30+00,9.9,7.9
5001-C1A5,0,2019-01-18 11:01:34+00,10.1,7.8
5001-C1A5,0,2019-01-18 11:01:36+00,10,8
5001-C1A5,0,2019-01-18 11:01:38+00,11,8.2
5001-C1A5,0,2019-01-18 11:01:40+00,11.4,8.2
5001-C1A5,0,2019-01-18 11:01:44+00,12,8.2
5001-C1A5,0,2019-01-18 11:01:46+00,12.7,8.4
5001-C1A5,0,2019-01-18 11:01:48+00,12.4,8.3
5001-C1A5,0,2019-01-18 11:01:50+00,12,8.1
5001-C1A5,0,2019-01-18 11:01:54+00,11.9,8.1
5001-C1A5,0,2019-01-18 11:01:56+00,12,8.2
5001-C1A5,0,2019-01-18 11:01:58+00,11.7,8.2
5001-C1A5,0,2019-01-18 11:02:00+00,11.7,8.2
5001-C1A5,0,2019-01-18 11:02:04+00,11,8.3
5001-C1A5,0,2019-01-18 11:02:06+00,11.1,8.4
5001-C1A5,0,2019-01-18 11:02:08+00,10.2,8.2
5001-C1A5,0,2019-01-18 11:02:10+00,9.8,8.3
5001-C1A5,0,2019-01-18 11:02:14+00,9.4,8.4
5001-C1A5,0,2019-01-18 11:02:16+00,8.9,8.1
5001-C1A5,0,2019-01-18 11:02:18+00,9.1,8.2
5001-C1A5,0,2019-01-18 11:02:20+00,9.3,8.4
5001-C1A5,0,2019-01-18 11:02:24+00,9.6,8.6
5001-C1A5,0,2019-01-18 11:02:26+00,9.5,8.5
