"t_avg","t_avg_day","t_avg_night","var","N","id","device_id","sensor_id","term_id","location","description"
5.198464286432321,5.839753970444676,4.557174602419966,3.4910002,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,2.126,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,4.177,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,9.479,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,4.6300006,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,4.5639997,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,7.226,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,5.6010003,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,5.5779996,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
5.198464286432321,5.839753970444676,4.557174602419966,8.623,504,2,"10760820",4,11,"0101000020E6100000B664FACA28431F4016BD5301F7FE4740","balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
