name,hobo_id,github_name,data_available,region,latitude,longitude,exposition,altitude,influence,description
anonym1,10347324,anonym1,yes,Freiburg,47.9990,7.8484,E,1.5,moderate,"inside a very dense hedge, 5m away from building"
anonym2,10350049,anonym2,yes,Freiburg,48.0123,7.8552,E,1,low,"in plant pot, no influence, placed in hedge next to railway"
anonym3,10347379,anonym3,yes,Freiburg,47.9887,7.8499,N,7.5,low,"on a bar outside the window, light influence from the flat and street lights, heat influence from the building"
anonym4,10347333,anonym4,yes,Freiburg,47.999000000000002,7.8479999999999999,N,2,no,"under the roof of the bicycle shelter. no direct sunlight, but a light inside the shelter"
anonym5,10347352,anonym5,yes,Freiburg,47.9918,7.8478,S,13,high,"on the balcony in a white yogurt cup, light influence from the flat and the city, heat influence from the building"
anonym6,10347367,anonym6,no,Freiburg,47.9918,7.8477,S,16,high,"measuremnt stopped after two days, roof terrace in a white yogurt cup, light influence from the flat and the city, heat influence from the building"
anonym7,10347394,anonym7,yes,Freiburg,48.0069,7.8208,N,10,moderate ,"on the balcony in the open, protected with a plastic container (transparent)"
anonym8,10350060,anonym8,yes,Freiburg,48.0004,7.8399,S,4,moderate,"balcony, near the wall"
anonym9,10350089,anonym9,yes,Freiburg,47.9995,7.8480,W,3,moderate,"in a tree, three meters away from the building next to a streetlight"
anonym10,10347328,anonym10,yes,Freiburg,47.9993,7.7891,S,11,moderate,"on the balcony in the shade, hanging on a wooden structure protecting it from direct sunlight, heat and light influence from the flat"
anonym11,10350028,anonym11,yes,Freiburg,48.0075,7.8201,S,0.10000000000000001,moderate ,"hanging inside a yoghurt cup placed on the terrace of the ground floor, 20 cm from wall, mostly shady"
anonym12,10349996,anonym12,yes,Freiburg,47.9800,7.9018,E,1.5,moderate,garden: HOBO is hanging underneath old tree branch
anonym13,10350007,anonym13,yes,Freiburg,48.0233,7.8681,S,2,moderate,"unter roof above back entrance, shadow from trees and buildings in south, 1.5 m from building"
anonym14,10760810,anonym14,yes,Freiburg,47.9856,7.8357,S,9.5,moderate,"on the balcony, insinde a yoghurt cup, faced towards big inner yard, mostly sunny"
anonym15,10350107,anonym15,yes,Freiburg,48.0074,7.8181,W,20,low,"on the balcony, tied to a pole, with minimal sunlight exposure"
anonym16,10088313,anonym16,yes,Freiburg,47.9994,7.8422,S,1.5,low,in the garden house
anonym17,10801141,anonym17,yes,Freiburg,47.9955,7.8433,W,9,moderate,"on the balcony, around 2m away from the house/window, also a vent pipe is around 1.5m away"
anonym18,10760769,anonym18,no,Freiburg,47.9897,7.8539,W,4,low,hangs on a clothesline on a terrace
anonym19,10349997,anonym19,yes,Freiburg,48.0156,7.8550,S,7,high,"on the balcony railing, 3rd floor, protected from rain, covered with a white yoghurt cup, heat influence from the building and the sun, light influence from the sun and street lamps"
anonym20,10347321,anonym20,yes,Freiburg,47.9815,7.9029,N,2.2999999999999998,moderate,hanging from a gatter 30cm away from a window
anonym21,10350005,anonym21,yes,Freiburg,48.0127,7.8277,N,5,moderate,"on the balcony railing, inside a yoghurt cup, 1.5 m away from a window"
anonym22,10350095,anonym22,yes,Freiburg,48.0075,7.8195,E,15,moderate,hanging from the windowsill ledge on the 5th floor
anonym23,10760819,anonym23,yes,Freiburg,48.0152,7.8314,S,8,very high,"hanging inside a yoghurt cup approx. 30cm below window on a rope , yoghurt cup touches the wall."
anonym24,10350037,anonym24,yes,Freiburg,48.0084,7.8157,S,25,low,"balcony between railing struts, about 1m away from wall"
anonym25,10350056,anonym25,yes,Freiburg,47.9753,7.8277,S,5,moderate,outside hanging off window sill in a yoghurt pot shaded by bushes and vegetation in front
anonym26,10350068,anonym26,yes,Freiburg,47.9971,7.8211,W,1.6000000000000001,moderate,hanging on a branch of a shrub on the western side of the house
anonym27,10347378,anonym27,yes,Freiburg,48.0150,7.8306,N,3.2000000000000002,moderate,In the bike shed at the dormitory Technical Faculty. 
anonym28,10347355,anonym28,yes,Freiburg,48.017299999999999,7.8593999999999999,E,1.5,low,"plant pot, light from passing trains"
anonym29,10347314,anonym29,yes,Freiburg,48.0021,7.8454,N,1,moderate ,"under the metalic stairs of an emergency exit between two buildings, no shield but the stairs & buildings"
