"ID","date","hour","th","origin"
"158",2018-12-16,13,6.775,"H"
"159",2018-12-16,14,8.523,"R"
"160",2018-12-16,15,6.42,"H"
"161",2018-12-16,16,5.035,"H"
"162",2018-12-16,17,3.56,"H"
"163",2018-12-16,18,2.854,"H"
"164",2018-12-16,19,2.32,"H"
"165",2018-12-16,20,2.338,"H"
"166",2018-12-16,21,2.195,"H"
"167",2018-12-16,22,1.872,"H"
"168",2018-12-16,23,1.239,"H"
"169",2018-12-17,0,0.508,"H"
"170",2018-12-17,1,0.582,"H"
"171",2018-12-17,2,1.257,"H"
"172",2018-12-17,3,2.326,"R"
"173",2018-12-17,4,2.335,"R"
"174",2018-12-17,5,1.039,"H"
"175",2018-12-17,6,1.348,"H"
"176",2018-12-17,7,1.692,"H"
"177",2018-12-17,8,1.8,"H"
"178",2018-12-17,9,3.26,"H"
"179",2018-12-17,10,4.553,"H"
"180",2018-12-17,11,5.773,"H"
"181",2018-12-17,12,6.776,"R"
"182",2018-12-17,13,8.182,"H"
"183",2018-12-17,14,7.849,"H"
"184",2018-12-17,15,7.464,"H"
"185",2018-12-17,16,6.758,"H"
"186",2018-12-17,17,6.573,"H"
"187",2018-12-17,18,7.103,"R"
"188",2018-12-17,19,7.149,"R"
"189",2018-12-17,20,6.59,"H"
"190",2018-12-17,21,6.674,"H"
"191",2018-12-17,22,6.404,"H"
"192",2018-12-17,23,6.115,"H"
"193",2018-12-18,0,5.036,"H"
"194",2018-12-18,1,3.77,"H"
"195",2018-12-18,2,2.836,"H"
"196",2018-12-18,3,2.374,"H"
"197",2018-12-18,4,1.764,"H"
"198",2018-12-18,5,1.276,"H"
"199",2018-12-18,6,0.912,"H"
"200",2018-12-18,7,0.637,"H"
"201",2018-12-18,8,1.234,"R"
"202",2018-12-18,9,1.257,"H"
"203",2018-12-18,10,2.141,"H"
"204",2018-12-18,11,2.783,"H"
"205",2018-12-18,12,4.014,"H"
"206",2018-12-18,13,5.072,"H"
"207",2018-12-18,14,6.339,"R"
"208",2018-12-18,15,5.089,"H"
"209",2018-12-18,16,3.734,"H"
"210",2018-12-18,17,2.765,"H"
"211",2018-12-18,18,1.872,"H"
"212",2018-12-18,19,1.33,"H"
"213",2018-12-18,20,0.692,"H"
"214",2018-12-18,21,0.176,"H"
"215",2018-12-18,22,0.288,"H"
"216",2018-12-18,23,0.287,"H"
"217",2018-12-19,0,1.093,"H"
"218",2018-12-19,1,1.566,"H"
"219",2018-12-19,2,1.656,"H"
"220",2018-12-19,3,2.051,"H"
"221",2018-12-19,4,2.942,"H"
"222",2018-12-19,5,4.014,"H"
"223",2018-12-19,6,4.171,"H"
"224",2018-12-19,7,6.096,"H"
"225",2018-12-19,8,8.065,"H"
"226",2018-12-19,9,8.845,"H"
"227",2018-12-19,10,8.73,"H"
"228",2018-12-19,11,8.431,"H"
"229",2018-12-19,12,8.663,"H"
"230",2018-12-19,13,8.945,"H"
"231",2018-12-19,14,9.192,"H"
"232",2018-12-19,15,8.746,"H"
"233",2018-12-19,16,8.015,"H"
"234",2018-12-19,17,7.28,"H"
"235",2018-12-19,18,6.91,"H"
"236",2018-12-19,19,6.556,"H"
"237",2018-12-19,20,6.556,"H"
