date	hour	th	origin	dthm
2019-01-04	6	0.306	H	2019-01-04T06:00:00Z
2019-01-04	7	-0.083	H	2019-01-04T07:00:00Z
2019-01-04	8	-0.195	H	2019-01-04T08:00:00Z
2019-01-04	9	0.563	H	2019-01-04T09:00:00Z
2019-01-04	10	1.618	H	2019-01-04T10:00:00Z
2019-01-04	11	3.401	H	2019-01-04T11:00:00Z
2019-01-04	12	3.788	H	2019-01-04T12:00:00Z
2019-01-04	13	4.414	H	2019-01-04T13:00:00Z
2019-01-04	14	5.209	H	2019-01-04T14:00:00Z
2019-01-04	15	3.944	H	2019-01-04T15:00:00Z
2019-01-04	16	2.996	H	2019-01-04T16:00:00Z
2019-01-04	17	2.641	H	2019-01-04T17:00:00Z
2019-01-04	18	2.285	H	2019-01-04T18:00:00Z
2019-01-04	19	2.356	H	2019-01-04T19:00:00Z
2019-01-04	20	2.428	H	2019-01-04T20:00:00Z
2019-01-04	21	2.339	H	2019-01-04T21:00:00Z
2019-01-04	22	2.642	H	2019-01-04T22:00:00Z
2019-01-04	23	2.855	H	2019-01-04T23:00:00Z
2019-01-05	0	2.677	H	2019-01-05T00:00:00Z
2019-01-05	1	2.446	H	2019-01-05T01:00:00Z
2019-01-05	2	2.588	H	2019-01-05T02:00:00Z
2019-01-05	3	2.588	H	2019-01-05T03:00:00Z
2019-01-05	4	2.677	H	2019-01-05T04:00:00Z
2019-01-05	5	2.553	H	2019-01-05T05:00:00Z
2019-01-05	6	2.553	H	2019-01-05T06:00:00Z
2019-01-05	7	2.285	H	2019-01-05T07:00:00Z
2019-01-05	8	1.98	H	2019-01-05T08:00:00Z
2019-01-05	9	1.98	H	2019-01-05T09:00:00Z
2019-01-05	10	2.445	H	2019-01-05T10:00:00Z
2019-01-05	11	2.695	H	2019-01-05T11:00:00Z
2019-01-05	12	2.73	H	2019-01-05T12:00:00Z
2019-01-05	13	2.925	H	2019-01-05T13:00:00Z
2019-01-05	14	2.784	H	2019-01-05T14:00:00Z
2019-01-05	15	3.12	H	2019-01-05T15:00:00Z
2019-01-05	16	3.384	H	2019-01-05T16:00:00Z
2019-01-05	17	3.137	H	2019-01-05T17:00:00Z
2019-01-05	18	2.996	H	2019-01-05T18:00:00Z
2019-01-05	19	3.261	H	2019-01-05T19:00:00Z
2019-01-05	20	4.025	R	2019-01-05T20:00:00Z
2019-01-05	21	4.052	R	2019-01-05T21:00:00Z
2019-01-05	22	4.203	R	2019-01-05T22:00:00Z
2019-01-05	23	3.91	H	2019-01-05T23:00:00Z
2019-01-06	0	3.98	H	2019-01-06T00:00:00Z
2019-01-06	1	4.085	H	2019-01-06T01:00:00Z
2019-01-06	2	4.568	R	2019-01-06T02:00:00Z
2019-01-06	3	3.963	H	2019-01-06T03:00:00Z
2019-01-06	4	3.858	H	2019-01-06T04:00:00Z
2019-01-06	5	3.893	H	2019-01-06T05:00:00Z
2019-01-06	6	3.981	H	2019-01-06T06:00:00Z
2019-01-06	7	3.928	H	2019-01-06T07:00:00Z
2019-01-06	8	3.788	H	2019-01-06T08:00:00Z
2019-01-06	9	4.05	H	2019-01-06T09:00:00Z
2019-01-06	10	5.054	H	2019-01-06T10:00:00Z
2019-01-06	11	5.791	H	2019-01-06T11:00:00Z
2019-01-06	12	5.638	H	2019-01-06T12:00:00Z
2019-01-06	13	5.449	H	2019-01-06T13:00:00Z
2019-01-06	14	5.192	H	2019-01-06T14:00:00Z
2019-01-06	15	4.986	H	2019-01-06T15:00:00Z
2019-01-06	16	4.571	H	2019-01-06T16:00:00Z
2019-01-06	17	4.346	H	2019-01-06T17:00:00Z
2019-01-06	18	4.588	H	2019-01-06T18:00:00Z
2019-01-06	19	4.606	H	2019-01-06T19:00:00Z
2019-01-06	20	4.571	H	2019-01-06T20:00:00Z
2019-01-06	21	4.239	R	2019-01-06T21:00:00Z
2019-01-06	22	4.588	H	2019-01-06T22:00:00Z
2019-01-06	23	4.606	H	2019-01-06T23:00:00Z
