#HOBO_ID 10801132
#Location_Lat_Lon 48.012 7.853
#Alt_above_ground 4.5
#Exposition S
#Influence_class 2
id	date	time	ta	lux
284	2018-12-10	23:10	5.244	0
285	2018-12-10	23:20	5.244	0
286	2018-12-10	23:30	5.244	10.8
287	2018-12-10	23:40	5.347	0
288	2018-12-10	23:50	5.45	0
289	2018-12-11	00:00	5.45	0
290	2018-12-11	00:10	5.552	0
291	2018-12-11	00:20	5.552	0
292	2018-12-11	00:30	5.655	0
293	2018-12-11	00:40	5.655	0
294	2018-12-11	00:50	5.552	0
295	2018-12-11	01:00	5.552	0
296	2018-12-11	01:10	5.655	0
297	2018-12-11	01:20	5.552	0
298	2018-12-11	01:30	5.45	0
299	2018-12-11	01:40	5.141	0
300	2018-12-11	01:50	5.244	0
301	2018-12-11	02:00	5.244	0
302	2018-12-11	02:10	5.347	0
303	2018-12-11	02:20	5.244	0
304	2018-12-11	02:30	5.244	0
305	2018-12-11	02:40	4.934	0
306	2018-12-11	02:50	4.831	0
307	2018-12-11	03:00	4.727	0
308	2018-12-11	03:10	4.727	0
309	2018-12-11	03:20	4.831	0
310	2018-12-11	03:30	4.831	0
311	2018-12-11	03:40	4.831	0
312	2018-12-11	03:50	4.831	0
313	2018-12-11	04:00	4.727	0
314	2018-12-11	04:10	4.727	0
315	2018-12-11	04:20	4.727	0
316	2018-12-11	04:30	4.519	0
317	2018-12-11	04:40	4.311	0
318	2018-12-11	04:50	4.623	0
319	2018-12-11	05:00	4.727	0
320	2018-12-11	05:10	4.519	0
321	2018-12-11	05:20	4.415	0
322	2018-12-11	05:30	4.519	0
323	2018-12-11	05:40	4.623	0
324	2018-12-11	05:50	4.623	0
325	2018-12-11	06:00	4.415	0
326	2018-12-11	06:10	4.207	0
327	2018-12-11	06:20	3.893	0
328	2018-12-11	06:30	3.683	0
329	2018-12-11	06:40	3.472	0
330	2018-12-11	06:50	3.261	0
331	2018-12-11	07:00	3.155	0
332	2018-12-11	07:10	2.943	0
333	2018-12-11	07:20	2.837	0
334	2018-12-11	07:30	2.73	0
335	2018-12-11	07:40	2.73	0
336	2018-12-11	07:50	2.624	0
337	2018-12-11	08:00	2.73	32.3
338	2018-12-11	08:10	2.73	86.1
339	2018-12-11	08:20	2.624	161.5
340	2018-12-11	08:30	2.624	215.3
341	2018-12-11	08:40	2.73	279.9
342	2018-12-11	08:50	2.837	344.4
343	2018-12-11	09:00	2.837	581.3
344	2018-12-11	09:10	3.049	699.7
345	2018-12-11	09:20	3.155	839.6
346	2018-12-11	09:30	3.367	979.5
347	2018-12-11	09:40	3.683	1119.5
348	2018-12-11	09:50	3.683	1280.9
349	2018-12-11	10:00	3.893	2669.5
350	2018-12-11	10:10	4.623	2583.4
351	2018-12-11	10:20	4.311	1636.1
352	2018-12-11	10:30	4.415	1722.2
353	2018-12-11	10:40	4.623	1894.5
354	2018-12-11	10:50	4.934	2066.7
355	2018-12-11	11:00	5.037	2152.8
356	2018-12-11	11:10	5.244	2325
357	2018-12-11	11:20	5.45	2497.2
358	2018-12-11	11:30	5.655	2927.8
359	2018-12-11	11:40	6.064	3788.9
360	2018-12-11	11:50	6.166	3272.2
361	2018-12-11	12:00	6.37	3961.1
362	2018-12-11	12:10	6.573	3788.9
363	2018-12-11	12:20	6.775	3788.9
364	2018-12-11	12:30	6.674	3100
365	2018-12-11	12:40	6.471	3272.2
366	2018-12-11	12:50	6.471	1463.9
367	2018-12-11	13:00	6.37	3616.7
368	2018-12-11	13:10	6.674	4133.4
369	2018-12-11	13:20	6.775	2755.6
370	2018-12-11	13:30	7.079	3961.1
371	2018-12-11	13:40	7.782	5511.1
372	2018-12-11	13:50	7.983	5511.1
373	2018-12-11	14:00	8.68	7577.8
374	2018-12-11	14:10	8.481	5338.9
375	2018-12-11	14:20	7.983	2238.9
376	2018-12-11	14:30	7.179	1722.2
377	2018-12-11	14:40	6.877	2152.8
378	2018-12-11	14:50	6.877	2066.7
379	2018-12-11	15:00	6.573	1980.6
380	2018-12-11	15:10	6.674	4822.3
381	2018-12-11	15:20	12.11	33066.9
382	2018-12-11	15:30	11.236	11711.2
383	2018-12-11	15:40	10.748	10677.8
384	2018-12-11	15:50	8.68	7577.8
385	2018-12-11	16:00	7.381	570.5
386	2018-12-11	16:10	5.962	322.9
387	2018-12-11	16:20	5.552	204.5
388	2018-12-11	16:30	5.347	96.9
389	2018-12-11	16:40	5.244	43.1
390	2018-12-11	16:50	5.141	10.8
391	2018-12-11	17:00	5.037	0
392	2018-12-11	17:10	4.831	0
393	2018-12-11	17:20	4.727	0
394	2018-12-11	17:30	4.727	0
395	2018-12-11	17:40	4.727	0
396	2018-12-11	17:50	4.727	0
397	2018-12-11	18:00	4.831	0
398	2018-12-11	18:10	4.831	0
399	2018-12-11	18:20	5.244	0
400	2018-12-11	18:30	5.244	0
401	2018-12-11	18:40	5.552	0
402	2018-12-11	18:50	5.244	0
403	2018-12-11	19:00	5.45	0
404	2018-12-11	19:10	5.757	0
405	2018-12-11	19:20	5.757	0
406	2018-12-11	19:30	5.757	0
407	2018-12-11	19:40	5.757	0
408	2018-12-11	19:50	5.244	0
409	2018-12-11	20:00	4.831	0
410	2018-12-11	20:10	4.519	0
411	2018-12-11	20:20	4.831	0
412	2018-12-11	20:30	5.037	0
413	2018-12-11	20:40	5.037	0
414	2018-12-11	20:50	5.141	0
415	2018-12-11	21:00	5.141	0
416	2018-12-11	21:10	4.415	0
417	2018-12-11	21:20	3.788	0
418	2018-12-11	21:30	3.367	0
419	2018-12-11	21:40	3.155	0
420	2018-12-11	21:50	2.943	0
421	2018-12-11	22:00	2.837	0
422	2018-12-11	22:10	2.624	0
423	2018-12-11	22:20	2.517	0
424	2018-12-11	22:30	2.303	0
425	2018-12-11	22:40	2.303	0
426	2018-12-11	22:50	2.303	0
427	2018-12-11	23:00	2.303	0
428	2018-12-11	23:10	2.195	0
429	2018-12-11	23:20	2.088	0
430	2018-12-11	23:30	2.088	0
431	2018-12-11	23:40	1.98	0
432	2018-12-11	23:50	1.656	0
433	2018-12-12	00:00	1.548	0
434	2018-12-12	00:10	1.33	0
435	2018-12-12	00:20	1.221	0
436	2018-12-12	00:30	1.003	0
437	2018-12-12	00:40	0.784	0
438	2018-12-12	00:50	0.674	0
439	2018-12-12	01:00	0.563	0
440	2018-12-12	01:10	0.563	0
441	2018-12-12	01:20	0.563	0
442	2018-12-12	01:30	0.563	0
443	2018-12-12	01:40	0.674	0
444	2018-12-12	01:50	0.563	0
445	2018-12-12	02:00	0.343	0
446	2018-12-12	02:10	0.343	0
447	2018-12-12	02:20	0.563	0
448	2018-12-12	02:30	0.674	0
449	2018-12-12	02:40	0.563	0
450	2018-12-12	02:50	0.453	0
451	2018-12-12	03:00	0.232	0
452	2018-12-12	03:10	0.121	0
453	2018-12-12	03:20	0.121	0
454	2018-12-12	03:30	0.121	0
455	2018-12-12	03:40	0.121	0
456	2018-12-12	03:50	0.01	0
457	2018-12-12	04:00	0.01	0
458	2018-12-12	04:10	-0.102	0
459	2018-12-12	04:20	-0.102	0
460	2018-12-12	04:30	-0.102	0
461	2018-12-12	04:40	-0.213	0
462	2018-12-12	04:50	-0.213	0
463	2018-12-12	05:00	-0.325	0
464	2018-12-12	05:10	-0.437	0
465	2018-12-12	05:20	-0.325	0
466	2018-12-12	05:30	-0.325	0
467	2018-12-12	05:40	-0.213	0
468	2018-12-12	05:50	-0.325	0
469	2018-12-12	06:00	-0.437	0
470	2018-12-12	06:10	-0.437	0
471	2018-12-12	06:20	-0.662	0
472	2018-12-12	06:30	-0.774	0
473	2018-12-12	06:40	-0.887	0
474	2018-12-12	06:50	-0.774	0
475	2018-12-12	07:00	-0.774	0
476	2018-12-12	07:10	-0.887	0
477	2018-12-12	07:20	-0.774	0
478	2018-12-12	07:30	-0.774	0
479	2018-12-12	07:40	-0.774	0
480	2018-12-12	07:50	-0.887	0
481	2018-12-12	08:00	-1.001	43.1
482	2018-12-12	08:10	-1.114	96.9
483	2018-12-12	08:20	-0.887	161.5
484	2018-12-12	08:30	-0.887	215.3
485	2018-12-12	08:40	-0.887	258.3
486	2018-12-12	08:50	-0.887	312.2
487	2018-12-12	09:00	-0.774	570.5
488	2018-12-12	09:10	-0.549	688.9
489	2018-12-12	09:20	-0.549	850.4
490	2018-12-12	09:30	-0.213	1044.1
491	2018-12-12	09:40	0.01	1248.6
492	2018-12-12	09:50	0.343	1550
493	2018-12-12	10:00	0.893	2755.6
494	2018-12-12	10:10	1.98	2927.8
495	2018-12-12	10:20	1.656	1722.2
496	2018-12-12	10:30	1.656	1722.2
497	2018-12-12	10:40	1.872	1808.3
498	2018-12-12	10:50	1.98	1894.5
499	2018-12-12	11:00	2.088	2066.7
500	2018-12-12	11:10	2.41	2066.7
501	2018-12-12	11:20	2.41	2152.8
502	2018-12-12	11:30	2.517	2238.9
503	2018-12-12	11:40	2.73	2411.1
504	2018-12-12	11:50	2.943	2497.2
505	2018-12-12	12:00	3.049	2497.2
506	2018-12-12	12:10	3.261	2583.4
507	2018-12-12	12:20	3.472	2583.4
508	2018-12-12	12:30	3.472	2669.5
509	2018-12-12	12:40	3.578	2755.6
510	2018-12-12	12:50	3.683	3272.2
511	2018-12-12	13:00	3.998	3100
512	2018-12-12	13:10	4.415	2669.5
513	2018-12-12	13:20	4.519	2325
514	2018-12-12	13:30	4.623	3100
515	2018-12-12	13:40	4.831	2927.8
516	2018-12-12	13:50	5.141	4994.5
517	2018-12-12	14:00	5.244	3788.9
518	2018-12-12	14:10	4.934	2411.1
519	2018-12-12	14:20	5.45	4650
520	2018-12-12	14:30	6.268	4994.5
521	2018-12-12	14:40	7.179	7577.8
522	2018-12-12	14:50	12.497	44089.2
523	2018-12-12	15:00	12.497	31689.1
524	2018-12-12	15:10	7.582	3616.7
525	2018-12-12	15:20	8.481	24800.2
526	2018-12-12	15:30	7.481	1205.6
527	2018-12-12	15:40	5.86	1808.3
528	2018-12-12	15:50	5.037	3616.7
529	2018-12-12	16:00	6.064	3961.1
530	2018-12-12	16:10	3.683	818.1
531	2018-12-12	16:20	2.943	538.2
532	2018-12-12	16:30	2.517	236.8
533	2018-12-12	16:40	2.195	86.1
534	2018-12-12	16:50	1.764	32.3
535	2018-12-12	17:00	1.548	0
536	2018-12-12	17:10	1.548	0
537	2018-12-12	17:20	1.439	0
538	2018-12-12	17:30	1.33	0
539	2018-12-12	17:40	1.33	0
540	2018-12-12	17:50	1.112	0
541	2018-12-12	18:00	1.221	0
542	2018-12-12	18:10	1.221	0
543	2018-12-12	18:20	1.112	0
544	2018-12-12	18:30	1.98	0
545	2018-12-12	18:40	1.872	0
546	2018-12-12	18:50	1.33	0
547	2018-12-12	19:00	1.221	0
548	2018-12-12	19:10	1.112	0
549	2018-12-12	19:20	0.893	0
550	2018-12-12	19:30	0.893	0
551	2018-12-12	19:40	0.893	0
552	2018-12-12	19:50	0.784	0
553	2018-12-12	20:00	0.784	0
554	2018-12-12	20:10	0.563	0
555	2018-12-12	20:20	0.453	0
556	2018-12-12	20:30	0.343	0
557	2018-12-12	20:40	0.343	0
558	2018-12-12	20:50	0.121	0
559	2018-12-12	21:00	0.121	0
560	2018-12-12	21:10	0.232	0
561	2018-12-12	21:20	-0.213	0
562	2018-12-12	21:30	-0.325	0
563	2018-12-12	21:40	-0.549	0
564	2018-12-12	21:50	-0.662	0
