date_time,th,origin
2024-10-31 00,8.812,H
2024-10-31 01,8.762,H
2024-10-31 02,8.104,R
2024-10-31 03,8.697,H
2024-10-31 04,8.614,H
2024-10-31 05,8.332,H
2024-10-31 06,8.564,H
2024-10-31 07,8.73,H
2024-10-31 08,8.597,H
2024-10-31 09,8.548,H
2024-10-31 10,8.895,H
2024-10-31 11,9.11,H
2024-10-31 12,8.961,H
2024-10-31 13,9.143,H
2024-10-31 14,9.274,H
2024-10-31 15,9.11,H
2024-10-31 16,8.928,H
2024-10-31 17,8.779,H
2024-10-31 18,8.697,H
2024-10-31 19,8.091,R
2024-10-31 20,8.032,R
2024-10-31 21,8.598,H
2024-10-31 22,7.95,R
2024-10-31 23,8.564,H
2024-11-01 00,8.116,H
2024-11-01 01,7.732,H
2024-11-01 02,7.599,H
2024-11-01 03,7.448,H
2024-11-01 04,7.246,H
2024-11-01 05,7.431,H
2024-11-01 06,7.448,H
2024-11-01 07,7.146,H
2024-11-01 08,7.33,H
2024-11-01 09,7.765,H
2024-11-01 10,8.232,H
2024-11-01 11,8.878,H
2024-11-01 12,10.21,H
2024-11-01 13,10.831,R
2024-11-01 14,14.341,H
2024-11-01 15,11.245,R
2024-11-01 16,12.06,H
2024-11-01 17,10.764,H
2024-11-01 18,10.911,H
2024-11-01 19,10.651,H
2024-11-01 20,8.254,R
2024-11-01 21,8.678,H
2024-11-01 22,7.431,H
2024-11-01 23,7.398,H
2024-11-02 00,7.263,H
2024-11-02 01,6.944,H
2024-11-02 02,6.606,H
2024-11-02 03,6.081,H
2024-11-02 04,5.945,H
2024-11-02 05,6.03,H
2024-11-02 06,6.166,H
2024-11-02 07,5.575,R
2024-11-02 08,6.115,H
2024-11-02 09,6.37,H
2024-11-02 10,6.775,H
2024-11-02 11,7.515,H
2024-11-02 12,7.699,H
2024-11-02 13,7.899,H
2024-11-02 14,7.915,H
2024-11-02 15,7.765,H
2024-11-02 16,7.548,H
2024-11-02 17,7.263,H
2024-11-02 18,7.045,H
2024-11-02 19,6.764,R
2024-11-02 20,7.096,H
2024-11-02 21,7.062,H
2024-11-02 22,6.792,H
2024-11-02 23,6.623,H
2024-11-03 00,6.539,H
2024-11-03 01,6.606,H
2024-11-03 02,6.234,H
2024-11-03 03,5.996,H
2024-11-03 04,6.302,H
2024-11-03 05,5.826,H
2024-11-03 06,5.826,H
2024-11-03 07,5.689,H
2024-11-03 08,6.673,H
2024-11-03 09,8.33,R
2024-11-03 10,10.291,H
2024-11-03 11,10.226,H
2024-11-03 12,10.748,H
2024-11-03 13,10.333,R
2024-11-03 14,13.86,H
2024-11-03 15,13.749,H
2024-11-03 16,10.354,H
2024-11-03 17,7.965,H
2024-11-03 18,7.129,H
2024-11-03 19,7.331,H
2024-11-03 20,6.978,H
2024-11-03 21,7.062,H
2024-11-03 22,6.961,H
2024-11-03 23,6.775,H
2024-11-04 00,6.724,H
2024-11-04 01,6.166,H
2024-11-04 02,5.996,H
2024-11-04 03,5.62,H
2024-11-04 04,5.347,H
2024-11-04 05,4.986,H
2024-11-04 06,4.831,H
2024-11-04 07,4.401,R
2024-11-04 08,4.986,H
2024-11-04 09,5.037,H
2024-11-04 10,6.027,H
2024-11-04 11,7.63,H
2024-11-04 12,6.725,H
2024-11-04 13,6.488,H
2024-11-04 14,6.877,H
2024-11-04 15,6.319,H
2024-11-04 16,5.843,H
2024-11-04 17,5.586,H
2024-11-04 18,5.501,H
2024-11-04 19,5.501,H
2024-11-04 20,5.552,H
2024-11-04 21,4.84,R
2024-11-04 22,5.347,H
2024-11-04 23,5.003,H
2024-11-05 00,4.658,H
2024-11-05 01,4.484,H
2024-11-05 02,4.102,H
2024-11-05 03,3.77,H
2024-11-05 04,3.049,H
2024-11-05 05,2.978,H
2024-11-05 06,4.64,H
2024-11-05 07,4.328,H
2024-11-05 08,5.226,H
2024-11-05 09,8.177,R
2024-11-05 10,10.128,H
2024-11-05 11,10.422,H
2024-11-05 12,11.958,R
2024-11-05 13,14.453,H
2024-11-05 14,15.313,H
2024-11-05 15,15.553,H
2024-11-05 16,12.722,H
2024-11-05 17,11.56,H
2024-11-05 18,11.301,H
2024-11-05 19,11.366,H
2024-11-05 20,11.139,H
