dttm,th,origin
2024-10-31 00,9.027,H
2024-10-31 01,8.897,R
2024-10-31 02,8.839,R
2024-10-31 03,8.716,R
2024-10-31 04,8.481,R
2024-10-31 05,8.713,R
2024-10-31 06,8.865,R
2024-10-31 07,8.586,R
2024-10-31 08,8.518,R
2024-10-31 09,8.697,H
2024-10-31 10,8.968,R
2024-10-31 11,9.044,H
2024-10-31 12,9.390,H
2024-10-31 13,9.057,R
2024-10-31 14,9.031,R
2024-10-31 15,8.926,R
2024-10-31 16,8.895,R
2024-10-31 17,8.850,R
2024-10-31 18,8.841,R
2024-10-31 19,8.835,R
2024-10-31 20,8.775,R
2024-10-31 21,8.742,R
2024-10-31 22,8.679,R
2024-10-31 23,8.230,R
2024-11-01 00,7.854,R
2024-11-01 01,8.415,H
2024-11-01 02,8.016,H
2024-11-01 03,7.408,R
2024-11-01 04,7.577,R
2024-11-01 05,7.582,H
2024-11-01 06,7.715,H
2024-11-01 07,7.414,R
2024-11-01 08,7.724,R
2024-11-01 09,7.895,R
2024-11-01 10,8.099,H
2024-11-01 11,8.531,H
2024-11-01 12,9.208,H
2024-11-01 13,10.537,H
2024-11-01 14,10.788,R
2024-11-01 15,10.463,R
2024-11-01 16,11.641,H
2024-11-01 17,11.041,H
2024-11-01 18,10.014,H
2024-11-01 19,9.866,H
2024-11-01 20,9.538,H
2024-11-01 21,8.398,H
2024-11-01 22,8.015,H
2024-11-01 23,7.665,H
2024-11-02 00,7.765,H
2024-11-02 01,6.829,R
2024-11-02 02,6.324,R
2024-11-02 03,7.112,H
2024-11-02 04,6.590,H
2024-11-02 05,6.421,H
2024-11-02 06,6.437,H
2024-11-02 07,6.573,H
2024-11-02 08,6.503,R
2024-11-02 09,6.590,H
2024-11-02 10,6.860,H
2024-11-02 11,7.364,H
2024-11-02 12,8.149,H
2024-11-02 13,8.332,H
2024-11-02 14,8.481,H
2024-11-02 15,7.784,R
2024-11-02 16,7.593,R
2024-11-02 17,7.899,H
2024-11-02 18,7.531,H
2024-11-02 19,7.463,R
2024-11-02 20,7.404,R
2024-11-02 21,7.177,R
