"dttm","th","origin"
"2024-10-31 00",8.97,"R"
"2024-10-31 01",8.913,"R"
"2024-10-31 02",8.792,"R"
"2024-10-31 03",8.562,"R"
"2024-10-31 04",8.79,"R"
"2024-10-31 05",8.938,"R"
"2024-10-31 06",8.665,"R"
"2024-10-31 07",8.598,"R"
"2024-10-31 08",8.822,"H"
"2024-10-31 09",9.039,"R"
"2024-10-31 10",9.177,"H"
"2024-10-31 11",9.467,"H"
"2024-10-31 12",9.126,"R"
"2024-10-31 13",9.101,"R"
"2024-10-31 14",8.998,"R"
"2024-10-31 15",8.968,"R"
"2024-10-31 16",9.258,"H"
"2024-10-31 17",8.915,"R"
"2024-10-31 18",8.908,"R"
"2024-10-31 19",8.85,"R"
"2024-10-31 20",8.818,"R"
"2024-10-31 21",8.756,"R"
"2024-10-31 22",8.317,"R"
"2024-10-31 23",7.949,"R"
"2024-11-01 00",8.498,"H"
"2024-11-01 01",8.142,"H"
"2024-11-01 02",7.513,"R"
"2024-11-01 03",7.677,"R"
"2024-11-01 04",7.655,"R"
"2024-11-01 05",7.423,"R"
"2024-11-01 06",7.519,"R"
"2024-11-01 07",7.822,"R"
"2024-11-01 08",7.989,"R"
"2024-11-01 09",8.223,"H"
"2024-11-01 10",8.628,"H"
"2024-11-01 11",9.37,"H"
"2024-11-01 12",10.697,"H"
"2024-11-01 13",11.869,"H"
"2024-11-01 14",11.411,"H"
"2024-11-01 15",11.79,"H"
"2024-11-01 16",11.141,"H"
"2024-11-01 17",9.996,"H"
"2024-11-01 18",8.181,"R"
"2024-11-01 19",9.579,"H"
"2024-11-01 20",8.401,"H"
"2024-11-01 21",8.092,"H"
"2024-11-01 22",7.718,"H"
"2024-11-01 23",7.296,"R"
"2024-11-02 00",6.946,"R"
"2024-11-02 01",6.452,"R"
"2024-11-02 02",7.194,"H"
"2024-11-02 03",6.617,"H"
"2024-11-02 04",6.503,"R"
"2024-11-02 05",6.573,"R"
"2024-11-02 06",6.472,"R"
"2024-11-02 07",6.627,"R"
"2024-11-02 08",7.004,"R"
"2024-11-02 09",6.947,"H"
"2024-11-02 10",7.489,"H"
"2024-11-02 11",8.271,"H"
"2024-11-02 12",8.498,"H"
"2024-11-02 13",7.965,"R"
"2024-11-02 14",7.88,"R"
"2024-11-02 15",7.693,"R"
"2024-11-02 16",8.044,"H"
"2024-11-02 17",7.751,"H"
"2024-11-02 18",7.566,"R"
"2024-11-02 19",7.509,"R"
"2024-11-02 20",7.286,"R"
"2024-11-02 21",7.121,"R"
"2024-11-02 22",7.276,"H"
"2024-11-02 23",7.041,"R"
"2024-11-03 00",6.832,"H"
"2024-11-03 01",6.898,"H"
"2024-11-03 02",6.501,"H"
"2024-11-03 03",5.854,"H"
"2024-11-03 04",6.087,"H"
"2024-11-03 05",5.82,"H"
"2024-11-03 06",5.97,"H"
"2024-11-03 07",5.787,"H"
"2024-11-03 08",6.501,"H"
"2024-11-03 09",7.57,"H"
"2024-11-03 10",9.288,"H"
"2024-11-03 11",10.505,"H"
"2024-11-03 12",11.616,"H"
"2024-11-03 13",12.655,"H"
"2024-11-03 14",11.316,"H"
