"dttm","th","origin"
"2024-10-31 00",9.032,"R"
"2024-10-31 01",9.039,"R"
"2024-10-31 02",8.972,"R"
"2024-10-31 03",8.91,"R"
"2024-10-31 04",8.988,"R"
"2024-10-31 05",8.593,"R"
"2024-10-31 06",8.559,"R"
"2024-10-31 07",9.041,"R"
"2024-10-31 08",8.784,"H"
"2024-10-31 09",8.674,"R"
"2024-10-31 10",9.123,"H"
"2024-10-31 11",9.478,"H"
"2024-10-31 12",8.919,"R"
"2024-10-31 13",9.477,"H"
"2024-10-31 14",9.215,"R"
"2024-10-31 15",9.159,"R"
"2024-10-31 16",9.106,"R"
"2024-10-31 17",9.035,"R"
"2024-10-31 18",8.958,"R"
"2024-10-31 19",8.946,"R"
"2024-10-31 20",8.949,"R"
"2024-10-31 21",8.865,"R"
"2024-10-31 22",8.824,"R"
"2024-10-31 23",8.898,"R"
"2024-11-01 00",8.443,"H"
"2024-11-01 01",8.052,"H"
"2024-11-01 02",7.832,"R"
"2024-11-01 03",7.811,"R"
"2024-11-01 04",7.594,"H"
"2024-11-01 05",7.742,"H"
"2024-11-01 06",7.708,"R"
"2024-11-01 07",7.446,"H"
"2024-11-01 08",7.439,"R"
"2024-11-01 09",8.166,"H"
"2024-11-01 10",8.491,"H"
"2024-11-01 11",9.187,"H"
"2024-11-01 12",10.695,"H"
"2024-11-01 13",11.775,"H"
"2024-11-01 14",11.759,"H"
"2024-11-01 15",11.917,"H"
"2024-11-01 16",11.172,"H"
"2024-11-01 17",9.96,"H"
"2024-11-01 18",9.8,"H"
"2024-11-01 19",9.526,"H"
"2024-11-01 20",8.377,"H"
"2024-11-01 21",8.035,"H"
"2024-11-01 22",7.693,"H"
"2024-11-01 23",7.542,"R"
"2024-11-02 00",7.686,"R"
"2024-11-02 01",7.414,"H"
"2024-11-02 02",7.151,"H"
"2024-11-02 03",6.59,"H"
"2024-11-02 04",6.33,"R"
"2024-11-02 05",6.338,"R"
"2024-11-02 06",6.497,"R"
"2024-11-02 07",6.47,"R"
"2024-11-02 08",6.548,"R"
"2024-11-02 09",6.903,"H"
"2024-11-02 10",7.381,"H"
"2024-11-02 11",8.15,"H"
"2024-11-02 12",8.459,"H"
"2024-11-02 13",8.654,"H"
"2024-11-02 14",8.54,"H"
"2024-11-02 15",7.924,"R"
"2024-11-02 16",7.987,"H"
"2024-11-02 17",7.676,"H"
"2024-11-02 18",7.601,"R"
"2024-11-02 19",7.461,"R"
"2024-11-02 20",7.525,"R"
"2024-11-02 21",7.593,"R"
"2024-11-02 22",7.201,"H"
"2024-11-02 23",7.228,"R"
"2024-11-03 00",6.738,"H"
"2024-11-03 01",6.821,"H"
"2024-11-03 02",6.39,"H"
"2024-11-03 03",5.723,"H"
"2024-11-03 04",5.99,"H"
"2024-11-03 05",5.69,"H"
"2024-11-03 06",5.893,"R"
"2024-11-03 07",5.656,"H"
"2024-11-03 08",6.423,"H"
"2024-11-03 09",7.626,"H"
"2024-11-03 10",7.856,"R"
"2024-11-03 11",10.901,"H"
"2024-11-03 12",11.458,"H"
"2024-11-03 13",11.743,"H"
"2024-11-03 14",11.743,"H"
"2024-11-03 15",10.87,"H"
"2024-11-03 16",9.751,"H"
"2024-11-03 17",8.344,"H"
"2024-11-03 18",7.381,"H"
"2024-11-03 19",7.414,"H"
"2024-11-03 20",7.118,"H"
"2024-11-03 21",7.303,"R"
"2024-11-03 22",6.854,"H"
"2024-11-03 23",6.755,"H"
"2024-11-04 00",6.849,"R"
"2024-11-04 01",6.174,"H"
"2024-11-04 02",5.94,"H"
"2024-11-04 03",5.707,"H"
"2024-11-04 04",5.438,"H"
"2024-11-04 05",5.169,"H"
"2024-11-04 06",5.186,"H"
"2024-11-04 07",5.355,"H"
"2024-11-04 08",5.573,"H"
"2024-11-04 09",5.673,"H"
"2024-11-04 10",6.62,"H"
"2024-11-04 11",7.82,"H"
"2024-11-04 12",6.87,"H"
"2024-11-04 13",5.941,"R"
"2024-11-04 14",7.151,"H"
"2024-11-04 15",6.689,"H"
"2024-11-04 16",6.258,"H"
"2024-11-04 17",5.997,"R"
"2024-11-04 18",5.861,"R"
"2024-11-04 19",5.819,"R"
"2024-11-04 20",5.85,"R"
"2024-11-04 21",5.957,"H"
"2024-11-04 22",5.806,"R"
"2024-11-04 23",5.405,"H"
"2024-11-05 00",5.085,"H"
"2024-11-05 01",4.933,"H"
"2024-11-05 02",4.645,"H"
"2024-11-05 03",4.322,"H"
"2024-11-05 04",3.688,"H"
"2024-11-05 05",3.153,"H"
"2024-11-05 06",4.165,"H"
"2024-11-05 07",4.645,"H"
"2024-11-05 08",4.967,"H"
"2024-11-05 09",5.689,"H"
"2024-11-05 10",8.339,"H"
"2024-11-05 11",8.912,"H"
"2024-11-05 12",10.85,"H"
"2024-11-05 13",11.775,"H"
"2024-11-05 14",12.249,"H"
"2024-11-05 15",12.501,"H"
"2024-11-05 16",11.49,"H"
"2024-11-05 17",10.742,"H"
"2024-11-05 18",10.488,"H"
"2024-11-05 19",10.456,"H"
"2024-11-05 20",10.52,"H"
"2024-11-05 21",10.792,"R"
"2024-11-05 22",10.819,"R"
"2024-11-05 23",9.976,"H"
"2024-11-06 00",10.283,"R"
"2024-11-06 01",9.316,"H"
"2024-11-06 02",9.751,"H"
"2024-11-06 03",9.895,"H"
"2024-11-06 04",10.504,"H"
"2024-11-06 05",9.896,"H"
"2024-11-06 06",10.775,"H"
"2024-11-06 07",10.534,"H"
"2024-11-06 08",9.493,"H"
"2024-11-06 09",9.638,"H"
"2024-11-06 10",10.12,"H"
"2024-11-06 11",10.647,"H"
"2024-11-06 12",9.892,"R"
"2024-11-06 13",11.253,"H"
"2024-11-06 14",11.205,"H"
"2024-11-06 15",11.284,"H"
"2024-11-06 16",10.006,"H"
"2024-11-06 17",9.139,"H"
"2024-11-06 18",9.83,"H"
"2024-11-06 19",9.555,"H"
"2024-11-06 20",7.692,"H"
"2024-11-06 21",7.168,"H"
"2024-11-06 22",6.939,"R"
"2024-11-06 23",6.788,"H"
"2024-11-07 00",6.624,"R"
"2024-11-07 01",6.258,"H"
"2024-11-07 02",5.991,"H"
"2024-11-07 03",5.807,"H"
"2024-11-07 04",5.673,"H"
"2024-11-07 05",5.546,"R"
"2024-11-07 06",5.354,"H"
"2024-11-07 07",5.059,"R"
"2024-11-07 08",4.96,"R"
"2024-11-07 09",4.87,"R"
"2024-11-07 10",5.253,"H"
"2024-11-07 11",4.797,"R"
"2024-11-07 12",5.338,"H"
"2024-11-07 13",5.523,"H"
"2024-11-07 14",5.74,"H"
"2024-11-07 15",5.348,"R"
"2024-11-07 16",5.69,"H"
"2024-11-07 17",5.589,"H"
"2024-11-07 18",5.623,"H"
"2024-11-07 19",5.592,"R"
"2024-11-07 20",5.629,"R"
"2024-11-07 21",5.695,"R"
"2024-11-07 22",6.573,"H"
"2024-11-07 23",6.854,"H"
"2024-11-08 00",6.606,"H"
"2024-11-08 01",6.518,"R"
"2024-11-08 02",6.571,"R"
"2024-11-08 03",6.456,"R"
