date_time,th,origin
2023.10.23 00,10.227,H
2023.10.23 01,9.705,H
2023.10.23 02,9.213,H
2023.10.23 03,8.884,H
2023.10.23 04,8.537,H
2023.10.23 05,8.289,H
2023.10.23 06,8.123,H
2023.10.23 07,8.057,H
2023.10.23 08,8.784,H
2023.10.23 09,9.476,H
2023.10.23 10,10.455,H
2023.10.23 11,10.374,H
2023.10.23 12,10.959,H
2023.10.23 13,11.897,H
2023.10.23 14,13.184,H
2023.10.23 15,12.734,H
2023.10.23 16,11.929,H
2023.10.23 17,11.299,H
2023.10.23 18,10.895,H
2023.10.23 19,10.521,H
2023.10.23 20,10.439,H
2023.10.23 21,10.894,H
2023.10.23 22,11.574,H
2023.10.23 23,10.651,H
2023.10.24 00,11.05,R
2023.10.24 01,11.12,R
2023.10.24 02,11.072,H
2023.10.24 03,12.123,H
2023.10.24 04,12.332,H
2023.10.24 05,12.123,H
2023.10.24 06,12.155,H
2023.10.24 07,12.609,R
2023.10.24 08,12.679,R
2023.10.24 09,12.607,R
2023.10.24 10,12.139,H
2023.10.24 11,11.995,H
2023.10.24 12,12.171,H
2023.10.24 13,12.364,H
2023.10.24 14,13.151,H
2023.10.24 15,13.536,H
2023.10.24 16,13.52,H
2023.10.24 17,12.831,H
2023.10.24 18,11.72,H
2023.10.24 19,11.784,H
2023.10.24 20,11.558,H
2023.10.24 21,11.008,H
2023.10.24 22,11.105,H
2023.10.24 23,10.862,H
2023.10.25 00,10.634,H
2023.10.25 01,10.423,H
2023.10.25 02,9.852,H
2023.10.25 03,9.574,H
2023.10.25 04,9.492,H
2023.10.25 05,9.59,H
2023.10.25 06,9.541,H
2023.10.25 07,9.917,H
2023.10.25 08,10.65,H
2023.10.25 09,13.248,R
2023.10.25 10,15.258,H
2023.10.25 11,16.132,H
2023.10.25 12,17.212,H
2023.10.25 13,14.03,H
2023.10.25 14,13.36,H
2023.10.25 15,14.159,H
2023.10.25 16,14.159,H
2023.10.25 17,13.087,H
2023.10.25 18,12.637,H
2023.10.25 19,13.007,H
2023.10.25 20,12.011,H
2023.10.25 21,12.461,H
2023.10.25 22,12.735,H
2023.10.25 23,12.654,H
2023.10.26 00,12.509,H
2023.10.26 01,12.686,H
2023.10.26 02,12.702,H
2023.10.26 03,11.896,H
2023.10.26 04,11.676,R
2023.10.26 05,11.235,H
2023.10.26 06,11.251,H
2023.10.26 07,11.267,H
2023.10.26 08,11.832,H
2023.10.26 09,13.392,H
2023.10.26 10,14.111,H
2023.10.26 11,15.242,H
2023.10.26 12,16.894,H
2023.10.26 13,16.212,H
2023.10.26 14,14.621,H
2023.10.26 15,13.199,H
2023.10.26 16,12.493,H
2023.10.26 17,11.978,H
2023.10.26 18,11.445,H
2023.10.26 19,11.024,H
2023.10.26 20,10.439,H
2023.10.26 21,10.081,H
2023.10.26 22,9.656,H
2023.10.26 23,9.591,H
2023.10.27 00,9.377,H
2023.10.27 01,9.36,H
2023.10.27 02,9.596,R
2023.10.27 03,9.197,H
2023.10.27 04,9.328,H
2023.10.27 05,10.39,H
2023.10.27 06,10.342,H
2023.10.27 07,10.439,H
2023.10.27 08,11.428,H
2023.10.27 09,14.461,H
2023.10.27 10,11.965,R
2023.10.27 11,13.261,H
2023.10.27 12,12.862,H
2023.10.27 13,12.879,H
2023.10.27 14,13.424,H
2023.10.27 15,13.856,H
2023.10.27 16,13.552,H
2023.10.27 17,12.509,H
2023.10.27 18,12.139,H
2023.10.27 19,11.946,H
2023.10.27 20,11.121,H
2023.10.27 21,10.178,H
2023.10.27 22,9.917,H
2023.10.27 23,10.602,H
2023.10.28 00,10.992,H
