dttm,temp,origin
2023.10.31 07,10.8783,H
2023.10.31 08,11.0567,H
2023.10.31 09,11.3317,H
2023.10.31 10,11.9132,H
2023.10.31 11,12.7983,H
2023.10.31 12,13.2640,H
2023.10.31 13,13.2317,H
2023.10.31 14,11.7190,H
2023.10.31 15,11.6710,H
2023.10.31 16,12.2190,H
2023.10.31 17,11.7843,H
2023.10.31 18,12.1553,H
2023.10.31 19,12.2360,H
2023.10.31 20,12.2567,R
2023.10.31 21,12.4770,H
2023.10.31 22,12.7988,H
2023.10.31 23,12.9913,H
2023.11.01 00,12.7822,H
2023.11.01 01,12.2678,H
2023.11.01 02,11.8813,H
2023.11.01 03,10.9587,H
2023.11.01 04,9.5568,H
2023.11.01 05,8.6200,H
2023.11.01 06,8.2058,H
2023.11.01 07,7.5408,H
2023.11.01 08,8.3543,H
2023.11.01 09,10.5025,H
2023.11.01 10,13.0540,H
2023.11.01 11,14.6535,H
2023.11.01 12,16.3707,H
2023.11.01 13,18.0518,H
2023.11.01 14,18.0045,H
2023.11.01 15,16.4027,H
2023.11.01 16,15.2583,H
2023.11.01 17,14.7648,H
2023.11.01 18,12.5412,H
2023.11.01 19,13.4720,H
2023.11.01 20,12.8945,H
2023.11.01 21,12.6700,H
2023.11.01 22,12.7502,H
2023.11.01 23,11.7030,H
2023.11.02 00,10.2923,H
2023.11.02 01,9.2620,H
2023.11.02 02,10.3875,H
2023.11.02 03,13.1665,H
2023.11.02 04,11.5740,H
2023.11.02 05,12.3963,H
2023.11.02 06,11.3633,H
2023.11.02 07,10.9100,H
2023.11.02 08,11.2507,H
2023.11.02 09,11.4610,H
2023.11.02 10,10.8785,H
2023.11.02 11,11.3315,H
2023.11.02 12,11.4772,H
2023.11.02 13,11.0078,H
2023.11.02 14,11.6227,H
2023.11.02 15,11.7358,H
2023.11.02 16,11.9938,H
2023.11.02 17,11.7682,H
2023.11.02 18,11.0218,H
2023.11.02 19,9.5083,H
2023.11.02 20,9.1965,H
2023.11.02 21,9.0648,H
2023.11.02 22,8.5700,H
2023.11.02 23,8.7025,H
2023.11.03 00,8.8015,H
2023.11.03 01,8.5703,H
2023.11.03 02,8.3222,H
2023.11.03 03,8.4047,H
2023.11.03 04,8.2063,H
2023.11.03 05,8.0735,H
2023.11.03 06,7.9407,H
2023.11.03 07,7.6408,H
2023.11.03 08,7.3240,H
2023.11.03 09,7.7742,H
2023.11.03 10,8.2888,H
2023.11.03 11,8.5373,H
2023.11.03 12,9.1303,H
2023.11.03 13,9.7213,H
2023.11.03 14,9.7377,H
2023.11.03 15,9.9173,H
2023.11.03 16,10.0805,H
2023.11.03 17,9.5082,H
2023.11.03 18,8.5367,H
2023.11.03 19,7.2397,H
2023.11.03 20,6.1975,H
2023.11.03 21,5.3480,H
2023.11.03 22,7.0703,H
2023.11.03 23,8.0238,H
2023.11.04 00,8.4380,H
2023.11.04 01,8.6200,H
2023.11.04 02,8.6365,H
2023.11.04 03,8.6365,H
2023.11.04 04,8.6860,H
2023.11.04 05,8.4708,H
2023.11.04 06,8.4875,H
2023.11.04 07,8.9497,H
2023.11.04 08,9.8517,H
2023.11.04 09,11.0403,H
2023.11.04 10,11.3963,H
2023.11.04 11,10.9432,H
2023.11.04 12,11.3802,H
2023.11.04 13,11.4287,H
2023.11.04 14,11.9450,H
2023.11.04 15,12.7022,H
2023.11.04 16,11.9133,H
2023.11.04 17,12.6540,H
2023.11.04 18,12.8468,H
2023.11.04 19,12.3163,H
2023.11.04 20,12.4448,H
2023.11.04 21,10.9587,H
2023.11.04 22,11.0397,H
2023.11.04 23,11.7682,H
2023.11.05 00,12.3483,H
2023.11.05 01,12.7983,H
2023.11.05 02,13.5360,H
2023.11.05 03,13.5360,H
2023.11.05 04,13.1675,H
2023.11.05 05,11.9288,H
2023.11.05 06,11.8813,H
2023.11.05 07,12.1392,H
2023.11.05 08,11.2832,H
2023.11.05 09,11.1862,H
2023.11.05 10,11.3640,H
2023.11.05 11,12.5090,H
2023.11.05 12,12.8308,H
2023.11.05 13,13.0872,H
2023.11.05 14,12.5735,H
2023.11.05 15,12.3545,R
2023.11.05 16,12.5895,H
2023.11.05 17,11.7520,H
2023.11.05 18,11.2347,H
2023.11.05 19,11.8973,H
2023.11.05 20,12.2680,H
2023.11.05 21,11.7682,H
2023.11.05 22,10.9917,H
2023.11.05 23,11.0080,H
2023.11.06 00,10.6507,H
2023.11.06 01,9.7537,H
2023.11.06 02,10.8132,H
2023.11.06 03,10.4880,H
2023.11.06 04,10.3578,H
2023.11.06 05,10.6832,H
2023.11.06 06,10.5042,H
2023.11.06 07,10.8295,H
2023.11.06 08,10.5043,H
2023.11.06 09,11.1215,H
2023.11.06 10,11.7352,H
2023.11.06 11,12.5573,H
2023.11.06 12,12.2840,H
2023.11.06 13,13.1355,H
2023.11.06 14,12.6217,H
2023.11.06 15,11.6388,H
2023.11.06 16,9.7533,H
2023.11.06 17,9.3603,H
2023.11.06 18,9.6558,H
2023.11.06 19,10.1787,H
2023.11.06 20,10.6668,H
2023.11.06 21,10.5042,H
2023.11.06 22,10.0968,H
2023.11.06 23,10.2435,H
2023.11.07 00,9.7700,H
2023.11.07 01,10.1290,H
2023.11.07 02,9.7375,H
2023.11.07 03,9.7212,H
2023.11.07 04,9.5577,H
2023.11.07 05,9.8193,H
2023.11.07 06,9.9337,H
2023.11.07 07,9.7050,H
2023.11.07 08,9.8357,H
2023.11.07 09,10.5693,H
2023.11.07 10,11.0890,H
2023.11.07 11,11.1700,H
2023.11.07 12,10.5838,H
2023.11.07 13,8.3218,H
2023.11.07 14,8.6363,H
2023.11.07 15,8.8838,H
2023.11.07 16,8.7518,H
2023.11.07 17,7.9567,H
2023.11.07 18,7.7243,H
2023.11.07 19,7.6742,H
2023.11.07 20,7.8407,H
2023.11.07 21,7.6082,H
2023.11.07 22,7.7577,H
2023.11.07 23,8.6363,H
2023.11.08 00,8.6695,H
2023.11.08 01,8.7347,H
2023.11.08 02,8.2393,H
2023.11.08 03,8.8345,H
2023.11.08 04,8.4708,H
2023.11.08 05,8.4045,H
2023.11.08 06,8.5410,R
2023.11.08 07,8.5870,H
2023.11.08 08,8.8507,H
2023.11.08 09,9.2620,H
2023.11.08 10,10.2433,H
2023.11.08 11,10.9108,H
2023.11.08 12,11.5738,H
2023.11.08 13,13.6152,H
2023.11.08 14,15.8940,H
2023.11.08 15,18.3057,H
2023.11.08 16,12.4523,R
2023.11.08 17,9.8323,H
2023.11.08 18,7.9233,H
2023.11.08 19,6.8547,H
2023.11.08 20,6.1977,H
2023.11.08 21,5.6720,H
2023.11.08 22,5.4503,H
2023.11.08 23,5.8930,H
2023.11.09 00,6.7809,R
2023.11.09 01,5.9765,H
