dttm,th,origin
2023.10.23 00,9.7702,H
2023.10.23 01,9.2945,H
2023.10.23 02,8.0897,H
2023.10.23 03,7.1062,H
2023.10.23 04,6.468,H
2023.10.23 05,5.808,H
2023.10.23 06,5.2967,H
2023.10.23 07,5.3652,H
2023.10.23 08,5.672,H
2023.10.23 09,6.1638,H
2023.10.23 10,7.1727,H
2023.10.23 11,8.4542,H
2023.10.23 12,9.7372,H
2023.10.23 13,10.2437,H
2023.10.23 14,11.0562,H
2023.10.23 15,11.6548,H
2023.10.23 16,13.2953,H
2023.10.23 17,13.648,H
2023.10.23 18,12.6537,H
2023.10.23 19,12.0423,H
2023.10.23 20,11.5418,H
2023.10.23 21,10.8945,H
2023.10.23 22,10.602,H
2023.10.23 23,10.602,H
2023.10.24 00,10.7158,H
2023.10.24 01,10.5697,H
2023.10.24 02,10.537,H
2023.10.24 03,10.3903,H
2023.10.24 04,10.2113,H
2023.10.24 05,10.26,H
2023.10.24 06,10.6345,H
2023.10.24 07,11.105,H
2023.10.24 08,11.8005,H
2023.10.24 09,12.1464,R
2023.10.24 10,11.8005,H
2023.10.24 11,12.0908,H
2023.10.24 12,12.4125,H
2023.10.24 13,12.67,H
2023.10.24 14,13.1353,H
2023.10.24 15,13.552,H
2023.10.24 16,14.4937,H
2023.10.24 17,15.2745,H
2023.10.24 18,14.6217,H
2023.10.24 19,13.6157,H
2023.10.24 20,13.0393,H
2023.10.24 21,12.5252,H
2023.10.24 22,11.7193,H
2023.10.24 23,10.6182,H
2023.10.25 00,10.6508,H
2023.10.25 01,10.4228,H
2023.10.25 02,9.7047,H
2023.10.25 03,9.2455,H
2023.10.25 04,8.4047,H
2023.10.25 05,8.0235,H
2023.10.25 06,8.173,H
2023.10.25 07,7.9363,R
2023.10.25 08,7.3403,H
2023.10.25 09,7.4073,H
2023.10.25 10,8.932,H
2023.10.25 11,11.2168,H
2023.10.25 12,13.9032,H
2023.10.25 13,15.4015,H
2023.10.25 14,16.2757,H
2023.10.25 15,15.0355,H
2023.10.25 16,14.5262,H
2023.10.25 17,14.7332,H
2023.10.25 18,14.5738,H
2023.10.25 19,13.8077,H
2023.10.25 20,13.1675,H
2023.10.25 21,13.2473,H
2023.10.25 22,12.0587,H
2023.10.25 23,12.284,H
2023.10.26 00,12.8627,H
2023.10.26 01,12.8307,H
2023.10.26 02,12.5735,H
2023.10.26 03,12.7345,H
2023.10.26 04,12.686,H
2023.10.26 05,12.654,H
2023.10.26 06,12.2195,H
2023.10.26 07,12.075,H
2023.10.26 08,11.144,R
2023.10.26 09,12.3469,R
2023.10.26 10,12.4767,H
2023.10.26 11,14.2228,H
2023.10.26 12,15.163,H
2023.10.26 13,16.085,H
2023.10.26 14,17.0532,H
2023.10.26 15,16.9103,H
2023.10.26 16,15.7037,H
2023.10.26 17,14.3345,H
2023.10.26 18,13.3918,H
2023.10.26 19,12.8467,H
2023.10.26 20,12.332,H
2023.10.26 21,11.849,H
2023.10.26 22,11.3802,H
2023.10.26 23,10.7968,H
2023.10.27 00,10.3088,H
2023.10.27 01,10.1297,H
2023.10.27 02,8.9387,R
