dttm,th,origin
2023.10.23 00,9.7763,H
2023.10.23 01,9.1445,H
2023.10.23 02,8.6402,H
2023.10.23 03,7.5260,H
2023.10.23 04,6.7020,H
2023.10.23 05,5.6533,H
2023.10.23 06,5.3693,H
2023.10.23 07,5.4865,H
2023.10.23 08,5.8875,H
2023.10.23 09,6.7183,H
2023.10.23 10,7.0650,H
2023.10.23 11,8.2483,H
2023.10.23 12,8.3300,H
2023.10.23 13,8.7052,H
2023.10.23 14,9.2418,H
2023.10.23 15,9.9218,H
2023.10.23 16,9.8087,H
2023.10.23 17,9.3882,H
2023.10.23 18,9.1443,H
2023.10.23 19,8.8517,H
2023.10.23 20,8.6403,H
2023.10.23 21,8.7703,H
2023.10.23 22,9.5655,H
2023.10.23 23,9.7435,H
2023.10.24 00,8.7215,H
2023.10.24 01,8.6892,H
2023.10.24 02,8.6403,H
2023.10.24 03,8.8678,H
2023.10.24 04,10.0350,H
2023.10.24 05,9.4530,H
2023.10.24 06,9.7278,H
2023.10.24 07,9.9057,H
2023.10.24 08,10.3417,H
2023.10.24 09,10.4956,R
2023.10.24 10,10.7443,H
2023.10.24 11,10.9535,H
2023.10.24 12,10.8892,H
2023.10.24 13,11.1625,H
2023.10.24 14,11.4353,H
2023.10.24 15,12.1717,H
2023.10.24 16,12.5070,H
2023.10.24 17,12.3953,H
2023.10.24 18,11.1937,H
2023.10.24 19,10.4227,H
2023.10.24 20,10.3745,H
2023.10.24 21,9.9057,H
2023.10.24 22,9.3880,H
2023.10.24 23,9.7278,H
2023.10.25 00,9.2905,H
2023.10.25 01,8.8352,H
2023.10.25 02,7.9734,R
2023.10.25 03,8.4117,H
2023.10.25 04,8.3137,H
2023.10.25 05,8.2647,H
2023.10.25 06,7.9734,R
2023.10.25 07,7.6582,H
2023.10.25 08,7.5432,H
2023.10.25 09,8.1497,H
2023.10.25 10,9.7435,H
2023.10.25 11,11.3550,H
2023.10.25 12,13.4145,H
2023.10.25 13,14.7032,H
2023.10.25 14,12.5545,H
2023.10.25 15,12.2675,H
2023.10.25 16,12.4593,H
2023.10.25 17,12.4272,H
2023.10.25 18,11.6437,H
2023.10.25 19,11.1623,H
2023.10.25 20,11.2582,H
2023.10.25 21,10.2128,H
2023.10.25 22,10.5995,H
2023.10.25 23,11.1305,H
2023.10.26 00,11.2428,H
2023.10.26 01,11.0178,H
2023.10.26 02,11.1302,H
2023.10.26 03,11.2750,H
2023.10.26 04,10.5832,H
2023.10.26 05,10.0673,H
2023.10.26 06,10.0188,H
2023.10.26 07,10.0188,H
2023.10.26 08,10.2290,H
2023.10.26 09,10.6155,H
2023.10.26 10,12.4112,H
2023.10.26 11,13.2407,H
2023.10.26 12,14.0043,H
2023.10.26 13,14.7985,H
2023.10.26 14,14.3217,H
2023.10.26 15,12.8580,H
2023.10.26 16,11.5312,H
2023.10.26 17,10.9535,H
2023.10.26 18,10.5353,H
2023.10.26 19,10.1643,H
2023.10.26 20,9.9865,H
2023.10.26 21,9.6793,H
2023.10.26 22,9.3070,H
2023.10.26 23,8.9658,H
2023.10.27 00,8.7867,H
2023.10.27 01,8.5913,H
2023.10.27 02,8.5750,H
2023.10.27 03,8.4443,H
