#HOBO_ID 10760810
#Location_Lat_Lon 48.0122 7.853
#Alt_above_ground 4.5
#Exposition N
#Influence_class 2
id	date	time	ta	lux
124	2018-12-09	20:30:00	7.682	0
125	2018-12-09	20:40:00	7.682	0
126	2018-12-09	20:50:00	7.682	0
127	2018-12-09	21:00:00	7.682	0
128	2018-12-09	21:10:00	7.782	0
129	2018-12-09	21:20:00	7.381	0
130	2018-12-09	21:30:00	6.877	0
131	2018-12-09	21:40:00	6.775	0
132	2018-12-09	21:50:00	6.978	0
133	2018-12-09	22:00:00	6.877	0
134	2018-12-09	22:10:00	7.079	0
135	2018-12-09	22:20:00	6.877	0
136	2018-12-09	22:30:00	6.775	0
137	2018-12-09	22:40:00	6.573	0
138	2018-12-09	22:50:00	6.37	0
139	2018-12-09	23:00:00	6.268	0
140	2018-12-09	23:10:00	6.166	0
141	2018-12-09	23:20:00	6.166	0
142	2018-12-09	23:30:00	6.471	0
143	2018-12-09	23:40:00	6.674	0
144	2018-12-09	23:50:00	6.978	0
145	2018-12-10	00:00:00	6.877	0
146	2018-12-10	00:10:00	6.877	0
147	2018-12-10	00:20:00	6.877	0
148	2018-12-10	00:30:00	6.877	0
149	2018-12-10	00:40:00	6.877	0
150	2018-12-10	00:50:00	7.079	0
151	2018-12-10	01:00:00	7.179	0
152	2018-12-10	01:10:00	7.079	0
153	2018-12-10	01:20:00	6.877	0
154	2018-12-10	01:30:00	6.775	0
155	2018-12-10	01:40:00	6.471	0
156	2018-12-10	01:50:00	6.573	0
157	2018-12-10	02:00:00	6.573	0
158	2018-12-10	02:10:00	6.37	0
159	2018-12-10	02:20:00	6.37	0
160	2018-12-10	02:30:00	6.471	0
161	2018-12-10	02:40:00	6.471	0
162	2018-12-10	02:50:00	6.471	0
163	2018-12-10	03:00:00	6.37	0
164	2018-12-10	03:10:00	6.37	0
165	2018-12-10	03:20:00	6.573	0
166	2018-12-10	03:30:00	6.37	0
167	2018-12-10	03:40:00	6.573	0
168	2018-12-10	03:50:00	6.674	0
169	2018-12-10	04:00:00	6.674	0
170	2018-12-10	04:10:00	6.674	0
171	2018-12-10	04:20:00	6.775	0
172	2018-12-10	04:30:00	6.877	0
173	2018-12-10	04:40:00	6.775	0
174	2018-12-10	04:50:00	6.775	0
175	2018-12-10	05:00:00	6.573	0
176	2018-12-10	05:10:00	6.166	0
177	2018-12-10	05:20:00	5.962	0
178	2018-12-10	05:30:00	5.757	0
179	2018-12-10	05:40:00	5.45	0
180	2018-12-10	05:50:00	5.45	0
181	2018-12-10	06:00:00	5.45	0
182	2018-12-10	06:10:00	5.552	0
183	2018-12-10	06:20:00	5.655	0
184	2018-12-10	06:30:00	5.655	0
185	2018-12-10	06:40:00	5.757	0
186	2018-12-10	06:50:00	5.86	0
187	2018-12-10	07:00:00	5.86	0
188	2018-12-10	07:10:00	5.655	0
189	2018-12-10	07:20:00	5.347	0
190	2018-12-10	07:30:00	5.244	0
191	2018-12-10	07:40:00	5.347	0
192	2018-12-10	07:50:00	5.655	10.8
193	2018-12-10	08:00:00	5.757	64.6
194	2018-12-10	08:10:00	5.757	193.8
195	2018-12-10	08:20:00	5.757	355.2
196	2018-12-10	08:30:00	5.86	279.9
197	2018-12-10	08:40:00	6.064	473.6
198	2018-12-10	08:50:00	6.064	1356.3
199	2018-12-10	09:00:00	6.064	1550
200	2018-12-10	09:10:00	5.86	1550
201	2018-12-10	09:20:00	6.064	1636.1
202	2018-12-10	09:30:00	6.268	4650
203	2018-12-10	09:40:00	6.573	3788.9
204	2018-12-10	09:50:00	6.775	3788.9
205	2018-12-10	10:00:00	6.877	2669.5
206	2018-12-10	10:10:00	6.877	2669.5
207	2018-12-10	10:20:00	6.978	2238.9
208	2018-12-10	10:30:00	6.978	2066.7
209	2018-12-10	10:40:00	7.079	3444.5
210	2018-12-10	10:50:00	7.481	5338.9
211	2018-12-10	11:00:00	7.882	7233.4
212	2018-12-10	11:10:00	8.182	6200
213	2018-12-10	11:20:00	8.182	5511.1
214	2018-12-10	11:30:00	8.082	6544.5
215	2018-12-10	11:40:00	8.382	6200
216	2018-12-10	11:50:00	8.68	7233.4
217	2018-12-10	12:00:00	8.68	5511.1
218	2018-12-10	12:10:00	8.481	6544.5
219	2018-12-10	12:20:00	8.779	7577.8
220	2018-12-10	12:30:00	8.779	7233.4
221	2018-12-10	12:40:00	9.077	10677.8
222	2018-12-10	12:50:00	9.373	10333.4
223	2018-12-10	13:00:00	9.669	9644.5
224	2018-12-10	13:10:00	9.472	6544.5
225	2018-12-10	13:20:00	9.275	7577.8
226	2018-12-10	13:30:00	8.978	4994.5
227	2018-12-10	13:40:00	9.077	9644.5
228	2018-12-10	13:50:00	9.669	7577.8
229	2018-12-10	14:00:00	10.063	9644.5
230	2018-12-10	14:10:00	10.063	9644.5
231	2018-12-10	14:20:00	9.669	2927.8
232	2018-12-10	14:30:00	8.879	1722.2
233	2018-12-10	14:40:00	8.481	796.5
234	2018-12-10	14:50:00	8.282	656.6
235	2018-12-10	15:00:00	7.682	1162.5
236	2018-12-10	15:10:00	7.582	3272.2
237	2018-12-10	15:20:00	7.782	3444.5
238	2018-12-10	15:30:00	7.983	4305.6
239	2018-12-10	15:40:00	7.782	4133.4
240	2018-12-10	15:50:00	7.782	3788.9
241	2018-12-10	16:00:00	7.682	2927.8
242	2018-12-10	16:10:00	7.582	1463.9
243	2018-12-10	16:20:00	7.582	441.3
244	2018-12-10	16:30:00	7.381	118.4
245	2018-12-10	16:40:00	7.28	215.3
246	2018-12-10	16:50:00	7.079	64.6
247	2018-12-10	17:00:00	6.674	10.8
248	2018-12-10	17:10:00	6.573	0
249	2018-12-10	17:20:00	6.37	0
250	2018-12-10	17:30:00	6.674	0
251	2018-12-10	17:40:00	6.775	0
252	2018-12-10	17:50:00	6.978	0
253	2018-12-10	18:00:00	6.978	0
254	2018-12-10	18:10:00	6.978	0
255	2018-12-10	18:20:00	6.775	0
256	2018-12-10	18:30:00	6.573	0
257	2018-12-10	18:40:00	6.471	0
258	2018-12-10	18:50:00	6.471	0
259	2018-12-10	19:00:00	6.775	0
260	2018-12-10	19:10:00	6.775	0
261	2018-12-10	19:20:00	6.877	0
262	2018-12-10	19:30:00	6.978	0
263	2018-12-10	19:40:00	6.978	0
264	2018-12-10	19:50:00	6.978	0
265	2018-12-10	20:00:00	6.978	0
266	2018-12-10	20:10:00	6.978	0
267	2018-12-10	20:20:00	6.877	0
268	2018-12-10	20:30:00	6.978	0
269	2018-12-10	20:40:00	6.978	0
270	2018-12-10	20:50:00	6.877	0
271	2018-12-10	21:00:00	6.775	0
272	2018-12-10	21:10:00	6.674	0
273	2018-12-10	21:20:00	6.674	0
274	2018-12-10	21:30:00	6.37	0
275	2018-12-10	21:40:00	6.268	0
276	2018-12-10	21:50:00	6.268	0
277	2018-12-10	22:00:00	6.268	0
278	2018-12-10	22:10:00	5.962	0
279	2018-12-10	22:20:00	6.166	0
280	2018-12-10	22:30:00	6.268	0
281	2018-12-10	22:40:00	6.268	0
282	2018-12-10	22:50:00	6.166	0
283	2018-12-10	23:00:00	5.757	0
284	2018-12-10	23:10:00	5.552	0
285	2018-12-10	23:20:00	5.45	0
286	2018-12-10	23:30:00	5.347	0
287	2018-12-10	23:40:00	5.45	0
288	2018-12-10	23:50:00	5.45	0
289	2018-12-11	00:00:00	5.45	0
290	2018-12-11	00:10:00	5.552	0
291	2018-12-11	00:20:00	5.552	0
292	2018-12-11	00:30:00	5.552	0
293	2018-12-11	00:40:00	5.552	0
294	2018-12-11	00:50:00	5.552	0
295	2018-12-11	01:00:00	5.552	0
296	2018-12-11	01:10:00	5.552	0
297	2018-12-11	01:20:00	5.552	0
298	2018-12-11	01:30:00	5.141	0
299	2018-12-11	01:40:00	4.727	0
300	2018-12-11	01:50:00	4.934	0
301	2018-12-11	02:00:00	5.037	0
302	2018-12-11	02:10:00	5.037	0
303	2018-12-11	02:20:00	4.934	0
304	2018-12-11	02:30:00	4.831	0
305	2018-12-11	02:40:00	4.415	0
306	2018-12-11	02:50:00	4.102	0
307	2018-12-11	03:00:00	4.207	0
308	2018-12-11	03:10:00	4.415	0
309	2018-12-11	03:20:00	4.519	0
310	2018-12-11	03:30:00	4.727	0
311	2018-12-11	03:40:00	4.623	0
312	2018-12-11	03:50:00	4.415	0
313	2018-12-11	04:00:00	4.415	0
314	2018-12-11	04:10:00	4.415	0
315	2018-12-11	04:20:00	4.207	0
316	2018-12-11	04:30:00	4.311	0
317	2018-12-11	04:40:00	4.415	0
318	2018-12-11	04:50:00	4.415	0
319	2018-12-11	05:00:00	4.519	0
320	2018-12-11	05:10:00	4.415	0
321	2018-12-11	05:20:00	4.311	0
322	2018-12-11	05:30:00	4.415	0
323	2018-12-11	05:40:00	4.519	0
324	2018-12-11	05:50:00	4.415	0
325	2018-12-11	06:00:00	4.207	0
326	2018-12-11	06:10:00	3.788	0
327	2018-12-11	06:20:00	3.261	0
328	2018-12-11	06:30:00	2.73	0
329	2018-12-11	06:40:00	2.517	0
330	2018-12-11	06:50:00	2.41	0
331	2018-12-11	07:00:00	2.195	0
332	2018-12-11	07:10:00	2.088	0
333	2018-12-11	07:20:00	1.98	0
